Date,2017-12-30,2017-12,2016-12-31,2016-12,2016-01-02,2015-12,2015-01-03,2014-12,2013-12-28,2013-12,2012-12-29,2011-12-31,2011-01-01
Revenue,2226837000.0,2227000000.0,2109227000.0,2109000000.0,1656399000.0,1656000000.0,1620920000.0,1621000000.0,1761049000.0,1761000000.0,1618634000.0,1635036000.0,979835000.0
Revenue Growth,-0.0000731926358329591,0.0558370436183493,0.000107633949739213,0.27324394665778,0.000240942028985507,0.0216420304518422,-0.0000493522516964837,-0.0795258962129958,0.0000278250993753549,0.0879544109415717,-0.010031583402445,0.668685033704654,0.0
Cost of Revenue,1426666000.0,1427000000.0,1345437000.0,1345000000.0,1077110000.0,1077000000.0,1042458000.0,1042000000.0,1163034000.0,1163000000.0,1079777000.0,1065107000.0,601015000.0
Gross Profit,800171000.0,800000000.0,763790000.0,764000000.0,579289000.0,579000000.0,578462000.0,578000000.0,598015000.0,598000000.0,538857000.0,569929000.0,378820000.0
R&D Expenses,6200000.0,,10000000.0,,6200000.0,,7600000.0,,0.0,,0.0,0.0,0.0
SG&A Expense,643865000.0,644000000.0,593957000.0,594000000.0,472236000.0,472000000.0,478532000.0,479000000.0,470561000.0,471000000.0,440597000.0,495267000.0,359629000.0
Operating Expenses,650065000.0,644000000.0,603957000.0,594000000.0,478436000.0,472000000.0,486132000.0,479000000.0,470561000.0,471000000.0,440597000.0,495267000.0,359629000.0
Operating Income,38514000.0,156000000.0,104485000.0,170000000.0,90456000.0,107000000.0,104850000.0,100000000.0,138967000.0,127000000.0,109140000.0,70405000.0,12083000.0
Interest Expense,39300000.0,,32900000.0,,11100000.0,,13400000.0,,14700000.0,,9700000.0,0.0,3921000.0
Earnings before Tax,1263000.0,1000000.0,67123000.0,67000000.0,79603000.0,80000000.0,91508000.0,92000000.0,124559000.0,125000000.0,99653000.0,59845000.0,8162000.0
Income Tax Expense,-146144000.0,-146000000.0,25320000.0,25000000.0,28885000.0,29000000.0,32291000.0,32000000.0,45475000.0,45000000.0,40143000.0,21104000.0,5631000.0
Net Income - Non-Controlling int,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income,148492000.0,148000000.0,14885000.0,15000000.0,50685000.0,51000000.0,192591000.0,193000000.0,78720000.0,79000000.0,59085000.0,38258000.0,2531000.0
Preferred Dividends,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,148492000.0,148000000.0,14885000.0,15000000.0,50685000.0,51000000.0,192591000.0,193000000.0,78720000.0,79000000.0,59085000.0,38258000.0,2531000.0
EPS,1.53,1.53,0.17,0.17,0.72,0.72,2.74,2.74,1.13,1.13,0.86,0.57,0.07
EPS Diluted,1.52,1.52,0.16,0.16,0.71,0.71,2.72,2.72,1.12,1.12,0.85,0.56,0.07
Weighted Average Shs Out,96594000.0,97000000.0,91873000.0,92000000.0,70487000.0,70000000.0,70200000.0,70000000.0,69383000.0,69000000.0,68382000.0,67400000.0,34128000.0
Weighted Average Shs Out (Dil),97467000.0,97000000.0,92891000.0,93000000.0,71142000.0,71000000.0,70890000.0,71000000.0,70158000.0,70000000.0,69215000.0,68478000.0,34348000.0
Dividend per Share,0.635763899576,,0.619909356127,,0.635110061567,,0.633728311468,,0.633156589412,,0.632478508994,0.626741435205,4.14749039245
Gross Margin,0.359330745807,0.35922766052986,0.36211844434,0.36225699383594,0.34972793391,0.34963768115942,0.356872640229,0.35657001850709,0.339578853286,0.33957978421352,0.332908489504,0.348572753138,0.386616113938
EBITDA Margin,0.0608149586162,0.11360574764257,0.0965927327879,0.12754860123281,0.0970991892654,0.10688405797101,0.104887347926,0.101789019124,0.11277255772,0.10618966496309,0.100642887768,0.0769047287032,0.053256925911
EBIT Margin,0.0172953835418,0.00089806915132465,0.0495371052997,0.018966334755808,0.0546100305542,0.048309178743961,0.0646854872542,0.13880320789636,0.078911489686,0.070414537194776,0.067427225673,0.0430602139647,0.012331668087
Profit Margin,0.0666829229081,0.066457117198024,0.00705708773878,0.0071123755334282,0.0305995113496,0.030797101449275,0.118815857661,0.11906230721777,0.0447006301358,0.044860874503123,0.036503001914,0.0233988731747,0.00258308796889
Free Cash Flow margin,0.0572246644007,,0.0891027850487,,0.0571637630788,,-0.0364182069442,,0.0375668138706,,0.00770032014649,0.0329056974892,0.0113253762113
EBITDA,135425000.0,253000000.0,203736000.0,269000000.0,160835000.0,177000000.0,170014000.0,165000000.0,198598000.0,187000000.0,162904000.0,125742000.0,52183000.0
EBIT,38514000.0,2000000,104485000.0,40000000,90456000.0,80000000,104850000.0,225000000,138967000.0,124000000,109140000.0,70405000.0,12083000.0
Consolidated Income,148492000.0,148000000.0,14885000.0,15000000.0,50685000.0,51000000.0,192591000.0,193000000.0,78720000.0,79000000.0,59085000.0,38258000.0,2531000.0
Earnings Before Tax Margin,0.000567172181888,0.00044903457566233,0.0318235069056,0.031768610715979,0.0480578652849,0.048309178743961,0.0564543592528,0.056755089450956,0.070730002402,0.070982396365701,0.0615661106835,0.0366016405755,0.00832997392418
Net Profit Margin,0.0666829229081,0.066457117198024,0.00705708773878,0.0071123755334282,0.0305995113496,0.030797101449275,0.118815857661,0.11906230721777,0.0447006301358,0.044860874503123,0.036503001914,0.0233988731747,0.00258308796889
