Date,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,3000000.0,9000000.0,0000000.0,1000000.0,6000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,8000000.0,2000000.0,1000000.0,0000000.0,0000000.0
Inventories,15000000.0,3000000.0,1000000.0,4000000.0,3000000.0
Total current assets,10000000.0,7000000.0,15000000.0,17000000.0,19000000.0
Property, Plant & Equipment Net,3000000.0,1000000.0,1000000.0,1000000.0,1000000.0
Goodwill and Intangible Assets,7000000,6000000,12000000,16000000,18000000
Long-term investments,,,,,
Tax assets,,,,,
Total non-current assets,0000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Total assets,37000000.0,20000000.0,17000000.0,23000000.0,30000000.0
Payables,11000000.0,2000000.0,1000000.0,1000000.0,2000000.0
Short-term debt,2000000.0,000000.0,1000000.0,000000.0,000000.0
Total current liabilities,19000000.0,5000000.0,4000000.0,4000000.0,5000000.0
Long-term debt,000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Total debt,000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Deferred revenue,1000000.0,0000000.0,0000000.0,0000000.0,0000000.0
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,0000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Total liabilities,19000000.0,7000000.0,6000000.0,7000000.0,7000000.0
Other comprehensive income,0000000.0,000000.0,000000.0,000000.0,000000.0
Retained earnings (deficit),-220000000.0,-209000000.0,-188000000.0,-171000000.0,-152000000.0
Total shareholders equity,18000000.0,13000000.0,10000000.0,16000000.0,22000000.0
Investments,,,,,
Net Debt,-1000000,-7000000,3000000,1000000,-4000000
Other Assets,0,0,2000000,0,2000000
Other Liabilities,4000000,1000000,2000000,2000000,2000000
