Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12
Cash and cash equivalents,8446000.0,31506000.0,32000000.0,2953000.0,3000000.0,5339000.0,5000000.0,46398000.0,46000000.0,110000000.0
Short-term investments,0.0,0.0,,0.0,,0.0,,0.0,,
Cash and short-term investments,8446000.0,31506000.0,,2953000.0,,5339000.0,,46398000.0,,
Receivables,2602000.0,2096000.0,2000000.0,1490000.0,1000000.0,3975000.0,4000000.0,3103000.0,3000000.0,1000000.0
Inventories,1181000.0,1510000.0,2000000.0,1240000.0,1000000.0,794000.0,1000000.0,235000.0,0000000.0,0000000.0
Total current assets,176914000.0,350635000.0,351000000.0,366945000.0,367000000.0,321635000.0,323000000.0,270678000.0,271000000.0,133000000.0
Property Plant & Equipment Net,176914000.0,350635000.0,351000000.0,366945000.0,367000000.0,313642000.0,314000000.0,255043000.0,255000000.0,133000000.0
Goodwill and Intangible Assets,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,
Tax assets,0.0,0.0,,0.0,,0.0,,0.0,,
Total non-current assets,132529000.0,136629000.0,137000000.0,136569000.0,137000000.0,47608000.0,49000000.0,0.0,000000.0,000000.0
Total assets,191074000.0,387711000.0,388000000.0,374854000.0,375000000.0,336200000.0,337000000.0,322421000.0,322000000.0,245000000.0
Payables,1334000.0,1045000.0,0000000.0,882000.0,0000000.0,1237000.0,1000000.0,1555000.0,1000000.0,1000000.0
Short-term debt,0.0,0.0,,0.0,,0.0,,0.0,,
Total current liabilities,4481000.0,2809000.0,3000000.0,4089000.0,4000000.0,7735000.0,8000000.0,3191000.0,3000000.0,2000000.0
Long-term debt,132457000.0,136552000.0,137000000.0,136193000.0,136000000.0,45833000.0,47000000.0,0.0,000000.0,000000.0
Total debt,132457000.0,136552000.0,137000000.0,136193000.0,136000000.0,45833000.0,47000000.0,0.0,000000.0,000000.0
Deferred revenue,0.0,0.0,0000000.0,0.0,1000000.0,0.0,1000000.0,0.0,000000.0,000000.0
Tax Liabilities,0.0,0.0,,997000.0,,1212000.0,,1212000.0,,
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,
Total non-current liabilities,132529000.0,136629000.0,137000000.0,136569000.0,137000000.0,47608000.0,49000000.0,0.0,000000.0,000000.0
Total liabilities,137010000.0,139438000.0,139000000.0,140658000.0,141000000.0,55343000.0,57000000.0,3191000.0,3000000.0,2000000.0
Other comprehensive income,0.0,0.0,,0.0,,0.0,,0.0,,
Retained earnings (deficit),-269614000.0,-72321000.0,-72000000.0,-42995000.0,-43000000.0,-10844000.0,-11000000.0,0.0,000000.0,-0000000.0
Total shareholders equity,54064000.0,248273000.0,248000000.0,234196000.0,234000000.0,280857000.0,281000000.0,319230000.0,319000000.0,243000000.0
Investments,0.0,0.0,,0.0,,0.0,,0.0,,
Net Debt,124011000.0,,105000000,,133000000,,42000000,,-46000000,-110000000
Other Assets,1931000.0,,1000000,,1000000,,13000000,,18000000,2000000
Other Liabilities,3147000.0,1764000.0,1000000,3207000.0,1000000,6498000.0,6000000,1636000.0,1000000,0
