Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,-390291.0,69477334.0,39632252.0,30476575.0,33064774.0,17525798.0,17864880.0,17864880.0
Revenue Growth,-1.00561752988392,0.753050369179122,0.300416861146635,-0.0782766275674529,0.886634434563265,-0.0189803681860723,0,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17864880.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,2572000.0,2463000.0,0.0,0.0,0.0,0.0,0.0,3281682.0
Operating Expenses,119078629.0,68752022.0,48465871.0,38841103.0,31085962.0,17345507.0,16383319.0,8522840.0
Operating Income,-119451413.0,725312.0,-8833619.0,-5962909.0,-194955.0,-1012899.0,-2826656.0,9342040.0
Interest Expense,80135983.0,42343374.0,29518718.0,26716798.0,20762644.0,10878627.0,7860479.0,7860479.0
Earnings before Tax,0.0,725312.0,-8833619.0,0.0,0.0,0.0,0.0,1481561.0
Income Tax Expense,0.0,333403.0,-3509587.0,-2401619.0,2173767.0,1193190.0,4308217.0,4308217.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-119451413.0,391909.0,-5324032.0,-5962909.0,-194955.0,-1012899.0,-2826656.0,-2826656.0
Preferred Dividends,16662731.0,3537287.0,2069242.0,0.0,-806624.0,0.0,0.0,0.0
Net Income Com,-119451413.0,391909.0,-5324032.0,-5962909.0,-194955.0,-1012899.0,-2826656.0,-2826656.0
EPS,-22.32,-0.53,-1.25,-1.24,-0.21,-0.1,-0.3,-0.6
EPS Diluted,-22.32,-0.53,-1.25,-1.24,-0.21,-0.1,-0.3,-0.6
Weighted Average Shs Out,6098208.0,5967274.0,5906761.0,4909657.0,4758699.0,9989000.0,9468759.0,
Weighted Average Shs Out (Dil),6098208.0,5967274.0,5906761.0,4909657.0,4758699.0,9989000.0,9468759.0,4734380.0
Dividend per Share,4.21589621082,0.592781058822,0.350317542897,0.0,0.0,0.0,0.243544903825,0.0
Gross Margin,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EBITDA Margin,280.376465253,0.13199360816,-0.129227150655,-0.0708122221739,0.068817497437,0.051126402347,-0.0461320758942,0.523
EBIT Margin,306.057308521,0.0104395485296,-0.222889655627,-0.195655482941,-0.00589615401575,-0.0577947434976,-0.158224180627,0.5229
Profit Margin,306.057308521,0.00564081805442,-0.134335843444,-0.195655482941,-0.00589615401575,-0.0577947434976,-0.158224180627,-0.158
Free Cash Flow margin,244.635551422,-0.950150116583,-0.949925454652,-1.40613736944,-0.949212839017,-1.55022293421,-1.13415153082,-1.1342
EBITDA,-109428411.0,9170564.0,-5121563.0,-2158114.0,2275435.0,896031.0,-824144.0,9342040.0
EBIT,-119451413.0,725312.0,-8833619.0,-5962909.0,-194955.0,-1012899.0,-2826656.0,9342040.0
Consolidated Income,-119451413.0,391909.0,-5324032.0,-5962909.0,-194955.0,-1012899.0,-2826656.0,-2826656.0
Earnings Before Tax Margin,-0.0,0.0104395485296,-0.222889655627,0.0,0.0,0.0,0.0,0.0829
Net Profit Margin,306.057308521,0.00564081805442,-0.134335843444,-0.195655482941,-0.00589615401575,-0.0577947434976,-0.158224180627,-0.1582
