Date,2018-12-05,2017-12-31
Depreciation & Amortization,0.0,0.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,-1534904.0,0.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,-0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,709961.0,828555.0
Issuance (repayment) of debt,-0.0,-0.0
Issuance (buybacks) of shares,-3612.0,-828555.0
Dividend payments,-0.0,-0.0
Financing Cash Flow,0.0,0.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-824943.0,828555.0
Free Cash Flow,-1534904.0,0.0
Net Cash/Marketcap,0.0,0.0
