date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY
,revenue,88638000.0,145968000.0,77474000.0,30767000.0,1279000.0,0.0,0.0,0.0,0.0,646000.0,1301000.0,1261000.0,369000.0,412000.0,0.0,5391000.0,5404000.0,4848000.0,5815000.0,4387262.0,3365859.0,20400000.0,20000000.0,18300000.0,18700000.0,16100000.0,15900000.0,19900000.0,7300000.0,2800000.0,2400000.0,2800000.0,2500000.0,1700000.0
,costOfRevenue,36189000.0,61619000.0,27512000.0,4588000.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445000.0,440270.0,613201.0,6400000.0,5700000.0,6000000.0,9400000.0,9800000.0,9000000.0,11600000.0,3800000.0,1100000.0,1200000.0,700000.0,600000.0,400000.0
,grossProfit,52449000.0,84349000.0,49962000.0,26179000.0,1244000.0,0.0,0.0,0.0,0.0,646000.0,1301000.0,1261000.0,369000.0,0.0,0.0,0.0,0.0,0.0,5370000.0,3946992.0,2752658.0,14000000.0,14300000.0,12300000.0,9300000.0,6300000.0,6900000.0,8300000.0,3500000.0,1700000.0,1200000.0,2100000.0,1900000.0,1300000.0
,grossProfitRatio,0.591721383605226,0.577859530856078,0.644887317035392,0.850879188741184,0.972634870992963,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.92347377472055,0.899648117664274,0.81781738331879,0.686274509803922,0.715,0.672131147540984,0.497326203208556,0.391304347826087,0.433962264150943,0.417085427135678,0.479452054794521,0.607142857142857,0.5,0.75,0.76,0.764705882352941
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,174533000.0,167382000.0,140032000.0,138582000.0,103125000.0,61183000.0,54833000.0,32780000.0,15045000.0,8207000.0,7264000.0,7796000.0,19507000.0,19364000.0,15236000.0,10299000.0,11495000.0,8660000.0,6699000.0,7348497.0,3713089.0,4300000.0,4400000.0,3700000.0,3500000.0,4100000.0,6300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,42226000.0,37897000.0,29263000.0,25554000.0,21366000.0,35742000.0,19728000.0,21677000.0,8786000.0,3501000.0,3971000.0,3707000.0,4307000.0,4681000.0,3628000.0,3565000.0,3225000.0,2800000.0,3495000.0,3301703.0,3463161.0,6500000.0,6000000.0,7400000.0,11400000.0,9600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,63853000.0,89764000.0,64604000.0,56601000.0,47668000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-847000.0,158000.0,1804000.0,-38000.0,436000.0,292000.0,-919000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
