date,,2021-02-28_FY,2020-02-29_FY,2019-02-28_FY,2018-02-28_FY,2017-02-28_FY,2016-02-29_FY,2015-02-28_FY,2014-02-28_FY,2013-02-28_FY,2012-02-28_FY,2011-02-28_FY,2010-02-28_FY,2009-02-28_FY,2008-02-28_FY,2007-02-28_FY,2006-02-28_FY,2005-02-28_FY,2004-02-28_FY,2003-02-28_FY,2002-02-28_FY,2001-03-03_FY,2000-02-26_FY,1999-02-27_FY,1998-02-28_FY,1997-03-01_FY,1996-03-02_FY,1995-02-28_FY,1994-02-28_FY,1993-02-28_FY,1992-02-29_FY,1991-02-28_FY,1990-02-28_FY,1989-02-28_FY,1988-02-29_FY,1987-02-28_FY,1986-02-28_FY
,revenue,308587000.0,366107000.0,363800000.0,365912000.0,351102000.0,280719000.0,250606000.0,235903000.0,180579000.0,138700000.0,114333000.0,112113000.0,98370000.0,140900000.0,222339000.0,217493000.0,220027000.0,128600000.0,100044000.0,100715000.0,125000000.0,85600000.0,37100000.0,46900000.0,49300000.0,61600000.0,45700000.0,40700000.0,35800000.0,20600000.0,14300000.0,10900000.0,9100000.0,7500000.0,7700000.0,14600000.0
,costOfRevenue,186182000.0,222804000.0,216036000.0,215022000.0,207750000.0,177760000.0,163202000.0,155972000.0,123686000.0,96700000.0,84775000.0,89723000.0,60244000.0,122400000.0,172938000.0,164747000.0,178649000.0,111000000.0,79511000.0,77834000.0,98500000.0,62200000.0,26600000.0,32900000.0,34800000.0,40600000.0,28900000.0,27400000.0,22300000.0,12200000.0,10800000.0,7400000.0,6500000.0,4500000.0,4000000.0,15900000.0
,grossProfit,122405000.0,143303000.0,147764000.0,150890000.0,143352000.0,102959000.0,87404000.0,79931000.0,56893000.0,42000000.0,29558000.0,22390000.0,38126000.0,18500000.0,49401000.0,52746000.0,41378000.0,17700000.0,20533000.0,22881000.0,26500000.0,23400000.0,10500000.0,14000000.0,14500000.0,21000000.0,16800000.0,13300000.0,13500000.0,8400000.0,3500000.0,3500000.0,2600000.0,3000000.0,3700000.0,-1300000.0
,grossProfitRatio,0.396662853587481,0.391423818719664,0.406168224299065,0.412366907890422,0.408291607567032,0.366768904135452,0.348770580113804,0.338829942815479,0.315058783136467,0.30281182408075,0.258525535059869,0.199709221945715,0.387577513469554,0.131298793470546,0.22218774034245,0.242518150009426,0.188058738245761,0.137636080870918,0.205239694534405,0.227185622797001,0.212,0.273364485981308,0.283018867924528,0.298507462686567,0.294117647058824,0.340909090909091,0.367614879649891,0.326781326781327,0.377094972067039,0.407766990291262,0.244755244755245,0.321100917431193,0.285714285714286,0.4,0.480519480519481,-0.089041095890411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,25811000.0,29436000.0,27656000.0,25761000.0,22005000.0,19803000.0,19854000.0,21052000.0,14291000.0,11300000.0,11125000.0,10943000.0,12899000.0,15700000.0,15015000.0,9109000.0,8320000.0,5400000.0,5982000.0,7583000.0,7000000.0,5200000.0,4800000.0,4500000.0,5800000.0,4400000.0,3200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,49077000.0,57669000.0,31070000.0,52089000.0,57119000.0,25065000.0,15578000.0,14416000.0,12154000.0,10940000.0,8858000.0,10523000.0,12087000.0,25600000.0,0.0,0.0,0.0,6300000.0,0.0,10039000.0,10700000.0,10400000.0,8300000.0,10000000.0,8000000.0,9100000.0,7300000.0,9200000.0,8300000.0,5800000.0,3400000.0,2800000.0,2400000.0,2000000.0,2400000.0,3300000.0
,SellingAndMarketingExpenses,46202000.0,60534000.0,49892000.0,50096000.0,49044000.0,23380000.0,20442000.0,19837000.0,12725000.0,11060000.0,10503000.0,9542000.0,8959000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,125871000.0,159960000.0,120054000.0,142935000.0,143229000.0,74874000.0,62464000.0,61588000.0,40913000.0,34700000.0,31618000.0,32375000.0,38374000.0,119300000.0,71532000.0,28543000.0,27859000.0,11600000.0,12323000.0,17622000.0,17600000.0,25100000.0,13100000.0,17800000.0,13800000.0,13500000.0,13000000.0,10600000.0,9200000.0,6400000.0,3800000.0,3200000.0,2900000.0,2400000.0,2800000.0,5000000.0
