date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2011-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-18710000.0,-26635000.0,-34803000.0,-38447000.0,-38575000.0,-30082000.0,-25848000.0,-16120000.0,-43553000.0,-4380000.0,-147817.0
,depreciationAndAmortization,1142000.0,980000.0,1267000.0,1149000.0,815000.0,472000.0,387000.0,80000.0,195000.0,70000.0,2277.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,4108000.0,5193000.0,6903000.0,7392000.0,8556000.0,7020000.0,4600000.0,0.0,1435000.0,0.0,0.0
,changeInWorkingCapital,-8329000.0,-7265000.0,-16979000.0,-81000.0,12661000.0,-767000.0,39508000.0,13929000.0,-5219000.0,-943583.0,3192.0
,accountsReceivables,392000.0,380000.0,-236000.0,-388000.0,-259000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,276000.0,352000.0,-292000.0,-216000.0,-268000.0,-3000.0,25000.0,0.0,-459000.0,0.0,0.0
,accountsPayables,92000.0,164000.0,-707000.0,384000.0,-600000.0,1061000.0,-315000.0,0.0,-233000.0,-650000.0,0.0
,otherWorkingCapital,26508000.0,34837000.0,42102000.0,59081000.0,59162000.0,46501000.0,47268000.0,7760000.0,-6169000.0,-950000.0,-6417.0
,otherNonCashItems,-525000.0,0.0,25000.0,0.0,-92000.0,557000.0,323000.0,13210000.0,1783000.0,1850000.0,-142617.0
,netCashProvidedByOperatingActivites,-14882000.0,-20375000.0,-28857000.0,-29185000.0,-29368000.0,-19601000.0,-15561000.0,-2760000.0,-9693000.0,-1910000.0,-109425.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-79000.0,-226000.0,-1354000.0,-2114000.0,-1517000.0,-277000.0,-160000.0,-357000.0,-110000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,-48000.0,0.0,0.0,9000.0,15628000.0,-88000.0,0.0,0.0
,netCashUsedForInvestingActivites,747000.0,-76000.0,-292000.0,-1391000.0,-2135000.0,-1517000.0,-268000.0,-160000.0,-445000.0,-110000.0,-30000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,-5000.0,-10000.0,-10000.0,0.0,-117000.0,0.0,0.0
,commonStockIssued,4996000.0,13327000.0,9287000.0,30665000.0,43137000.0,22752000.0,48016000.0,0.0,24714000.0,0.0,75.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-61000.0,-223000.0,0.0,0.0,0.0,0.0,-40000.0,15628000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,4935000.0,13154000.0,10113000.0,31247000.0,43452000.0,23093000.0,48368000.0,3720000.0,24615000.0,2080000.0,75.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,11000.0,-11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-9200000.0,-7297000.0,-19025000.0,660000.0,11949000.0,1975000.0,32539000.0,810000.0,14477000.0,50000.0,-139350.0
,cashAtEndOfPeriod,27356000.0,36556000.0,43726000.0,62751000.0,62091000.0,50142000.0,48167000.0,15630000.0,14817000.0,50000.0,1775.0
,cashAtBeginningOfPeriod,36556000.0,43853000.0,62751000.0,62091000.0,50142000.0,48167000.0,15628000.0,14820000.0,340000.0,0.0,141125.0
,operatingCashFlow,-14882000.0,-20375000.0,-28857000.0,-29185000.0,-29368000.0,-19601000.0,-15561000.0,-2760000.0,-9693000.0,-1910000.0,-109425.0
,capitalExpenditure,0.0,-79000.0,-296000.0,-1354000.0,-2149000.0,-1517000.0,-277000.0,-160000.0,-357000.0,-110000.0,-30000.0
,freeCashFlow,-14882000.0,-20454000.0,-29153000.0,-30539000.0,-31517000.0,-21118000.0,-15838000.0,-2920000.0,-10050000.0,-2020000.0,-139425.0
