date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,revenue,476978000000.0,413182184000.0,371092421000.0,290441208000.0,274884107000.0,283302536000.0,256591447000.0,219862446000.0,193972392000.0,185347206000.0,188742797000.0,85775314000.0,94430912000.0,101168479082.17,100408141182.25,84253573295.0,81598634309.64,57254197956.96,45695340844.01,38367837692.8,50893373208.4,33193982116.48
,costOfRevenue,398994000000.0,348871391000.0,309929371000.0,237708937000.0,221689888000.0,233167308000.0,203002918000.0,177040435000.0,157348622000.0,150338403000.0,148198224000.0,67629130000.0,71901714000.0,72078579404.83,71632191250.4,69698146135.0,65355845638.44,46419765883.32,38583897099.07,32957032717.84,26413673277.94,18218139757.16
,grossProfit,77984000000.0,64310793000.0,61163050000.0,52732271000.0,53194219000.0,50135228000.0,53588529000.0,42822011000.0,36623770000.0,35008803000.0,40544573000.0,18146184000.0,22529198000.0,29089899677.34,28775949931.85,14555427160.0,16242788671.2,10834432073.64,7111443744.94,5410804974.96,24479699930.46,14975842359.32
,grossProfitRatio,0.163496010298169,0.155647546022943,0.164818914477372,0.181559191834789,0.193515076519138,0.176967099228508,0.208847682284593,0.194767281903159,0.188809188887045,0.188882280750431,0.214813882407391,0.211554853649384,0.238578634081179,0.28753916181455,0.28658980828675,0.172757386906744,0.199057114235074,0.189233845905668,0.155627326847529,0.141024496044909,0.48099975276191,0.451161367345705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,19301000000.0,18395334000.0,14962799000.0,11746613000.0,11391147000.0,10937566000.0,10289684000.0,9064712000.0,7874210000.0,7117964000.0,6162191000.0,3611950000.0,3876822000.0,3284231570.18,2631627347.14,2792659970.0,2580855696.72,2351680996.02,2053843555.28,1504545671.2,1262516450.24,727115352.08
,GeneralAndAdministrativeExpenses,23806000000.0,17097431000.0,14643014000.0,12543639000.0,11674860000.0,10841013000.0,10316911000.0,9771672000.0,8225415000.0,8299543000.0,7373733000.0,4310692000.0,5694224000.0,6507459056.23,5701033766.23,5928507800.0,6121331012.16,5215518228.42,5744452389.33,4368357272.4,4186456601.98,3142441309.69
,SellingAndMarketingExpenses,0.0,5751168000.0,4933602000.0,3308992000.0,3432487000.0,3588472000.0,3438166000.0,2982789000.0,2762763000.0,2770045000.0,2909643000.0,1209199000.0,1158637000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,2327000000.0,128276000.0,1274969000.0,133088000.0,44094000.0,49403000.0,60452000.0,188183000.0,189656000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
