Date,2018-12-31,2017-12-31
Revenue,133921000.0,323000000.0
Revenue Growth,-0.585383900928793,
Cost of Revenue,5492000.0,141000000.0
Gross Profit,128429000.0,70000000.0
R&D Expenses,0.0,
SG&A Expense,7413000.0,19000000.0
Operating Expenses,105051000.0,
Operating Income,23378000.0,41000000.0
Interest Expense,11785000.0,
Earnings before Tax,12700000.0,22000000.0
Income Tax Expense,0.0,
Net Income - Non-Controlling int,0.0,
Net Income - Discontinued ops,0.0,
Net Income,12700000.0,
Preferred Dividends,0.0,
Net Income Com,12700000.0,22000000.0
EPS,0.38,1.18
EPS Diluted,0.38,1.18
Weighted Average Shs Out,34603100.0,29000000.0
Weighted Average Shs Out (Dil),33527135.0,
Dividend per Share,0.0,
Gross Margin,0.959,0.2167
EBITDA Margin,0.471,
EBIT Margin,0.1828,
Profit Margin,0.095,
Free Cash Flow margin,-0.9184,
EBITDA,63037000.0,
EBIT,24485000.0,
Consolidated Income,12700000.0,
Earnings Before Tax Margin,0.0948,0.0681
Net Profit Margin,0.0948,
