Date,2019-06-30,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06,2014-06
Revenue,1903000000.0,1589000000.0,1584000000.0,1418000000.0,1416000000.0,1265000000.0,1264000000.0,1348000000.0,1515000000.0
Revenue Growth,0.1976,0.1206,,0.1209,,,,,
Cost of Revenue,1472000000.0,1211000000.0,1811000000.0,1146000000.0,1466000000.0,955000000.0,1101000000.0,1668000000.0,1593000000.0
Gross Profit,144000000.0,177000000.0,-227000000.0,87000000.0,-50000000.0,161000000.0,163000000.0,-320000000.0,-78000000.0
R&D Expenses,,,,,,,,,
SG&A Expense,52000000.0,63000000.0,63000000.0,38000000.0,38000000.0,32000000.0,28000000.0,33000000.0,42000000.0
Operating Expenses,,,,,,,,,
Operating Income,81000000.0,106000000.0,,43000000.0,,124000000.0,,,
Interest Expense,,,26000000.0,,17000000.0,,19000000.0,22000000.0,27000000.0
Earnings before Tax,-194000000.0,-367000000.0,,-11000000.0,,109000000.0,,,
Income Tax Expense,10000000.0,18000000.0,-18000000.0,38000000.0,-37000000.0,-44000000.0,43000000.0,-62000000.0,-27000000.0
Net Income - Non-Controlling int,,,,,,,,,
Net Income - Discontinued ops,,,,,,,,,
Net Income,,,-321000000.0,,17000000.0,,66000000.0,-374000000.0,-118000000.0
Preferred Dividends,,,,,,,,,
Net Income Com,-184000000.0,-349000000.0,-321000000.0,27000000.0,17000000.0,65000000.0,66000000.0,-374000000.0,-118000000.0
EPS,-0.35,-0.78,-0.72,0.06,0.04,0.15,0.15,-0.86,-0.27
EPS Diluted,-0.35,-0.78,-0.72,0.06,0.04,0.15,0.15,-0.86,-0.27
Weighted Average Shs Out,540000000.0,500000000.0,446000000.0,440000000.0,438000000.0,437000000.0,436000000.0,434000000.0,433000000.0
Weighted Average Shs Out (Dil),,,465000000.0,,459000000.0,,446000000.0,438000000.0,435000000.0
Dividend per Share,,,,,,,,,
Gross Margin,0.0757,0.1114,-0.14330808080808,0.0614,-0.035310734463277,0.1273,0.12895569620253,-0.23738872403561,-0.051485148514851
EBITDA Margin,,,-0.071338383838384,,0.12853107344633,,0.21914556962025,-0.14391691394659,0.061386138613861
EBIT Margin,,,-0.19760101010101,,-0.0021186440677966,,0.10126582278481,-0.30712166172107,-0.077887788778878
Profit Margin,,,-0.20265151515152,,0.012005649717514,,0.052215189873418,-0.27744807121662,-0.077887788778878
Free Cash Flow margin,,,,,,,,,
EBITDA,,,-113000000.0,,182000000.0,,277000000.0,-194000000.0,93000000.0
EBIT,,,-313000000,,-3000000,,128000000,-414000000,-118000000
Consolidated Income,,,-321000000.0,,17000000.0,,66000000.0,-374000000.0,-118000000.0
Earnings Before Tax Margin,-0.1019,-0.231,0,-0.0078,0,0.0862,0,0,0
Net Profit Margin,,,-0.20265151515152,,0.012005649717514,,0.052215189873418,-0.27744807121662,-0.077887788778878
