Date,2018-12,2017-12,2016-12,2015-12,2014-12
Cash and cash equivalents,204000000.0,168000000.0,166000000.0,95000000.0,154000000.0
Short-term investments,20000000.0,000000.0,000000.0,44000000.0,000000.0
Cash and short-term investments,20000000.0,000000.0,000000.0,44000000.0,000000.0
Receivables,28000000.0,28000000.0,29000000.0,8000000.0,20000000.0
Inventories,61000000.0,63000000.0,36000000.0,79000000.0,55000000.0
Total current assets,292000000.0,229000000.0,196000000.0,112000000.0,397000000.0
Property Plant & Equipment Net,271000000.0,214000000.0,180000000.0,100000000.0,322000000.0
Goodwill and Intangible Assets,0,0,0,0,0
Long-term investments,,,,,
Tax assets,000000.0,000000.0,000000.0,4000000.0,10000000.0
Total non-current assets,58000000.0,61000000.0,60000000.0,58000000.0,46000000.0
Total assets,609000000.0,490000000.0,429000000.0,341000000.0,628000000.0
Payables,20000000.0,19000000.0,17000000.0,15000000.0,23000000.0
Short-term debt,7000000.0,5000000.0,7000000.0,5000000.0,000000.0
Total current liabilities,72000000.0,41000000.0,36000000.0,37000000.0,47000000.0
Long-term debt,1000000.0,000000.0,3000000.0,7000000.0,000000.0
Total debt,1000000.0,000000.0,3000000.0,7000000.0,000000.0
Deferred revenue,,,,,
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,58000000.0,61000000.0,60000000.0,58000000.0,46000000.0
Total liabilities,131000000.0,102000000.0,96000000.0,96000000.0,93000000.0
Other comprehensive income,0000000.0,000000.0,000000.0,000000.0,000000.0
Retained earnings (deficit),146000000.0,56000000.0,1000000.0,-86000000.0,203000000.0
Total shareholders equity,478000000.0,388000000.0,333000000.0,246000000.0,535000000.0
Investments,,,,,
Net Debt,-196000000,-163000000,-156000000,-83000000,-154000000
Other Assets,9000000,8000000,8000000,10000000,8000000
Other Liabilities,100000000,75000000,66000000,60000000,55000000
