date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,733601000.0,711518000.0,620795000.0,702503000.0,767585000.0,856878000.0,806831000.0,731418000.0,687584000.0,627333000.0,686922000.0,622244000.0,586879000.0,515761000.0,425980000.0,0.0,0.0,0.0,0.0,318800000.0
,costOfRevenue,562373000.0,557761000.0,509335000.0,652620000.0,681197000.0,760955000.0,714335000.0,631123000.0,619185000.0,534316000.0,564140000.0,534000000.0,517576000.0,447814000.0,368991000.0,0.0,0.0,328200000.0,294600000.0,260500000.0
,grossProfit,171228000.0,153757000.0,111460000.0,49883000.0,86388000.0,95923000.0,92496000.0,100295000.0,68399000.0,93017000.0,122782000.0,88244000.0,69303000.0,67947000.0,56989000.0,0.0,0.0,-328200000.0,-294600000.0,58300000.0
,grossProfitRatio,0.233407533522991,0.216097133171613,0.179543971842557,0.0710075259465084,0.112545190434936,0.111944757596764,0.114641108237041,0.137124052183567,0.0994773002280449,0.148273723843636,0.178742273504124,0.141815750734439,0.118087374058366,0.13174125224668,0.133783276210151,0.0,0.0,0.0,0.0,0.182873274780427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,62757000.0,59110000.0,55108000.0,68331000.0,65533000.0,71069000.0,67911000.0,68039000.0,53459000.0,50434000.0,54352000.0,45220000.0,42766000.0,38705000.0,0.0,0.0,0.0,0.0,29800000.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,1110000.0,317000.0,-2590000.0,-788000.0,-3377000.0,-1229000.0,210000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
