date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-103692000.0,225108000.0,5882000.0,134000.0,-20064000.0,-11826000.0,7780000.0,24821000.0,2194000.0
,depreciationAndAmortization,202746000.0,201387000.0,163013000.0,96416000.0,65657000.0,52324000.0,18692000.0,3909000.0,1398000.0
,deferredIncomeTax,-5851000.0,14495000.0,649000.0,227000.0,-387000.0,61000.0,626000.0,0.0,0.0
,stockBasedCompensation,2325000.0,8404000.0,901000.0,1343000.0,-3672000.0,4662000.0,1265000.0,0.0,0.0
,changeInWorkingCapital,-8596000.0,74386000.0,16161000.0,-61432000.0,-117529000.0,76794000.0,46251000.0,37812000.0,-638000.0
,accountsReceivables,-59734000.0,-22622000.0,-23340000.0,-12001000.0,-7980000.0,-5940000.0,-7212000.0,-2609000.0,-23000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-5258000.0,31543000.0,30471000.0,10266000.0,7726000.0,3180000.0,-45900000.0,892000.0,-750000.0
,otherWorkingCapital,146851000.0,155447000.0,81061000.0,64900000.0,126332000.0,243861000.0,167067000.0,120816000.0,83004000.0
,otherNonCashItems,2455000.0,-11225000.0,-897000.0,3781000.0,2362000.0,780000.0,544000.0,125000.0,-3755000.0
,netCashProvidedByOperatingActivites,63106000.0,151043000.0,133697000.0,68497000.0,30903000.0,23528000.0,-31551000.0,11913000.0,-2021000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-594778000.0,-900740000.0,-738101000.0,-554099000.0,-271942000.0,-261118000.0,-448867000.0,-129853000.0,-95000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-157000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,30238000.0,0.0,0.0,0.0,22000000.0,0.0
,otherInvestingActivites,13823000.0,13398000.0,1069000.0,32509000.0,68098000.0,4897000.0,-95941000.0,7143000.0,0.0
,netCashUsedForInvestingActivites,-509123000.0,-495236000.0,-703533000.0,-440230000.0,-213098000.0,-239921000.0,-571416000.0,-87765000.0,-149554000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-852197000.0,-405131000.0,-218819000.0,-125223000.0,-160166000.0,-23761000.0,-31131000.0,-7377000.0,0.0
,commonStockIssued,0.0,0.0,148318000.0,0.0,0.0,354057000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-131441000.0,-115379000.0,-110584000.0,-100058000.0,-100027000.0,-81260000.0,-75999000.0,-39631000.0,-1979000.0
,otherFinancingActivites,-12119000.0,3562000.0,27972000.0,21168000.0,18082000.0,326735000.0,545417000.0,101198000.0,100587000.0
,netCashUsedProvidedByFinancingActivities,364918000.0,465873000.0,597867000.0,363078000.0,-131453000.0,575971000.0,617856000.0,78964000.0,154599000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-81099000.0,121680000.0,28031000.0,-8655000.0,-313648000.0,359578000.0,14889000.0,3112000.0,3024000.0
,cashAtEndOfPeriod,161418000.0,242517000.0,120837000.0,59400000.0,68055000.0,381703000.0,22125000.0,7236000.0,4124000.0
,cashAtBeginningOfPeriod,242517000.0,120837000.0,92806000.0,68055000.0,381703000.0,22125000.0,7236000.0,4124000.0,1100000.0
,operatingCashFlow,63106000.0,151043000.0,133697000.0,68497000.0,30903000.0,23528000.0,-31551000.0,11913000.0,-2021000.0
,capitalExpenditure,-594778000.0,-900740000.0,-749497000.0,-564248000.0,-276469000.0,-263564000.0,-469302000.0,-129853000.0,-95000000.0
,freeCashFlow,-531672000.0,-749697000.0,-615800000.0,-495751000.0,-245566000.0,-240036000.0,-500853000.0,-117940000.0,-97021000.0
