date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-123300000.0,-80800000.0,-66200000.0,48580000.0,-252415000.0,-47726000.0,112494000.0,-40313000.0,-35610000.0,11325000.0,59971000.0,-205982000.0,-898316000.0,-101249000.0,-40955000.0,-116255000.0,27971000.0,966000.0,-18608000.0,-13702000.0,25305000.0,3900000.0,17900000.0,1100000.0,16500000.0
,depreciationAndAmortization,83000000.0,83200000.0,90100000.0,84249000.0,84780000.0,80117000.0,70731000.0,66570000.0,62570000.0,0.0,63550000.0,72624000.0,84268000.0,78060000.0,69220000.0,56533000.0,50254000.0,51264000.0,56655000.0,44433000.0,14395000.0,18700000.0,19700000.0,18400000.0,18000000.0
,deferredIncomeTax,0.0,0.0,0.0,-4610000.0,-893000.0,-178000.0,2633000.0,0.0,1529000.0,2494000.0,15552000.0,44952000.0,329526000.0,-131819000.0,-126342000.0,-59834000.0,6623000.0,8892000.0,4965000.0,-10148000.0,12448000.0,22000000.0,-3800000.0,-6400000.0,-7900000.0
,stockBasedCompensation,0.0,0.0,0.0,1851000.0,1502000.0,1844000.0,1334000.0,1078000.0,613000.0,2856000.0,1905000.0,3338000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,22400000.0,-28800000.0,-80757000.0,101695000.0,-19276000.0,-22178000.0,79618000.0,-82395000.0,10738000.0,-27263000.0,45408000.0,189438000.0,-108296000.0,324306000.0,43914000.0,-69185000.0,-181901000.0,-16084000.0,28238000.0,-10321000.0,-47699000.0,-63700000.0,7600000.0,14200000.0,2000000.0
,accountsReceivables,19100000.0,12400000.0,-39400000.0,-30639000.0,-2957000.0,68192000.0,-19981000.0,-6001000.0,-2537000.0,-3744000.0,-6197000.0,23154000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-15500000.0,4400000.0,-62800000.0,-67534000.0,919000.0,44896000.0,-16513000.0,-21740000.0,31854000.0,-35819000.0,-24009000.0,35766000.0,-18839000.0,-26080000.0,-28524000.0,-152000.0,-4937000.0,-2762000.0,-1671000.0,763000.0,3086000.0,26800000.0,-22800000.0,6100000.0,-16800000.0
,accountsPayables,20600000.0,-25200000.0,30500000.0,4746000.0,2271000.0,-60583000.0,11797000.0,25224000.0,-12114000.0,-904000.0,11674000.0,-17596000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,400000.0,253600000.0,282400000.0,363157000.0,261462000.0,280738000.0,302916000.0,223298000.0,305693000.0,294955000.0,322218000.0,276810000.0,87372000.0,195668000.0,-128638000.0,-172552000.0,-103367000.0,78534000.0,94618000.0,66380000.0,76701000.0,124400000.0,188100000.0,180500000.0,166300000.0
,otherNonCashItems,44100000.0,12900000.0,23300000.0,-792000.0,0.0,-18337000.0,-3232000.0,5124000.0,6320000.0,5838000.0,12665000.0,-19451000.0,763359000.0,415158000.0,352817000.0,-22127000.0,-1130000.0,13045000.0,0.0,-3178000.0,0.0,100000.0,2000000.0,1000000.0,1700000.0
,netCashProvidedByOperatingActivites,42900000.0,17700000.0,-69100000.0,51759000.0,38173000.0,31866000.0,196411000.0,19718000.0,37139000.0,-2936000.0,131510000.0,39399000.0,-665438000.0,-5755000.0,185353000.0,134936000.0,105828000.0,87379000.0,54486000.0,38623000.0,58103000.0,-44200000.0,25400000.0,9300000.0,8400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-13400000.0,-59600000.0,-83000000.0,-31839000.0,-21944000.0,-54700000.0,-54789000.0,-64746000.0,-31491000.0,-20100000.0,-12241000.0,-16935000.0,-44536000.0,-24240000.0,-23602000.0,-18027000.0,-15240000.0,-18858000.0,-18427000.0,-14456000.0,-112365000.0,-23000000.0,-51500000.0,-40000000.0,-20600000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,11000000.0,-66000000.0,-48000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-113000.0,-32000.0,-9058000.0,-36974000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5206000.0,0.0,1754000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-259000.0,10000.0,896000.0,-1439000.0,-258000.0,3673000.0,0.0,0.0,-80306000.0,-85026000.0,-196094000.0,-280436000.0,-61462000.0,0.0,0.0,98971000.0,5642000.0,0.0,-300000.0,0.0,-52000000.0
,netCashUsedForInvestingActivites,-11800000.0,-38800000.0,-82900000.0,-17355000.0,-21163000.0,-43363000.0,-109057000.0,-117174000.0,-32531000.0,-24895000.0,-25471000.0,-46213000.0,-159731000.0,-108571000.0,-211937000.0,-305339000.0,-275286000.0,-78695000.0,-18196000.0,-382245000.0,-106158000.0,222700000.0,-51800000.0,-40000000.0,-72600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
