date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-31_FY,2005-12-31_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-206723000.0,-386618000.0,-214295000.0,-194506000.0,-23927000.0,51413000.0,13659000.0,-32119000.0,-85330000.0,-81744000.0,-27932000.0,-86622000.0,78728000.0,-55342000.0,-89935000.0,-67100000.0,-50231000.0
,depreciationAndAmortization,100140000.0,119824000.0,100494000.0,65997000.0,61489000.0,35777000.0,25917000.0,24600000.0,23700000.0,17859000.0,15600000.0,16500000.0,13000000.0,9800000.0,7676000.0,6638000.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,49461000.0,43294000.0,43410000.0,45720000.0,40533000.0,32580000.0,28394000.0,31976000.0,41819000.0,50157000.0,50335000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,200475000.0,-226718000.0,180969000.0,-240629000.0,85818000.0,-49452000.0,79324000.0,112700000.0,21734000.0,-77734000.0,34600000.0,17200000.0,52200000.0,235282000.0,-27361000.0,29579000.0,0.0
,accountsReceivables,32150000.0,-35395000.0,-21111000.0,25849000.0,33895000.0,-15971000.0,-53951000.0,6341000.0,-26517000.0,-4686000.0,-6755000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,71424000.0,-42840000.0,-8617000.0,2727000.0,-64095000.0,-17116000.0,-25486000.0,-3036000.0,-40623000.0,-6007000.0,-13143000.0,0.0,0.0,0.0,-33616000.0,-16466000.0,0.0
,accountsPayables,-93411000.0,83272000.0,-520000.0,-4763000.0,-28254000.0,19223000.0,18810000.0,-20202000.0,15410000.0,9342000.0,1161000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,427987000.0,227512000.0,454230000.0,273261000.0,513890000.0,428072000.0,477524000.0,398200000.0,285500000.0,263766000.0,341500000.0,306900000.0,289700000.0,237500000.0,2218000.0,29579000.0,0.0
,otherNonCashItems,0.0,107712000.0,71920000.0,88944000.0,10932000.0,44336000.0,40552000.0,37800000.0,43500000.0,-81968000.0,53600000.0,38400000.0,24800000.0,26700000.0,8134000.0,-786000.0,0.0
,netCashProvidedByOperatingActivites,-112300000.0,-167350000.0,-99083000.0,-21925000.0,38377000.0,133176000.0,35963000.0,35200000.0,-49500000.0,-1965000.0,30500000.0,-32600000.0,19900000.0,23100000.0,-67775000.0,-56449000.0,-43727000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-39009000.0,-30202000.0,-37692000.0,-58041000.0,-43335000.0,-42018000.0,-23122000.0,-21068000.0,-25395000.0,-39382000.0,-20672000.0,-15400000.0,-22900000.0,-20200000.0,-19930000.0,-4706000.0,0.0
,acquisitionsNet,0.0,-10000000.0,-102899000.0,0.0,0.0,-144445000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-2986000.0,-160215000.0,-131077000.0,-186737000.0,-5500000.0,-1544000.0,-882000.0,-277834000.0,-253130000.0,0.0,0.0,0.0,-6501000.0,-2715000.0,0.0
,salesMaturitiesOfInvestments,0.0,27593000.0,0.0,0.0,166381000.0,0.0,0.0,0.0,0.0,291853000.0,0.0,0.0,0.0,0.0,6912000.0,36672000.0,0.0
,otherInvestingActivites,0.0,0.0,274122000.0,7488000.0,-4084000.0,94988000.0,-67437000.0,-159014000.0,75253000.0,195000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4892000.0
,netCashUsedForInvestingActivites,-39009000.0,-12609000.0,12624000.0,-54849000.0,-12115000.0,-91475000.0,-96059000.0,-180800000.0,48900000.0,-25168000.0,-45700000.0,-33300000.0,44200000.0,-230300000.0,-18069000.0,29451000.0,-4892000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2455000.0,-300000.0,-150000000.0,5690000.0,0.0,4570000.0,1697000.0,2135000.0,923000.0,0.0,739000.0,1442000.0,1036000.0,121000.0,0.0,0.0,0.0
,commonStockIssued,92916000.0,12053000.0,17693000.0,17991000.0,17648000.0,25351000.0,24707000.0,23185000.0,11580000.0,10023000.0,19348000.0,9310000.0,11482000.0,3535000.0,78432000.0,43636000.0,0.0
,commonStockRepurchased,0.0,12053000.0,17693000.0,17991000.0,0.0,25351000.0,24707000.0,23200000.0,11600000.0,-1248000.0,19300000.0,9300000.0,11500000.0,297700000.0,-7000.0,-7000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,169358000.0,543150000.0,120436000.0,-26514000.0,144733000.0,84649000.0,144469000.0,0.0,-262000.0,0.0,0.0,0.0,0.0,-14000.0,-185000.0,53573000.0
,netCashUsedProvidedByFinancingActivities,334162000.0,71910000.0,207889000.0,16486000.0,-8866000.0,20983000.0,22861000.0,166100000.0,10700000.0,8513000.0,19000000.0,8900000.0,11700000.0,269500000.0,78780000.0,58059000.0,53573000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-1491000.0,-579000.0,4194000.0,-3856000.0,-78000.0,-600000.0,-800000.0,100000.0,-571000.0,0.0,100000.0,-300000.0,100000.0,-65000.0,-79000.0,0.0
