Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,64613000.0,65000000.0,8822000.0,9000000.0,21939000.0,22000000.0,51000000.0,61000000.0,185175000.0,128817000.0,0.0
Short-term investments,11790000.0,,11449000.0,,0.0,,,,0.0,0.0,0.0
Cash and short-term investments,64613000.0,,8822000.0,,21939000.0,,,,185175000.0,128817000.0,0.0
Receivables,20378000.0,20000000.0,22043000.0,22000000.0,40838000.0,41000000.0,89000000.0,100000000.0,85706000.0,85214000.0,0.0
Inventories,1323000.0,1000000.0,7465000.0,7000000.0,0.0,000000.0,000000.0,000000.0,0.0,0.0,0.0
Total current assets,103520000.0,368000000.0,52889000.0,1001000000.0,86997000.0,1283000000.0,1550000000.0,1583000000.0,304573000.0,241542000.0,0.0
Property Plant & Equipment Net,363845000.0,364000000.0,970522000.0,995000000.0,1195669000.0,1266000000.0,1485000000.0,1495000000.0,1136360000.0,1143441000.0,0.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,41000000,50000000,55062000.0,55722000.0,0.0
Long-term investments,0.0,,0.0,,0.0,,,,0.0,0.0,0.0
Tax assets,7480000.0,,83311000.0,,74361000.0,,,,69493000.0,0.0,0.0
Total non-current assets,368435000.0,115000000.0,1001014000.0,79000000.0,1283273000.0,624000000.0,680000000.0,636000000.0,1441101000.0,1258257000.0,0.0
Total assets,471955000.0,472000000.0,1053903000.0,1054000000.0,1370270000.0,1370000000.0,1716000000.0,1773000000.0,1745674000.0,1499799000.0,0.0
Payables,12770000.0,13000000.0,11666000.0,12000000.0,13170000.0,13000000.0,22000000.0,27000000.0,29089000.0,14475000.0,0.0
Short-term debt,0.0,000000.0,483326000.0,483000000.0,0.0,000000.0,000000.0,000000.0,0.0,1667000.0,0.0
Total current liabilities,32490000.0,32000000.0,525247000.0,525000000.0,47533000.0,48000000.0,67000000.0,74000000.0,79736000.0,62641000.0,0.0
Long-term debt,92365000.0,92000000.0,483326000.0,000000.0,499607000.0,500000000.0,545000000.0,501000000.0,500999000.0,305830000.0,0.0
Total debt,92365000.0,92000000.0,966652000.0,000000.0,499607000.0,500000000.0,545000000.0,501000000.0,500999000.0,307497000.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,,,0.0,0.0,0.0
Tax Liabilities,1540000.0,3000000.0,3678000.0,58000000.0,6485000.0,99000000.0,104000000.0,105000000.0,6262000.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,,,0.0,0.0,0.0
Total non-current liabilities,96601000.0,115000000.0,544593000.0,79000000.0,603078000.0,624000000.0,680000000.0,636000000.0,614391000.0,417529000.0,0.0
Total liabilities,147465000.0,147000000.0,604282000.0,604000000.0,671962000.0,672000000.0,748000000.0,710000000.0,717792000.0,502939000.0,0.0
Other comprehensive income,317932000,3000000.0,356538000,-139000000.0,350087000,-88000000.0,-23000000.0,56000000.0,388679000,379091000,0.0
Retained earnings (deficit),3511000.0,4000000.0,241207000.0,241000000.0,444181000.0,444000000.0,659000000.0,623000000.0,579062000.0,586402000.0,0.0
Total shareholders equity,324490000.0,324000000.0,449621000.0,450000000.0,698308000.0,698000000.0,969000000.0,1063000000.0,1027882000.0,996860000.0,0.0
Investments,11790000.0,,11449000.0,,0.0,,,,0.0,0.0,0.0
Net Debt,27752000.0,27000000,957830000.0,474000000,477668000.0,478000000,494000000,440000000,315824000.0,178680000.0,0.0
Other Assets,0.0,17000000,0.0,17000000,0.0,25000000,33000000,50000000,0.0,0.0,0.0
Other Liabilities,18374000.0,20000000,-465558000.0,30000000,21351000.0,38000000,51000000,51000000,23665000.0,22769000.0,0.0
