Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12
Depreciation & Amortization,134900000.0,133000000.0,130900000.0,129000000.0,132100000.0,130000000.0,124400000.0,122000000.0,116200000.0,114000000.0
Stock-based compensation,13200000.0,13000000.0,4900000.0,5000000.0,9300000.0,9000000.0,8000000.0,8000000.0,11600000.0,12000000.0
Operating Cash Flow,177900000.0,178000000.0,267800000.0,268000000.0,473700000.0,474000000.0,715800000.0,716000000.0,601000000.0,601000000.0
Capital Expenditure,99700000.0,-100000000.0,102300000.0,-102000000.0,194700000.0,-195000000.0,191300000.0,-191000000.0,204500000.0,-204000000.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Investment purchases and sales,0.0,0,0.0,-6000000,0.0,0,0.0,0,0.0,0
Investing Cash flow,-176100000.0,-176000000.0,-107900000.0,-108000000.0,-194700000.0,-195000000.0,-191200000.0,-191000000.0,-51300000.0,-204000000.0
Issuance (repayment) of debt,-1600000.0,-2000000.0,-31500000.0,-33000000.0,-0.0,-1000000.0,-0.0,-1000000.0,-400000.0,-244000000.0
Issuance (buybacks) of shares,-173800000.0,000000.0,-314100000.0,000000.0,-187300000.0,000000.0,-370200000.0,-179000000.0,-279800000.0,-394000000.0
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,
Financing Cash Flow,-142100000.0,-142000000.0,-33100000.0,-33000000.0,-461900000.0,-462000000.0,-434200000.0,-434000000.0,-269900000.0,-270000000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,
Net cash flow / Change in cash,173800000.0,-140000000.0,314100000.0,127000000.0,187300000.0,-183000000.0,370200000.0,90000000.0,279800000.0,127000000.0
Free Cash Flow,78200000.0,78000000.0,165500000.0,166000000.0,279000000.0,279000000.0,524500000.0,524000000.0,396500000.0,396000000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,
