date,,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,126160000.0,46762000.0,-196969000.0,-66556000.0,15395000.0,112532000.0,101821000.0,79401000.0,30207000.0,22416350.0,6193797.0,3257936.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16948767.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-94656000.0,31810000.0,238936000.0,-106895000.0,-106061000.0,-109500000.0,-245500000.0,0.0,0.0,0.0,0.0,-191975008.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1715000.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-646000.0,4386000.0,105935.0,-38750.0,0.0
,otherWorkingCapital,-391866000.0,-297210000.0,-329020000.0,-567956000.0,-461061000.0,-355000000.0,-245500000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-20619000.0,-7460000.0,-26726000.0,-35713000.0,-37421000.0,-71619000.0,-58071000.0,-13795000.0,-20368000.0,-4238062.0,-11447362.0,-7545461.0
,netCashProvidedByOperatingActivites,215824000.0,60295000.0,492441000.0,164757000.0,146192000.0,-546338000.0,-459225000.0,-90216000.0,-517923000.0,-239160240.0,-19676179.0,-179376253.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-456484000.0,-471374000.0,-698122000.0,-735558000.0,-771336000.0,-889838000.0,-1080395000.0,-575608000.0,-495546000.0,-43000000.0,-29500000.0,-79250000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,138239000.0,479949000.0,188700000.0,206788000.0,179125148.0,138578307.0,0.0
,commonStockRepurchased,-1344000.0,-1411000.0,-15424000.0,-43990000.0,-25988000.0,-8056000.0,0.0,0.0,0.0,0.0,-462482.0,0.0
,dividendsPaid,-52221000.0,-54973000.0,-62525000.0,-100260000.0,-114694000.0,-132468000.0,-115438000.0,-91866000.0,-76699000.0,-41818261.0,-27136158.0,-8872521.0
,otherFinancingActivites,0.0,0.0,287000.0,0.0,0.0,0.0,0.0,-5158000.0,-13241000.0,-7586680.0,-1004577.0,62185094.0
,netCashUsedProvidedByFinancingActivities,-214107000.0,-99933000.0,-557346000.0,-185211000.0,-94546000.0,489780000.0,532191000.0,96965000.0,508802000.0,202720207.0,109975090.0,184628573.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1917000.0,-39638000.0,-64905000.0,-20454000.0,51646000.0,-56558000.0,72966000.0,6749000.0,-9121000.0,-36440033.0,90298911.0,5252320.0
,cashAtEndOfPeriod,15406000.0,13380000.0,53018000.0,117923000.0,138377000.0,86731000.0,147359000.0,74393000.0,67644000.0,76765254.0,113205287.0,22906376.0
,cashAtBeginningOfPeriod,13489000.0,53018000.0,117923000.0,138377000.0,86731000.0,143289000.0,74393000.0,67644000.0,76765000.0,113205287.0,22906376.0,17654056.0
,operatingCashFlow,215824000.0,60295000.0,492441000.0,164757000.0,146192000.0,-546338000.0,-459225000.0,-90216000.0,-517923000.0,-239160240.0,-19676179.0,-179376253.0
,capitalExpenditure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,215824000.0,60295000.0,492441000.0,164757000.0,146192000.0,-546338000.0,-459225000.0,-90216000.0,-517923000.0,-239160240.0,-19676179.0,-179376253.0
