date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-07-31_FY,2008-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,23131000.0,99897000.0,118703000.0,85887000.0,41600000.0,38415000.0,42693000.0,34040000.0,47219000.0,52083000.0,42232000.0,37163000.0,17335000.0
,depreciationAndAmortization,86124000.0,82105000.0,71342000.0,64580000.0,62481000.0,61714000.0,36984000.0,27099000.0,18131000.0,12330000.0,7588000.0,4593000.0,4407000.0
,deferredIncomeTax,-15003000.0,6876000.0,-234000.0,2780000.0,1270000.0,-406000.0,463000.0,5464000.0,5792000.0,251000.0,-704000.0,-1731000.0,40000.0
,stockBasedCompensation,53694000.0,29583000.0,50093000.0,40734000.0,28321000.0,29531000.0,29261000.0,23425000.0,20985000.0,26861000.0,20625000.0,2468000.0,1240000.0
,changeInWorkingCapital,-626007000.0,-76762000.0,53391000.0,-67409000.0,-34379000.0,-88511000.0,-51696000.0,76412000.0,-24559000.0,36986000.0,97740000.0,23350000.0,-3677000.0
,accountsReceivables,-16177000.0,-105052000.0,-85455000.0,-68368000.0,-74851000.0,-54450000.0,-30453000.0,-48175000.0,-66099000.0,-70510000.0,-51754000.0,-29853000.0,-24717000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,37640000.0,-8145000.0,12471000.0,27982000.0,-19156000.0,13179000.0,925000.0,26915000.0,31475000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-664149000.0,-38142000.0,38620000.0,-14771000.0,52638000.0,87017000.0,175528000.0,227224000.0,150812000.0,175371000.0,138385000.0,40645000.0,17295000.0
,otherNonCashItems,169000.0,-532000.0,4892000.0,-8083000.0,-966000.0,-6665000.0,-409000.0,0.0,0.0,-2951000.0,21238000.0,22609000.0,15661000.0
,netCashProvidedByOperatingActivites,209178000.0,189914000.0,251051000.0,218310000.0,111520000.0,156720000.0,68975000.0,122508000.0,102028000.0,94051000.0,83503000.0,35297000.0,35006000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-59035000.0,-78214000.0,-61030000.0,-44142000.0,-43273000.0,-47837000.0,-39338000.0,-35742000.0,-40441000.0,-23076000.0,-13459000.0,-6361000.0,-5120000.0
,acquisitionsNet,0.0,0.0,0.0,-141000000.0,0.0,-65000000.0,-227000000.0,0.0,-32000000.0,5000000.0,0.0,0.0,0.0
,purchasesOfInvestments,-994428000.0,-189066000.0,-186884000.0,-58665000.0,-135920000.0,-195132000.0,-212446000.0,-274072000.0,-271869000.0,-45056000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,306618000.0,115886000.0,138834000.0,111648000.0,106974000.0,132388000.0,289690000.0,258104000.0,119037000.0,20152000.0,0.0,0.0,0.0
,otherInvestingActivites,-3987000.0,-2459000.0,-5887000.0,-91273000.0,-6072000.0,72000.0,1712000.0,-1686000.0,14776000.0,-7546000.0,10246000.0,-13039000.0,-43000.0
,netCashUsedForInvestingActivites,-785832000.0,-153853000.0,-114967000.0,-223930000.0,-78291000.0,-175718000.0,-187346000.0,-53396000.0,-210320000.0,-50441000.0,-3213000.0,-19400000.0,-5163000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-135000000.0,-60000000.0,-22500000.0,-377500000.0,-167500000.0,-52501000.0,0.0,0.0,0.0,0.0,0.0,-12404000.0,-79407000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-100000000.0,0.0,-51969000.0,-59013000.0,-40986000.0,0.0,0.0,0.0,0.0,0.0,-39770000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,1025204000.0,52649000.0,-50341000.0,242495000.0,-6086000.0,126143000.0,262652000.0,43493000.0,175900000.0,5231000.0,24842000.0,0.0,524000.0
,netCashUsedProvidedByFinancingActivities,1007201000.0,-65125000.0,-50961000.0,192187000.0,-72682000.0,66489000.0,419388000.0,57918000.0,179450000.0,14320000.0,30910000.0,-28618000.0,-3264000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,430547000.0,-29064000.0,85123000.0,186567000.0,-39453000.0,47491000.0,301017000.0,127030000.0,71158000.0,57930000.0,111200000.0,-12721000.0,26579000.0
,cashAtEndOfPeriod,1496701000.0,1066154000.0,1095218000.0,919243000.0,732676000.0,772129000.0,724638000.0,423621000.0,296591000.0,225433000.0,167503000.0,26564000.0,39285000.0
,cashAtBeginningOfPeriod,1066154000.0,1095218000.0,1010095000.0,732676000.0,772129000.0,724638000.0,423621000.0,296591000.0,225433000.0,167503000.0,56303000.0,39285000.0,12706000.0
,operatingCashFlow,209178000.0,189914000.0,251051000.0,218310000.0,111520000.0,156720000.0,68975000.0,122508000.0,102028000.0,94051000.0,83503000.0,35297000.0,35006000.0
