date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,revenue,1172252000.0,1124158000.0,908357000.0
,costOfRevenue,738454000.0,693470000.0,457401000.0
,grossProfit,433798000.0,430688000.0,450956000.0
,grossProfitRatio,0.370055244094273,0.383120522204174,0.496452386011227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,190402000.0,201739000.0,172829000.0
,GeneralAndAdministrativeExpenses,40670000.0,38072000.0,27821000.0
,SellingAndMarketingExpenses,138291000.0,146194000.0,156420000.0
,otherExpenses,21126000.0,41489000.0,692000.0
,operatingExpenses,369363000.0,386005000.0,357070000.0
,costAndExpenses,1107817000.0,1079475000.0,814471000.0
,interestExpense,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,65368000.0,61941000.0,49594000.0
,EBITDA,129803000.0,106624000.0,143480000.0
,EBITDARatio,0.110729604214793,0.0948478772556883,0.157955517489269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,64435000.0,44683000.0,93886000.0
,operatingIncomeRatio,0.0549668501312005,0.0397479713705725,0.103358040946456
,totalOtherIncomeExpensesNet,22975000.0,47214000.0,-6390000.0
,incomeBeforeTax,91853000.0,99934000.0,96622000.0
,incomeBeforeTaxRatio,0.0783560190129767,0.0888967565057581,0.106370072559577
,incomeTaxExpense,2748000.0,1153000.0,14422000.0
,netIncome,89105000.0,98781000.0,82200000.0
,netIncomeRatio,0.0760118131596278,0.0878710999699331,0.0904930550433365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.228593344740981,0.254111454965001,0.22
,EPSDiluted,0.225449291936655,0.249511237743055,0.2
,weightedAverageShsOut,389797000.0,388731000.0,257173000.0
,weightedAverageShsOutDil,395233000.0,395898000.0,287305000.0
