date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-13610000.0,-8492000.0,-13177000.0,-8078000.0,-35160000.0,-5372000.0,7103000.0,10178000.0,8077000.0,2780000.0,2109000.0,3639000.0,3997000.0,956000.0,-8889000.0,-2252685.0,-3454000.0,-453000.0,49000.0
,depreciationAndAmortization,4354000.0,4702000.0,4989000.0,5107000.0,11241000.0,12082000.0,4572000.0,3945000.0,3498000.0,3336000.0,3139000.0,2453000.0,2008000.0,2108000.0,1643000.0,448740.0,361000.0,52000.0,0.0
,deferredIncomeTax,327000.0,2330000.0,-853000.0,-1460000.0,1232000.0,-2014000.0,-289000.0,-251000.0,364000.0,1089000.0,93000.0,-1949000.0,-461000.0,0.0,-1432000.0,0.0,-1770000.0,0.0,0.0
,stockBasedCompensation,1038000.0,603000.0,639000.0,798000.0,1129000.0,1481000.0,1104000.0,664000.0,226000.0,104000.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-13591000.0,-3698000.0,28145000.0,-23565000.0,-28205000.0,-7306000.0,15949000.0,12595000.0,20394000.0,9340000.0,6114000.0,1955000.0,4455000.0,2375000.0,10206095.0,9907905.0,-4038000.0,717000.0,0.0
,accountsReceivables,6824000.0,9282000.0,-296000.0,-11130000.0,1119000.0,23475000.0,-13172000.0,1653000.0,-12494000.0,-6524000.0,-9785000.0,7856000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,4746000.0,-2395000.0,-7277000.0,17068000.0,2174000.0,-10286000.0,-5620000.0,-8852000.0,-17187000.0,-12484000.0,-3002000.0,-54000.0,-5328000.0,3399000.0,235000.0,-932920.0,-324000.0,0.0,0.0
,accountsPayables,165000.0,-7567000.0,2764000.0,-2619000.0,-4259000.0,6717000.0,2859000.0,-4079000.0,6702000.0,4297000.0,5539000.0,-3877000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,41750000.0,55341000.0,59039000.0,30894000.0,54459000.0,82664000.0,89970000.0,74021000.0,61426000.0,41032000.0,31692000.0,25578000.0,23623000.0,19168000.0,16793000.0,6586905.0,-3321000.0,717000.0,0.0
,otherNonCashItems,485000.0,547000.0,508000.0,2167000.0,18340000.0,3626000.0,183000.0,-36000.0,184000.0,4279000.0,151000.0,-19000.0,352000.0,282000.0,6538000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,12036000.0,3237000.0,1003000.0,9077000.0,-4188000.0,9035000.0,-1501000.0,2076000.0,-6484000.0,-5407000.0,97000.0,2243000.0,-1561000.0,1140000.0,445000.0,-4342950.0,-1993000.0,-545000.0,2292000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-709000.0,-1778000.0,-1196000.0,-1023000.0,-1486000.0,-2369000.0,-924000.0,-1215000.0,-1125000.0,-610000.0,-511000.0,-139000.0,-630000.0,-296000.0,-620000.0,-1689834.0,-127000.0,-2000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,-14000000.0,-25000000.0,-13000000.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,-3000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,1553000.0,0.0,0.0,0.0,746000.0,0.0,0.0,0.0,-345000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122000.0,-1000.0,-235000.0
,netCashUsedForInvestingActivites,844000.0,5829000.0,5791000.0,11735000.0,18443000.0,-9402000.0,-25922000.0,-14076000.0,-1258000.0,-1918000.0,-295000.0,-268000.0,-1389000.0,851000.0,-3950000.0,-1689334.0,-228000.0,-6003000.0,-235000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-37059000.0,-8384000.0,-137293000.0,-24910000.0,-58313000.0,-21712000.0,-2457000.0,-17101000.0,-8679000.0,-19533000.0,-4652000.0,-5482000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,31942000.0,2426000.0,0.0,0.0,12500000.0,13927000.0,3781000.0,0.0,0.0,0.0,0.0,10875000.0,11138000.0,17250000.0,0.0,100000.0,0.0
,commonStockRepurchased,-61000.0,-34000.0,-124000.0,-168000.0,-80000.0,-75000.0,-114000.0,-70000.0,0.0,0.0,-20000.0,-6000.0,-7000.0,0.0,0.0,-2192936.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-194000.0,-141000.0,-50000.0,-50000.0,295000.0,-1274000.0,-497000.0,86000.0,4181000.0,-12000.0,0.0,51000.0,0.0,-785000.0,-840000.0,0.0,0.0,0.0,-2050000.0
,netCashUsedProvidedByFinancingActivities,-20768000.0,-7971000.0,11014000.0,-20867000.0,-16754000.0,5940000.0,26646000.0,16100000.0,9268000.0,6894000.0,614000.0,-2021000.0,2858000.0,-2124000.0,2047000.0,8050740.0,2227000.0,6548000.0,-2050000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
