Date,2018-07-31,2017-07-31
Depreciation & Amortization,16458.0,11320.0
Stock-based compensation,0.0,0.0
Operating Cash Flow,2036439.0,153718.0
Capital Expenditure,-26765.0,-14965.0
Acquisitions and disposals,-2872151.0,-5518.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-2898916.0,-20483.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,755139.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,755139.0,0.0
Effect of forex changes on cash,35490.0,1703.0
Net cash flow / Change in cash,-71848.0,134938.0
Free Cash Flow,2009674.0,138753.0
Net Cash/Marketcap,,
