Date,2018-12-31,2017-12-31
Cash and cash equivalents,3089000.0,76000.0
Short-term investments,0.0,0.0
Cash and short-term investments,3089000.0,76000.0
Receivables,52298000.0,26392000.0
Inventories,55723000.0,36875000.0
Total current assets,112759000.0,64173000.0
Property Plant & Equipment Net,123883000.0,90816000.0
Goodwill and Intangible Assets,152316000.0,59047000.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,278966000.0,150143000.0
Total assets,391725000.0,214316000.0
Payables,45992000.0,19494000.0
Short-term debt,8887000.0,8027000.0
Total current liabilities,83161000.0,41876000.0
Long-term debt,173001000.0,67569000.0
Total debt,181888000.0,75596000.0
Deferred revenue,0.0,0.0
Tax Liabilities,19123000.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,205575000.0,79553000.0
Total liabilities,288736000.0,121429000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),26842000.0,17671000.0
Total shareholders equity,0.0,-121429000.0
Investments,0.0,0.0
Net Debt,178799000.0,75520000.0
Other Assets,1649000.0,830000.0
Other Liabilities,28282000.0,14355000.0
