date,,2020-08-31_FY,2019-08-31_FY,2018-08-31_FY,2017-08-31_FY,2016-08-31_FY,2015-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,456000000.0,3982000000.0,5024000000.0,4078000000.0,4173000000.0,4220000000.0
,depreciationAndAmortization,1927000000.0,2038000000.0,1770000000.0,1654000000.0,1718000000.0,1742000000.0
,deferredIncomeTax,-43000000.0,100000000.0,-322000000.0,-434000000.0,-442000000.0,-32000000.0
,stockBasedCompensation,137000000.0,119000000.0,130000000.0,91000000.0,115000000.0,109000000.0
,changeInWorkingCapital,-1928000000.0,-3248000000.0,-5027000000.0,-7664000000.0,5770000000.0,495000000.0
,accountsReceivables,163000000.0,-789000000.0,-391000000.0,-153000000.0,115000000.0,-338000000.0
,inventory,63000000.0,141000000.0,331000000.0,98000000.0,-644000000.0,719000000.0
,accountsPayables,-25000000.0,954000000.0,1323000000.0,1690000000.0,1572000000.0,268000000.0
,otherWorkingCapital,-8997000000.0,-7069000000.0,-3821000000.0,1206000000.0,8870000000.0,3100000000.0
,otherNonCashItems,464000000.0,302000000.0,296000000.0,364000000.0,148000000.0,728000000.0
,netCashProvidedByOperatingActivites,5484000000.0,5594000000.0,8265000000.0,7251000000.0,7847000000.0,5664000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1374000000.0,-1702000000.0,-1367000000.0,-1351000000.0,-1325000000.0,-1251000000.0
,acquisitionsNet,-718000000.0,-741000000.0,-4793000000.0,-88000000.0,103000000.0,-4018000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-49000000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,50000000.0
,otherInvestingActivites,71000000.0,133000000.0,659000000.0,152000000.0,160000000.0,125000000.0
,netCashUsedForInvestingActivites,-1297000000.0,-2307000000.0,-5501000000.0,-843000000.0,-3517000000.0,-4276000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-21414000000.0,-10461000000.0,-4890000000.0,-6196000000.0,-791000000.0,-10698000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-1589000000.0,-4160000000.0,-5228000000.0,-5220000000.0,-1152000000.0,-1226000000.0
,dividendsPaid,-1747000000.0,-1643000000.0,-1739000000.0,-1723000000.0,-1563000000.0,-1384000000.0
,otherFinancingActivites,-158000000.0,74000000.0,-98000000.0,-45000000.0,-143000000.0,-395000000.0
,netCashUsedProvidedByFinancingActivities,-4647000000.0,-3047000000.0,-5295000000.0,-12934000000.0,2606000000.0,-915000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-1000000.0,-9000000.0,15000000.0,20000000.0,-129000000.0,-119000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-460000000.0,232000000.0,-2516000000.0,-6506000000.0,6807000000.0,354000000.0
,cashAtEndOfPeriod,746000000.0,1207000000.0,785000000.0,3301000000.0,9807000000.0,3000000000.0
,cashAtBeginningOfPeriod,1207000000.0,975000000.0,3301000000.0,9807000000.0,3000000000.0,2646000000.0
,operatingCashFlow,5484000000.0,5594000000.0,8265000000.0,7251000000.0,7847000000.0,5664000000.0
,capitalExpenditure,-1374000000.0,-1702000000.0,-1367000000.0,-1351000000.0,-1325000000.0,-1251000000.0
,freeCashFlow,4110000000.0,3892000000.0,6898000000.0,5900000000.0,6522000000.0,4413000000.0
