Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,255908.0,158087.0,165375.0
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,2493904.0,453734.0,678129.0
Capital Expenditure,201867.0,-208437.0,117523.0
Acquisitions and disposals,-0.0,0.0,0.0
Investment purchases and sales,1377632.0,-15526685.0,-6993116.0
Investing Cash flow,-32106900.0,-13376512.0,-6460757.0
Issuance (repayment) of debt,-0.0,9469.0,39633.0
Issuance (buybacks) of shares,22092988.0,0.0,0.0
Dividend payments,-0.0,0.0,0.0
Financing Cash Flow,36429484.0,3509681.0,3442571.0
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,6816488.0,-9413097.0,-1966401.0
Free Cash Flow,2292037.0,245297.0,795652.0
Net Cash/Marketcap,0.0,,
