Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,643265.0,313554.0,134350.0
Stock-based compensation,0.0,0.0,0.0
Operating Cash Flow,2773025.0,1332254.0,5130647.0
Capital Expenditure,-2162385.0,-1781773.0,-1242576.0
Acquisitions and disposals,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0
Investing Cash flow,-1317831.0,-2221182.0,-1413839.0
Issuance (repayment) of debt,1361779.0,221965.0,0.0
Issuance (buybacks) of shares,0.0,0.0,0.0
Dividend payments,0.0,0.0,0.0
Financing Cash Flow,755761.0,-530129.0,-735310.0
Effect of forex changes on cash,-249345.0,175873.0,-229889.0
Net cash flow / Change in cash,1961610.0,-1243184.0,-2751609.0
Free Cash Flow,610640.0,-449519.0,3888071.0
Net Cash/Marketcap,,,
