date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,9598114000.0,7392652000.0,6906928000.0,5902398000.0,5309830000.0,5541894000.0,5187572000.0,4748100000.0,4164600000.0,4101300000.0,3934600000.0,3894100000.0,3694300000.0,3997500000.0,3853200000.0,3963100000.0,4425100000.0,3737900000.0,2273700000.0,1467500000.0,1174200000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,9598114000.0,7392652000.0,6906928000.0,5902398000.0,5309830000.0,5541894000.0,5187572000.0,4748100000.0,4164600000.0,4101300000.0,3934600000.0,3894100000.0,3694300000.0,3997500000.0,3853200000.0,3963100000.0,4425100000.0,3737900000.0,0.0,0.0,0.0
,grossProfitRatio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,41118000.0,1736692000.0,1549702000.0,1329886000.0,1215923000.0,1225290000.0,1159007000.0,1002400000.0,976700000.0,967000000.0,946800000.0,945900000.0,930700000.0,961800000.0,883300000.0,914800000.0,975200000.0,863900000.0,551800000.0,396800000.0,272400000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,5833000.0,458000.0,-5298000.0,-6873000.0,5022000.0,-459000.0,18437000.0,-5487000.0,3318000.0,-23089000.0,16927000.0,-22476000.0,-15879000.0,17998000.0,112000.0,-18473000.0,741000.0,-1033000.0,0.0,0.0,0.0
,operatingExpenses,0.0,7121388000.0,7580756000.0,6178377000.0,4689869000.0,4695388000.0,4345443000.0,4040800000.0,3939600000.0,4891800000.0,4061700000.0,3500400000.0,3532000000.0,3754100000.0,3525600000.0,4836000000.0,4449000000.0,3615500000.0,2295600000.0,1711200000.0,1248100000.0
,costAndExpenses,9012765000.0,7121388000.0,7580756000.0,6178377000.0,4689869000.0,4695388000.0,4345443000.0,4040800000.0,3939600000.0,4891800000.0,4061700000.0,3500400000.0,3532000000.0,3754100000.0,3525600000.0,4836000000.0,4449000000.0,3615500000.0,2295600000.0,1711200000.0,1248100000.0
,interestExpense,36323000.0,31693000.0,31031000.0,31603000.0,36228000.0,36191000.0,38533000.0,46118000.0,53683000.0,52319000.0,55830000.0,-72081000.0,-79171000.0,-31162000.0,-31149000.0,-73394000.0,-75539000.0,-38931000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,49673000.0,30936000.0,29272000.0,45867000.0,49167000.0,50901000.0,49214000.0,66461000.0,61844000.0,47872000.0,46095000.0,32172000.0,15256000.0,-8594000.0,21797000.0,27298000.0,24719000.0,10459000.0,0.0,0.0,0.0
,EBITDA,563824000.0,1161616000.0,-181879000.0,482654000.0,1185239000.0,1295601000.0,1533862000.0,1667561000.0,1055044000.0,-133728000.0,693195000.0,1043572000.0,10856000.0,1019406000.0,1013597000.0,-253602000.0,584419000.0,501659000.0,262000000.0,90300000.0,231800000.0
,EBITDARatio,0.0587432072592595,0.157131162132344,-0.0263328356687662,0.0817725270305391,0.223215997498978,0.233783071274911,0.295680137066049,0.351205956066637,0.253336214762522,-0.0326062467997952,0.176179281248412,0.267987981818649,0.0029385810573045,0.255010881801126,0.26305330634278,-0.0639908152708738,0.13206910578292,0.134208780331202,0.115231,0.061533,0.197411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,514151000.0,1130680000.0,-211151000.0,436787000.0,1136072000.0,1244700000.0,1484648000.0,1601100000.0,993200000.0,-181600000.0,647100000.0,1011400000.0,-4400000.0,1028000000.0,991800000.0,-280900000.0,559700000.0,491200000.0,262000000.0,90300000.0,231700000.0
,operatingIncomeRatio,0.0535679196975572,0.152946466301944,-0.0305708992478277,0.074001617647607,0.213956379017784,0.224598305200352,0.286193232595133,0.337208567637581,0.238486289199443,-0.0442786433569844,0.164463986173944,0.259726252535888,-0.00119102400996129,0.257160725453408,0.257396449704142,-0.0708788574600691,0.126483017332942,0.131410685144065,0.115230681268417,0.0615332197614991,0.197325838869017
,totalOtherIncomeExpensesNet,6487000.0,458000.0,-5298000.0,-6873000.0,5022000.0,-459000.0,18437000.0,-5487000.0,3318000.0,-23089000.0,16927000.0,-22476000.0,-15879000.0,17998000.0,112000.0,-18473000.0,741000.0,-1033000.0,0.0,0.0,0.0
,incomeBeforeTax,585349000.0,1098987000.0,-242182000.0,405184000.0,1099844000.0,1208509000.0,1446115000.0,1555000000.0,939500000.0,-233900000.0,591200000.0,939300000.0,-83600000.0,1028000000.0,991800000.0,-280900000.0,559700000.0,491200000.0,262000000.0,90300000.0,231700000.0
,incomeBeforeTaxRatio,0.0609858353422349,0.14865937149483,-0.0350636346578392,0.068647353160529,0.207133561714782,0.218067866328732,0.27876528749866,0.32749942082096,0.225591893579215,-0.057030697583693,0.150256696995883,0.241211062890013,-0.0226294561892645,0.257160725453408,0.257396449704142,-0.0708788574600691,0.126483017332942,0.131410685144065,0.115230681268417,0.0615332197614991,0.197325838869017
,incomeTaxExpense,71198000.0,89526000.0,-331223000.0,-72030000.0,103500000.0,134021000.0,187652000.0,289700000.0,110600000.0,-153500000.0,-19500000.0,132300000.0,-64800000.0,188700000.0,150900000.0,-62300000.0,64900000.0,65200000.0,30700000.0,-8700000.0,45400000.0
