date,,2020-09-27_FY,2019-09-29_FY,2018-09-30_FY,2017-10-01_FY,2016-10-02_FY,2015-09-27_FY,2014-09-28_FY,2013-09-29_FY,2012-09-30_FY,2011-10-02_FY,2010-10-03_FY,2009-09-27_FY,2008-09-28_FY,2007-09-30_FY,2006-10-01_FY,2005-10-02_FY,2004-10-03_FY,2003-09-28_FY,2002-09-29_FY,2001-09-30_FY,2000-10-01_FY,1999-10-03_FY,1998-09-27_FY,1997-09-28_FY,1996-09-29_FY
,revenue,23518000000.0,26508600000.0,24719500000.0,22386800000.0,21315900000.0,19162700000.0,16448000000.0,14867000000.0,13299500000.0,11700000000.0,10707000000.0,9775000000.0,10383000000.0,9411497000.0,7787000000.0,6369000000.0,5294000000.0,4076000000.0,3289000000.0,2648980000.0,2178000000.0,1687000000.0,1309000000.0,975000000.0,698000000.0
,costOfRevenue,7694000000.0,19020500000.0,17367700000.0,15531500000.0,14575400000.0,13198600000.0,6859000000.0,6382000000.0,5813300000.0,4916000000.0,4417000000.0,4325000000.0,4645000000.0,7215013000.0,3179000000.0,2605000000.0,2191000000.0,1681000000.0,1347000000.0,2081584000.0,962000000.0,748000000.0,578000000.0,437000000.0,337000000.0
,grossProfit,15824000000.0,7488100000.0,7351800000.0,6855300000.0,6740500000.0,5964100000.0,9589000000.0,8485000000.0,7486200000.0,6785000000.0,6291000000.0,5450000000.0,5738000000.0,2196484000.0,4608000000.0,3764000000.0,3103000000.0,2394000000.0,1942000000.0,567396000.0,1216000000.0,939000000.0,730000000.0,538000000.0,361000000.0
,grossProfitRatio,0.672846330470278,0.28247813916993,0.297408928174114,0.306220630014115,0.316219347998442,0.31123484686396,0.582988813229572,0.570727113741844,0.562893341854957,0.57991452991453,0.587559540487532,0.557544757033248,0.552634113454685,0.233383063289506,0.591755489919096,0.590987596168943,0.586135247449943,0.587340529931305,0.590453025235634,0.214194142651134,0.558310376492195,0.556609365737996,0.557677616501146,0.551794871794872,0.517191977077364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1679000000.0,1824100000.0,1759000000.0,1393300000.0,1360600000.0,1196700000.0,5630000000.0,5224000000.0,4719300000.0,4344000000.0,4177000000.0,3878000000.0,4201000000.0,783385000.0,3167000000.0,2528000000.0,2094000000.0,1624000000.0,1344000000.0,151416000.0,815000000.0,633000000.0,496000000.0,371000000.0,249000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,20599000000.0,371000000.0,0.0,553800000.0,545400000.0,522400000.0,457000000.0,432000000.0,0.0,393000000.0,280000000.0,264000000.0,330000000.0,0.0,254000000.0,193000000.0,172000000.0,141000000.0,106000000.0,0.0,78000000.0,55000000.0,45000000.0,28000000.0,20000000.0
