date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-18973535.0,-12017366.0,-23938389.0,-6612047.0,344725.0,4346036.0,2433061.0,14342598.0,15299321.0,5399051.0,6737078.0,6535379.0,4966768.0,1693913.0,282026.0,-1355656.0,-2018888.0,-2370169.0,-3481162.0,-1171256.0,-3690163.0,-3750309.0,-3357316.0,-5609149.0,-8660303.0,-8300000.0,-3000000.0,-3700000.0,-4300000.0,-1500000.0,300000.0
,depreciationAndAmortization,462741.0,471421.0,452048.0,481008.0,422873.0,494258.0,589343.0,556304.0,461447.0,464909.0,466544.0,268382.0,217085.0,252936.0,333633.0,522797.0,1086697.0,1545648.0,1011100.0,923917.0,1825421.0,1283789.0,533994.0,553298.0,675084.0,-100000.0,-500000.0,-400000.0,-300000.0,-200000.0,-100000.0
,deferredIncomeTax,-1255012.0,-438064.0,630150.0,-2255069.0,2054817.0,1925739.0,1012334.0,-5259065.0,-4893933.0,-2464050.0,-2538624.0,-1597552.0,-775000.0,-825000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,2646246.0,1906098.0,1638505.0,756275.0,499873.0,489689.0,858615.0,727609.0,842512.0,796453.0,471811.0,373776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-4346276.0,5157348.0,-7180803.0,-10158032.0,-2392523.0,7666394.0,-3786913.0,2515692.0,3512191.0,-2399312.0,644319.0,-40464.0,2100418.0,2078155.0,1262157.0,1325853.0,1616293.0,-1043524.0,1206703.0,2128501.0,-1947597.0,-717560.0,-72465.0,-1865107.0,-22787.0,-4800000.0,8000000.0,-800000.0,-500000.0,-3400000.0,-300000.0
,accountsReceivables,-87790.0,-1351709.0,1874555.0,7226825.0,-4524310.0,-11144540.0,-619753.0,4903572.0,-5005819.0,2149008.0,3345490.0,-1287103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,-3200000.0,-800000.0,-200000.0,-100000.0,200000.0
,inventory,-3301551.0,-1454483.0,375038.0,-479418.0,-738834.0,1064633.0,-561633.0,-994556.0,439969.0,-9924.0,-911157.0,-72259.0,-110081.0,-280528.0,-100407.0,523406.0,-235202.0,-112911.0,-237449.0,-97696.0,438442.0,-105433.0,891421.0,1086999.0,1935923.0,-600000.0,-2700000.0,600000.0,-1100000.0,100000.0,-700000.0
,accountsPayables,-312078.0,-56938.0,495971.0,897471.0,-376314.0,-47510.0,220810.0,-871278.0,0.0,0.0,-15600.0,44476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,800000.0,-300000.0,700000.0,-600000.0,200000.0
,otherWorkingCapital,0.0,2786937.0,-2370411.0,4810392.0,14968424.0,17360947.0,9694553.0,13481466.0,10965774.0,7453583.0,9852895.0,9208576.0,9249040.0,7148622.0,5070467.0,3808310.0,2482457.0,866164.0,1909688.0,702985.0,-1425516.0,522081.0,1239641.0,1312106.0,3177213.0,3200000.0,8000000.0,0.0,800000.0,1300000.0,4700000.0
,otherNonCashItems,4633918.0,4848646.0,6934263.0,542930.0,0.0,0.0,0.0,0.0,170735.0,5579590.0,-80110.0,42561.0,178016.0,628315.0,634037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31747.0,-804987.0,2345782.0,300000.0,1200000.0,900000.0,3300000.0,400000.0,200000.0
,netCashProvidedByOperatingActivites,-1930095.0,-5485207.0,-11546191.0,982888.0,-1714358.0,-1548697.0,3665413.0,11793081.0,10356054.0,6968155.0,3991855.0,5747114.0,4244398.0,-42047.0,267935.0,-199258.0,-216764.0,290008.0,-378651.0,-625019.0,-1031837.0,-2841329.0,-2752919.0,-5609149.0,-4072537.0,-4600000.0,-7700000.0,200000.0,-2000000.0,-1100000.0,300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-347602.0,-1020170.0,-124190.0,-251687.0,-43990.0,-47233.0,-35009.0,-57791.0,-11284.0,0.0,0.0,0.0,0.0,0.0,-200000.0,-100000.0,-300000.0,-800000.0,-100000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27062.0,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63971.0,52.0,100496.0,106799.0,-125438.0,167508.0,-237741.0,0.0,156674.0,98572.0,0.0,-115000.0,0.0,-22637.0,90859.0,-154782.0,0.0,-500000.0,-300000.0,-300000.0,-300000.0,-300000.0,-100000.0
