date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,64712581.0,9237350.0,8978490.0,10334360.0,10203430.0,11863010.0,14773570.0,13870000.0,15500000.0,16910000.0,20650000.0,12720000.0,18170000.0,21240000.0,15560000.0,15600000.0,10690000.0,9940000.0,8710000.0,9000000.0,5690000.0
,costOfRevenue,0.0,7147640.0,8596860.0,9084660.0,8697370.0,9646770.0,9429960.0,9680000.0,10260000.0,13200000.0,16080000.0,10770000.0,15980000.0,21320000.0,15380000.0,11890000.0,7200000.0,5610000.0,5100000.0,5430000.0,8760000.0
,grossProfit,0.0,2089710.0,381630.0,1249700.0,1506060.0,2216240.0,5343610.0,4190000.0,5240000.0,3710000.0,4570000.0,1950000.0,2190000.0,-80000.0,180000.0,3710000.0,3490000.0,4330000.0,3610000.0,3570000.0,-3070000.0
,grossProfitRatio,0.0,0.22622397116056,0.0425049200923541,0.120926695025139,0.147603305947118,0.186819365405576,0.361700658676271,0.302090843547224,0.338064516129032,0.2193968066233,0.221307506053269,0.153301886792453,0.120528343423225,-0.00376647834274953,0.0115681233933162,0.237820512820513,0.326473339569691,0.435613682092555,0.414466130884041,0.396666666666667,-0.539543057996485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1780663.0,1036530.0,1122850.0,1236700.0,1347970.0,1443230.0,4688990.0,2470000.0,2680000.0,5030000.0,5390000.0,3280000.0,4930000.0,6180000.0,5150000.0,2540000.0,1640000.0,1390000.0,1180000.0,1270000.0,1950000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
