date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-33300000.0,159100000.0,269400000.0,18400000.0
,depreciationAndAmortization,500900000.0,178100000.0,180400000.0,173800000.0
,deferredIncomeTax,-104400000.0,-21300000.0,4000000.0,-249000000.0
,stockBasedCompensation,51300000.0,19000000.0,80800000.0,73600000.0
,changeInWorkingCapital,384100000.0,234500000.0,-167000000.0,211136000.0
,accountsReceivables,0.0,54000000.0,13000000.0,-65000000.0
,inventory,170800000.0,18000000.0,-169900000.0,-112400000.0
,accountsPayables,-13300000.0,-9000000.0,120700000.0,167200000.0
,otherWorkingCapital,-10900000.0,969300000.0,734800000.0,901800000.0
,otherNonCashItems,74000000.0,31800000.0,1100000.0,273800000.0
,netCashProvidedByOperatingActivites,914300000.0,343300000.0,444500000.0,200500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0
,acquisitionsNet,9000000.0,-12000000.0,-285200000.0,-157600000.0
,purchasesOfInvestments,0.0,0.0,-900200000.0,-1016900000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,921600000.0,1021100000.0
,netCashUsedForInvestingActivites,-37900000.0,-54300000.0,-235000000.0,-60800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1619100000.0,-32000000.0,-1123000000.0,-2879000000.0
,commonStockIssued,0.0,0.0,0.0,893000000.0
,commonStockRepurchased,-2100000.0,24100000.0,-33900000.0,890000000.0
,dividendsPaid,0.0,0.0,0.0,0.0
,otherFinancingActivites,-52900000.0,0.0,1123900000.0,14500000.0
,netCashUsedProvidedByFinancingActivities,328700000.0,-11500000.0,-373000000.0,-17400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,40300000.0,6800000.0,-8600000.0,15200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1245400000.0,284300000.0,-172100000.0,137500000.0
,cashAtEndOfPeriod,1750900000.0,505500000.0,221200000.0,393303000.0
,cashAtBeginningOfPeriod,505500000.0,221200000.0,393300000.0,255803000.0
,operatingCashFlow,914300000.0,343300000.0,444500000.0,200500000.0
,capitalExpenditure,-48700000.0,-43200000.0,-365600000.0,-221300000.0
,freeCashFlow,865600000.0,300100000.0,392300000.0,143700000.0
