Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,193192000.0,179758000.0,166182000.0,149298000.0,132295000.0,105574000.0,40890000.0,13856000.0
Revenue Growth,0.0747,0.0817,0.1131,0.1285,0.2531,1.5819,1.9511,
Cost of Revenue,34922000.0,30537000.0,30548000.0,28177000.0,24035000.0,16500000.0,11670000.0,5198000.0
Gross Profit,158270000.0,149221000.0,135634000.0,121121000.0,108260000.0,89074000.0,29220000.0,8658000.0
R&D Expenses,78047000.0,75350000.0,67398000.0,61871000.0,46278000.0,36400000.0,23773000.0,8052000.0
SG&A Expense,123084000.0,124898000.0,132022000.0,141557000.0,122270000.0,80390000.0,53202000.0,26146000.0
Operating Expenses,201131000.0,202429000.0,200291000.0,204477000.0,169330000.0,120923000.0,77027000.0,34198000.0
Operating Income,-42861000.0,-53208000.0,-64657000.0,-83356000.0,-61070000.0,-31849000.0,-47807000.0,-25540000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,-41737000.0,-52220000.0,-64512000.0,-83630000.0,-61372000.0,-32245000.0,-47944000.0,-25671000.0
Income Tax Expense,1347000.0,1142000.0,982000.0,852000.0,517000.0,252000.0,-1433000.0,46000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-43084000.0,-53362000.0,-65494000.0,-84482000.0,-61889000.0,-32497000.0,-46511000.0,-25717000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-43084000.0,-53362000.0,-65494000.0,-84482000.0,-61889000.0,-32497000.0,-46511000.0,-25717000.0
EPS,-0.42,-0.57,-0.76,-1.07,-1.3,-3.27,-6.04,-4.57
EPS Diluted,-0.42,-0.57,-0.76,-1.07,-1.3,-3.27,-6.04,-4.57
Weighted Average Shs Out,105554695.0,96056561.0,87912106.0,80306506.0,75979600.0,,,
Weighted Average Shs Out (Dil),102527000.0,93770000.0,85845000.0,78755000.0,47517000.0,9953000.0,7696000.0,5624000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.8192,0.8301,0.8162,0.8113,0.8183,0.8437,0.7146,0.6249
EBITDA Margin,-0.196,-0.269,-0.364,-0.536,-0.436,-0.286,-1.146,-1.831
EBIT Margin,-0.216,-0.2905,-0.3882,-0.5602,-0.4639,-0.3054,-1.1725,-1.8527
Profit Margin,-0.223,-0.297,-0.394,-0.566,-0.468,-0.308,-1.137,-1.856
Free Cash Flow margin,0.0632,-0.019,-0.0882,-0.3501,-0.3049,-0.2635,-0.6314,-1.1186
EBITDA,-37791000.0,-48286000.0,-60548000.0,-80003000.0,-57727000.0,-30197000.0,-46874000.0,-25374000.0
EBIT,-41737000.0,-52220000.0,-64512000.0,-83630000.0,-61372000.0,-32245000.0,-47944000.0,-25671000.0
Consolidated Income,-43084000.0,-53362000.0,-65494000.0,-84482000.0,-61889000.0,-32497000.0,-46511000.0,-25717000.0
Earnings Before Tax Margin,-0.216,-0.2905,-0.3882,-0.5602,-0.4639,-0.3054,-1.1725,-1.8527
Net Profit Margin,-0.223,-0.2969,-0.3941,-0.5659,-0.4678,-0.3078,-1.1375,-1.856
