date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-427000000.0,-97000000.0,52000000.0,-52000000.0,-234000000.0,-502000000.0,116000000.0,147000000.0,108000000.0
,depreciationAndAmortization,28000000.0,41000000.0,41000000.0,50000000.0,53000000.0,38000000.0,21000000.0,17000000.0,12000000.0
,deferredIncomeTax,0.0,-2000000.0,-1000000.0,-1000000.0,-2000000.0,-6000000.0,7000000.0,3000000.0,-7000000.0
,stockBasedCompensation,0.0,13000000.0,16000000.0,20000000.0,23000000.0,27000000.0,18000000.0,6000000.0,6000000.0
,changeInWorkingCapital,170000000.0,-107000000.0,43000000.0,123000000.0,-373000000.0,-442000000.0,-66000000.0,132000000.0,-138000000.0
,accountsReceivables,0.0,98000000.0,-69000000.0,-64000000.0,102000000.0,414000000.0,-200000000.0,23000000.0,-25000000.0
,inventory,148000000.0,109000000.0,-30000000.0,-110000000.0,190000000.0,258000000.0,-116000000.0,158000000.0,-87000000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1000000.0,671000000.0,778000000.0,735000000.0,612000000.0,985000000.0,1427000000.0,-29000000.0,36000000.0
,otherNonCashItems,34000000.0,30000000.0,1000000.0,-11000000.0,0.0,-4000000.0,18000000.0,-2000000.0,7000000.0
,netCashProvidedByOperatingActivites,189000000.0,224000000.0,73000000.0,-115000000.0,235000000.0,324000000.0,108000000.0,317000000.0,-12000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-8000000.0,-12000000.0,-11000000.0,-4000000.0,-4000000.0,-11000000.0,-39000000.0,-55000000.0,-14000000.0
,acquisitionsNet,26000000.0,-8000000.0,0.0,-4000000.0,-175000000.0,-515000000.0,-36000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,4000000.0,-2000000.0,2000000.0,16000000.0,3000000.0,0.0,8000000.0,1000000.0,0.0
,netCashUsedForInvestingActivites,22000000.0,-22000000.0,-9000000.0,8000000.0,-183000000.0,-523000000.0,-67000000.0,-54000000.0,-1127000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-400000000.0,-533000000.0,-262000000.0,-296000000.0,-327000000.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-8000000.0,-6000000.0,-7000000.0,-3000000.0,-4000000.0,-2000000.0,66000000.0,-299000000.0,1184000000.0
,netCashUsedProvidedByFinancingActivities,-8000000.0,-138000000.0,-37000000.0,94000000.0,-47000000.0,106000000.0,66000000.0,-299000000.0,1184000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1000000.0,3000000.0,-9000000.0,5000000.0,11000000.0,-12000000.0,-13000000.0,-1000000.0,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,204000000.0,67000000.0,18000000.0,-8000000.0,16000000.0,-105000000.0,94000000.0,-37000000.0,47000000.0
,cashAtEndOfPeriod,387000000.0,183000000.0,116000000.0,98000000.0,106000000.0,90000000.0,195000000.0,101000000.0,138000000.0
,cashAtBeginningOfPeriod,183000000.0,116000000.0,98000000.0,106000000.0,90000000.0,195000000.0,101000000.0,138000000.0,91000000.0
,operatingCashFlow,189000000.0,224000000.0,73000000.0,-115000000.0,235000000.0,324000000.0,108000000.0,317000000.0,-12000000.0
,capitalExpenditure,-8000000.0,-12000000.0,-11000000.0,-4000000.0,-11000000.0,-11000000.0,-39000000.0,-55000000.0,-14000000.0
,freeCashFlow,181000000.0,212000000.0,62000000.0,-119000000.0,224000000.0,313000000.0,69000000.0,262000000.0,-26000000.0
