date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-26280470.0,-26294979.0,-17453409.0,-13460405.0,-14736698.0,-12108130.0,-11368353.0,-3700046.0,-8301705.0,-7307147.0,-8783037.0,-5499419.0,-5351269.0,-1579993.0,-25532.0,-91625.0,-14395.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,1252.0,995.0,768.0,576.0,1858.0,1657.0,910.0,410.0,220.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,4876906.0,6430873.0,5517004.0,4135570.0,5062267.0,1633979.0,637925.0,1002500.0,302208.0,1273162.0,770055.0,812336.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,6946870.0,-149415.0,-3762485.0,17945839.0,-6552323.0,6897977.0,7469317.0,1316536.0,-1730909.0,1819475.0,727201.0,-1398482.0,-1830528.0,-446993.0,10509.0,-51625.0,2505.0
,accountsReceivables,-2206595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,465722.0,683797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,27236569.0,20289699.0,20439114.0,24201599.0,6255760.0,12808083.0,5910106.0,-1559211.0,-2875747.0,-1144838.0,-2964313.0,-3691514.0,-2293032.0,-462504.0,-15511.0,-26020.0,25605.0
,otherNonCashItems,0.0,35375.0,0.0,-75204.0,-145572.0,4526304.0,2841572.0,978095.0,121476.0,-7337728.0,2979615.0,170164.0,2416636.0,800000.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-21287046.0,-18527117.0,-12582406.0,-9017231.0,-9236823.0,-4227006.0,-2659379.0,-777573.0,-1692940.0,-3801479.0,-4593588.0,-2794655.0,-2474053.0,-325250.0,-32428.0,-61072.0,-11890.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,-3015.0,0.0,0.0,0.0,-3310.0,-1239.0,-1082.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,-3015.0,0.0,0.0,0.0,-3310.0,-1239.0,-1082.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,-34759.0,-88144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,28754198.0,17832109.0,8173920.0,27270674.0,3167420.0,12343988.0,368170.0,801285.0,996250.0,0.0,3095573.0,1638031.0,1131467.0,0.0,0.0,24000.0,40000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-403764.0,-50000.0,-101133.0,0.0,0.0,0.0,-788712.0,60000.0,-8150.0,-100000.0,0.0,300000.0,0.0,313000.0,23726.0,9939.0,0.0
,netCashUsedProvidedByFinancingActivities,28350434.0,17782109.0,8072787.0,27270674.0,3132661.0,12255844.0,9579458.0,1111285.0,1569600.0,3671512.0,4510573.0,3140531.0,2481467.0,313000.0,43726.0,33939.0,40000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,7063388.0,-745008.0,-4509619.0,18253443.0,-6104162.0,8028838.0,6917064.0,333712.0,-123340.0,-129967.0,-86325.0,344637.0,6332.0,-12250.0,11298.0,-27133.0,0.0
