date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-31530000.0,-40796000.0,-31536000.0,-27019000.0,-23173000.0,-15943000.0
,depreciationAndAmortization,4312000.0,3009000.0,1352000.0,482000.0,444000.0,425000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,10099000.0,6388000.0,4884000.0,2168000.0,928000.0,1104000.0
,changeInWorkingCapital,-7470000.0,4372000.0,-3577000.0,1935000.0,1275000.0,993000.0
,accountsReceivables,-6240000.0,-3365000.0,-983000.0,-1682000.0,-1655000.0,-1467000.0
,inventory,-5119000.0,-3447000.0,-1603000.0,-2043000.0,-526000.0,-254000.0
,accountsPayables,649000.0,621000.0,1318000.0,1003000.0,1131000.0,542000.0
,otherWorkingCapital,179802000.0,112828000.0,41371000.0,69538000.0,24288000.0,-2068000.0
,otherNonCashItems,808000.0,700000.0,170000.0,238000.0,388000.0,306000.0
,netCashProvidedByOperatingActivites,-23365000.0,-26187000.0,-28721000.0,-22106000.0,-17742000.0,-12517000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3930000.0,-10847000.0,-1518000.0,-1132000.0,-526000.0,-597000.0
,acquisitionsNet,0.0,-15000000.0,-4000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-150000.0,0.0,-300000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,3304000.0,0.0,15000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-626000.0,-25376000.0,-5454000.0,-1132000.0,-826000.0,-554000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-75000.0,-50000.0,-1929000.0,-980000.0,-2697000.0,-339000.0
,commonStockIssued,91404000.0,112548000.0,0.0,65575000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-20000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,96236000.0,116197000.0,-78000.0,73249000.0,45916000.0,11704000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,158000.0,118000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,72403000.0,64752000.0,-34253000.0,50011000.0,27348000.0,-1367000.0
,cashAtEndOfPeriod,182584000.0,110181000.0,45429000.0,79682000.0,29671000.0,2323000.0
,cashAtBeginningOfPeriod,110181000.0,45429000.0,79682000.0,29671000.0,2323000.0,3690000.0
,operatingCashFlow,-23365000.0,-26187000.0,-28721000.0,-22106000.0,-17742000.0,-12517000.0
,capitalExpenditure,-3930000.0,-10847000.0,-1518000.0,-1132000.0,-526000.0,-597000.0
,freeCashFlow,-27295000.0,-37034000.0,-30239000.0,-23238000.0,-18268000.0,-13114000.0
