date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY
,revenue,282000000.0,281000000.0,159000000.0,405000000.0,289000000.0,854000000.0,1263000000.0,1148000000.0,2386000000.0,-1583000000.0,893798000.0,2954021000.0,-856603000.0,-282554000.0,2712256000.0,2300507000.0,2000902000.0,1869214000.0,1150905000.0,1140746000.0,1057454000.0,964421000.0,911882000.0,653982000.0,545537000.0,462222000.0,439536000.0,429000000.0,327900000.0,269000000.0,223600000.0,171700000.0,150700000.0,135400000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,92000000.0,101000000.0,82000000.0,116000000.0,151000000.0,153000000.0,203000000.0,349000000.0,398000000.0,337000000.0,314483000.0,316232000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,354000000.0,165000000.0,822000000.0,411000000.0,326000000.0,380000000.0,512000000.0,498000000.0,320000000.0,605000000.0,1262000000.0,1699000000.0,1206000000.0,388000000.0,457000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,860000000.0,638000000.0,455000000.0,1066000000.0,628000000.0,565000000.0,622000000.0,732000000.0,788000000.0,656000000.0,989026000.0,1737140000.0,2870786000.0,2783138000.0,1578993000.0,1284559000.0,870989000.0,720574000.0,358324000.0,349762000.0,342597000.0,576538000.0,346844000.0,174413000.0,137407000.0,117192000.0,110114000.0,52400000.0,38600000.0,42800000.0,40700000.0,23800000.0,0.0,0.0
,interestExpense,228000000.0,283000000.0,293000000.0,272000000.0,222000000.0,238000000.0,249000000.0,281000000.0,339000000.0,362000000.0,384032000.0,475028000.0,1171783000.0,1577048000.0,1182078000.0,796339000.0,488266000.0,370592000.0,58453000.0,56445000.0,53756000.0,53935000.0,44620000.0,37500000.0,33500000.0,28400000.0,27200000.0,26900000.0,20500000.0,18600000.0,17300000.0,1300000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,7592000.0,9193000.0,9640000.0,10158000.0,-9429000.0,12317000.0,13904000.0,11483000.0,14047000.0,16612000.0,18258000.0,18351000.0,17225000.0,11839000.0,9405000.0,9167000.0,8208000.0,7300000.0,8200000.0,7400000.0,12900000.0,12100000.0,0.0,0.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87636000.0,1226074000.0,-3717749000.0,-1478486000.0,2305912000.0,1824604000.0,1632083000.0,1530715000.0,865081000.0,864041000.0,786871000.0,0.0,626883000.0,0.0,450997000.0,382636000.0,364789000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0980489998858803,0.415052567331106,4.34010737763001,5.23257855135656,0.850182283678237,0.793131253241133,0.815673631192332,0.81890837539201,0.751652829729648,0.757435046890368,0.744118420281166,0.0,0.687460658286927,0.0,0.826702863417147,0.827818667220513,0.829941119726257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,-339000000.0,289000000.0,641000000.0,416000000.0,1598000000.0,0.0,-95228000.0,1216881000.0,-3727389000.0,-1488644000.0,2315341000.0,1812287000.0,1618179000.0,1519232000.0,851034000.0,847429000.0,768613000.0,0.0,609658000.0,0.0,441592000.0,373469000.0,356581000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,-2.04964539007092,-1.27046263345196,-1.86163522012579,-1.6320987654321,-1.17301038062284,0.338407494145199,0.507521773555028,0.362369337979094,0.669740150880134,1.41440303221731,-0.106543089154373,0.411940537998884,4.35136113228648,5.26852920149777,0.853658725430048,0.78777721606585,0.808724765130926,0.812765151555681,0.739447652065114,0.74287264649624,0.726852421003656,0.40219261090333,0.668571152846531,0.733306115458835,0.809462969514442,0.807986205762599,0.811266881438608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,-171000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13310000.0,269459000.0,-1809705000.0,-3341735000.0,1235156000.0,903718000.0,621058000.0,509188000.0,186474000.0,192253000.0,184232000.0,137009000.0,120554000.0,54252000.0,31952000.0,22072000.0,17745000.0,197700000.0,165000000.0,136800000.0,116900000.0,80500000.0,0.0,0.0
,incomeBeforeTax,-578000000.0,-357000000.0,-296000000.0,-661000000.0,-339000000.0,289000000.0,641000000.0,416000000.0,1598000000.0,-2239000000.0,-95228000.0,1216881000.0,-3727389000.0,-3065692000.0,1133263000.0,1015948000.0,1129913000.0,1148640000.0,792581000.0,790984000.0,714857000.0,387883000.0,565038000.0,479569000.0,408130000.0,345030000.0,329422000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
