date,,2020-10-03_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2017-09-28_FY,2016-10-01_FY,2015-10-03_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-10-01_FY,2011-09-30_FY,2010-10-02_FY,2009-10-03_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-10-01_FY,2004-10-02_FY,2003-09-27_FY,2002-09-30_FY,2002-09-28_FY,2001-09-30_FY,2001-09-29_FY,2000-09-30_FY,1999-10-02_FY,1998-09-26_FY,1997-09-27_FY,1996-09-28_FY,1995-09-30_FY,1994-10-01_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-414139000.0,53825000.0,247358000.0,207122000.0,207122000.0,87502000.0,76409000.0,59100000.0,66400000.0,63000000.0,93200000.0,93238000.0,36900000.0,-35300000.0,23400000.0,16000000.0,45394000.0,39900000.0,17400000.0,-45900000.0,-68968000.0,-68968000.0,100750000.0,100750000.0,69937000.0,11800000.0,18800000.0,26300000.0,30300000.0,19300000.0,11500000.0,10500000.0,2600000.0,200000.0,-400000.0
,depreciationAndAmortization,46705000.0,116385000.0,113381000.0,104245000.0,50891000.0,34355000.0,33059000.0,36200000.0,36200000.0,29600000.0,28600000.0,28621000.0,29700000.0,26700000.0,32000000.0,34000000.0,36101000.0,35300000.0,36200000.0,34100000.0,27505000.0,24078000.0,25597000.0,20335000.0,26158000.0,19900000.0,17200000.0,14600000.0,12400000.0,9000000.0,7900000.0,7300000.0,7900000.0,8200000.0,7700000.0
,deferredIncomeTax,-24471000.0,-14930000.0,16607000.0,-19752000.0,19752000.0,-9770000.0,838000.0,-8200000.0,-1100000.0,-4800000.0,22100000.0,22379000.0,13300000.0,-12200000.0,-1600000.0,2000000.0,-16484000.0,-12900000.0,6000000.0,3500000.0,-30287000.0,-30287000.0,-11915000.0,-11915000.0,4542000.0,-10500000.0,-4200000.0,700000.0,-8700000.0,1600000.0,300000.0,5300000.0,-4300000.0,-400000.0,-200000.0
,stockBasedCompensation,44787000.0,36466000.0,32738000.0,26272000.0,26272000.0,20157000.0,18232000.0,18897000.0,18891000.0,16315000.0,12963000.0,12963000.0,8286000.0,7415000.0,8809000.0,9937000.0,0.0,436000.0,0.0,0.0,0.0,0.0,0.0,284000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,89099000.0,-11157000.0,-26855000.0,0.0,278374000.0,84052000.0,-33707000.0,80400000.0,22700000.0,42500000.0,-41000.0,7641000.0,14100000.0,0.0,-140400000.0,-93917000.0,250717000.0,34400000.0,47800000.0,-129250000.0,0.0,-41688000.0,0.0,45974000.0,227964000.0,21100000.0,21100000.0,29200000.0,16700000.0,9100000.0,9400000.0,10300000.0,3500000.0,4300000.0,1700000.0
,accountsReceivables,53104000.0,82078000.0,-47020000.0,-52516000.0,-52516000.0,-17525000.0,-10099000.0,-5191000.0,4226000.0,-5146000.0,-26185000.0,-26185000.0,-33674000.0,24854000.0,9049000.0,12211000.0,0.0,11867000.0,-21703000.0,11835000.0,0.0,15334000.0,0.0,-14471000.0,0.0,-8200000.0,9000000.0,-12400000.0,-21000000.0,0.0,400000.0,0.0,0.0,0.0,0.0
,inventory,28464000.0,17805000.0,-78123000.0,-11419000.0,-11419000.0,-55708000.0,6054000.0,-6890000.0,4260000.0,-9767000.0,-38570000.0,-38570000.0,-14607000.0,21412000.0,-6491000.0,-8377000.0,3333000.0,7996000.0,-190000.0,4866000.0,24529000.0,24529000.0,-18961000.0,-18961000.0,-32804000.0,5600000.0,-17100000.0,-20600000.0,-13800000.0,-10400000.0,-3000000.0,3200000.0,500000.0,-5500000.0,1500000.0
,accountsPayables,8187000.0,-15160000.0,-9736000.0,8276000.0,8276000.0,9735000.0,1000000.0,-2295000.0,6116000.0,-10443000.0,-161000.0,-161000.0,15122000.0,-4172000.0,-1085000.0,-1683000.0,0.0,-612000.0,-605000.0,1112000.0,0.0,-8330000.0,0.0,-7024000.0,0.0,-400000.0,100000.0,-5600000.0,-700000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,943606000.0,854507000.0,865664000.0,892519000.0,892519000.0,614145000.0,530093000.0,563800000.0,483400000.0,460700000.0,418200000.0,418241000.0,410600000.0,396500000.0,396500000.0,536900000.0,630817000.0,380100000.0,345700000.0,297900000.0,427150000.0,427150000.0,468838000.0,468838000.0,422864000.0,194900000.0,173800000.0,152700000.0,123500000.0,106800000.0,97700000.0,88300000.0,78000000.0,74500000.0,70200000.0
,otherNonCashItems,0.0,45212000.0,45854000.0,9668000.0,0.0,21120000.0,19459000.0,17500000.0,19200000.0,19000000.0,1700000.0,-232000.0,12100000.0,27100000.0,12500000.0,26800000.0,17109000.0,3300000.0,-300000.0,7500000.0,0.0,0.0,1043000.0,0.0,0.0,2600000.0,-7000000.0,27200000.0,300000.0,0.0,-8100000.0,-500000.0,-700000.0,-800000.0,-1000000.0
,netCashProvidedByOperatingActivites,-78184000.0,181401000.0,236111000.0,384116000.0,384116000.0,105299000.0,124458000.0,91400000.0,115500000.0,64800000.0,86700000.0,86676000.0,78800000.0,39000000.0,68400000.0,66600000.0,78782000.0,92700000.0,69300000.0,21200000.0,101775000.0,101775000.0,-56010000.0,-54732000.0,-44047000.0,38600000.0,18400000.0,29300000.0,22100000.0,10000000.0,14000000.0,23700000.0,13800000.0,-3900000.0,8700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-64919000.0,-83283000.0,-90757000.0,-63774000.0,-63774000.0,-49327000.0,-22163000.0,-23390000.0,-21988000.0,-36051000.0,-37117000.0,-37117000.0,-15139000.0,-21627000.0,-22612000.0,-21693000.0,-17225000.0,-17625000.0,-46634000.0,-25678000.0,-39930000.0,-39930000.0,-94523000.0,-94523000.0,-37549000.0,-24200000.0,-22400000.0,-24900000.0,-30000000.0,-8400000.0,-10700000.0,-12900000.0,-15700000.0,-7000000.0,-6900000.0
,acquisitionsNet,0.0,-18881000.0,-45448000.0,-740000000.0,-740000000.0,0.0,-9300000.0,0.0,-67289000.0,-3687000.0,-14000000.0,-14000000.0,-20745000.0,0.0,7000000.0,-14228000.0,-6000000.0,-37979000.0,-2737000.0,-94880000.0,0.0,0.0,0.0,-52803000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
