date,,2020-12-31_FY,2019-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-71017000000.0,-33379000000.0
,depreciationAndAmortization,192753000000.0,158777000000.0
,deferredIncomeTax,14589000000.0,26369000000.0
,stockBasedCompensation,541000000.0,493000000.0
,changeInWorkingCapital,48278000000.0,11803000000.0
,accountsReceivables,35073000000.0,-11833000000.0
,inventory,13332000000.0,6726000000.0
,accountsPayables,-21039000000.0,29435000000.0
,otherWorkingCapital,-2277000000.0,-4086000000.0
,otherNonCashItems,-12120000000.0,260000000.0
,netCashProvidedByOperatingActivites,209216000000.0,217137000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0
,acquisitionsNet,0.0,-100000000.0
,purchasesOfInvestments,-46762000000.0,0.0
,salesMaturitiesOfInvestments,38332000000.0,957000000.0
,otherInvestingActivites,13867000000.0,382000000.0
,netCashUsedForInvestingActivites,-109161000000.0,-163879000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-198203000000.0,-108664000000.0
,commonStockIssued,0.0,0.0
,commonStockRepurchased,-550000000.0,-280000000.0
,dividendsPaid,0.0,-2300000000.0
,otherFinancingActivites,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-121112000000.0,-56082000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,9575000000.0,22896000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-11482000000.0,20072000000.0
,cashAtEndOfPeriod,54618000000.0,66100000000.0
,cashAtBeginningOfPeriod,66100000000.0,46028000000.0
,operatingCashFlow,209216000000.0,217137000000.0
,capitalExpenditure,-114616000000.0,-161455000000.0
,freeCashFlow,94600000000.0,55682000000.0
