date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY
,revenue,126734000.0,276916000.0,255076000.0,259287000.0,279862000.0,379745000.0,433631000.0,381300000.0,332000000.0,357600000.0,358800000.0,340200000.0,377300000.0,357900000.0,266100000.0,152800000.0,47800000.0
,costOfRevenue,0.0,115741000.0,109700000.0,109968000.0,110242000.0,171529000.0,190497000.0,166300000.0,152300000.0,166300000.0,155600000.0,129600000.0,160700000.0,148000000.0,134000000.0,58600000.0,17300000.0
,grossProfit,0.0,161175000.0,145376000.0,149319000.0,169620000.0,208216000.0,243134000.0,215100000.0,179700000.0,191300000.0,203100000.0,210600000.0,216600000.0,209900000.0,132100000.0,94200000.0,30500000.0
,grossProfitRatio,0.0,0.582035707579194,0.569932098668632,0.575883094794571,0.606084427324896,0.54830478347312,0.560693308365869,0.564122738001574,0.541265060240964,0.534955257270693,0.566053511705686,0.619047619047619,0.574078982242248,0.586476669460743,0.496429913566328,0.616492146596859,0.638075313807531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,15260000.0,16334000.0,18150000.0,16514000.0,20713000.0,15194000.0,15393000.0,13900000.0,12400000.0,18500000.0,12000000.0,11200000.0,10300000.0,8300000.0,6800000.0,5000000.0,5100000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,-433000.0,-523000.0,-582000.0,-336000.0,-235000.0,-232000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,14873000.0,15901000.0,12085000.0,-3786000.0,-856000.0,-4481000.0,-454000.0,1716000.0,12358000.0,118482000.0,119582000.0,116348000.0,122054000.0,96766000.0,139940000.0,94978000.0,41072000.0
,costAndExpenses,0.0,136017000.0,127327000.0,131690000.0,130619000.0,186488000.0,205658000.0,180100000.0,164600000.0,184800000.0,167600000.0,140800000.0,171000000.0,156300000.0,140800000.0,63700000.0,22400000.0
,interestExpense,55416000.0,-256963000.0,-55803000.0,-40568000.0,-130873000.0,-237783000.0,-152551000.0,69600000.0,-62900000.0,-259000000.0,-10800000.0,63900000.0,-818200000.0,-235000000.0,186800000.0,31200000.0,18700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,0.0,-373027000.0,16143000.0,46461000.0,-112503000.0,-282309000.0,-77129000.0,340500000.0,41600000.0,-345300000.0,169600000.0,327200000.0,-1430100000.0,-268400000.0,499000000.0,151600000.0,62800000.0
,EBITDARatio,0.0,-1.347076,0.063287,0.179188,-0.401995,-0.743417,-0.177868,0.892998,0.125301,-0.965604,0.472687,0.961787,-3.790353,-0.74993,1.875235,0.992147,1.313808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,140899000.0,127749000.0,127597000.0,149243000.0,193257000.0,227973000.0,201200000.0,167400000.0,172700000.0,191200000.0,199400000.0,206300000.0,201600000.0,125300000.0,89100000.0,25400000.0
,operatingIncomeRatio,0.882643962946013,0.508814947493103,0.500827204441029,0.492107201672278,0.533273541959966,0.508912559744039,0.525730402116085,0.527668502491477,0.504216867469879,0.482941834451902,0.53288740245262,0.586125808348031,0.546779750861384,0.563285834031853,0.470875610672679,0.583115183246073,0.531380753138075
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,111861000.0,-116064000.0,71946000.0,87029000.0,18370000.0,-44526000.0,75422000.0,270900000.0,104500000.0,-86300000.0,180400000.0,263300000.0,-611900000.0,-33400000.0,312200000.0,120400000.0,44100000.0
,incomeBeforeTaxRatio,0.882643962946013,-0.419130711118173,0.282057112390033,0.335647371445541,0.0656394937504913,-0.117252366719772,0.173931291812624,0.710464201416208,0.314759036144578,-0.241331096196868,0.502787068004459,0.773956496178718,-1.62178637688842,-0.0933221570271025,1.17324314167606,0.787958115183246,0.922594142259414
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,111861000.0,-116064000.0,71946000.0,87029000.0,18370000.0,-44526000.0,75422000.0,270900000.0,104500000.0,-86300000.0,180400000.0,263300000.0,-611900000.0,-33400000.0,312200000.0,120400000.0,44100000.0
,netIncomeRatio,0.882643962946013,-0.419130711118173,0.282057112390033,0.335647371445541,0.0656394937504913,-0.117252366719772,0.173931291812624,0.710464201416208,0.314759036144578,-0.241331096196868,0.502787068004459,0.773956496178718,-1.62178637688842,-0.0933221570271025,1.17324314167606,0.787958115183246,0.922594142259414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.66388586315055,-1.7264,1.0184,1.19424,0.24778,-0.5744,0.90042,3.42478,1.44138,-1.31756,2.76263,4.95857,-13.15914,-0.89544,10.91608,5.67925,2.13043
,EPSDiluted,1.66388586315055,-1.7264,1.0184,1.19424,0.24778,-0.5744,0.90042,3.42478,1.44138,-1.31756,2.76263,4.95857,-13.15914,-0.89544,10.91608,5.67925,2.13043
,weightedAverageShsOut,67228770.0,67228770.0,70645940.0,72873880.0,74137620.0,77517830.0,83763150.0,79100000.0,72500000.0,65500000.0,65300000.0,53100000.0,46500000.0,37300000.0,28600000.0,21200000.0,20700000.0
