date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-671983000.0,44654000.0,-12698000.0,-59726000.0,-124835000.0,-510789000.0,-116565000.0,-6307000.0
,depreciationAndAmortization,48369000.0,54224000.0,56607000.0,48510000.0,36562000.0,14263000.0,686000.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,8956000.0,7880000.0,12645000.0,18609000.0,24599000.0,23869000.0,3359000.0
,changeInWorkingCapital,59087000.0,5223000.0,1897000.0,-4873000.0,-1005000.0,-4225000.0,-13967000.0,711000.0
,accountsReceivables,-7877000.0,-197000.0,-2356000.0,-882000.0,1146000.0,0.0,-17716000.0,0.0
,inventory,24688000.0,5259000.0,-1798000.0,1982000.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,9314000.0,2993000.0,-195000.0,-7568000.0,5656000.0,-4928000.0,-15170000.0,-35000.0
,otherNonCashItems,-11613000.0,12634000.0,17462000.0,18730000.0,22746000.0,26587000.0,24019000.0,3359000.0
,netCashProvidedByOperatingActivites,-38835000.0,33880000.0,70446000.0,19582000.0,-52196000.0,-35142000.0,-50340000.0,-2237000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,-23034000.0,-217033000.0,-408307000.0,-875970000.0,-651505000.0,-371692000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,151707000.0,51631000.0,-1235000.0,44340000.0,172931000.0,219894000.0,-31277000.0,0.0
,netCashUsedForInvestingActivites,195505000.0,53841000.0,-122493000.0,-172693000.0,-235376000.0,-656076000.0,-682782000.0,-371692000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-377334000.0,-409002000.0,-358858000.0,-153003000.0,-185239000.0,-62669000.0,0.0,0.0
,commonStockIssued,82254000.0,0.0,0.0,0.0,128112000.0,217997000.0,187615000.0,1107825000.0
,commonStockRepurchased,-16724000.0,0.0,-45716000.0,-11004000.0,0.0,0.0,0.0,0.0
,dividendsPaid,-3234000.0,-5748000.0,-6042000.0,-1509000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-4646000.0,-7602000.0,-2126000.0,-1110000.0,-26044000.0,-22891000.0,0.0
,netCashUsedProvidedByFinancingActivities,-115198000.0,-112686000.0,51007000.0,119912000.0,189006000.0,618845000.0,271899000.0,1107825000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,41472000.0,-24965000.0,-1040000.0,-33199000.0,-98566000.0,-72373000.0,-461223000.0,0.0
,cashAtEndOfPeriod,84002000.0,42530000.0,67495000.0,68535000.0,101734000.0,200300000.0,272673000.0,733896000.0
,cashAtBeginningOfPeriod,42530000.0,67495000.0,68535000.0,101734000.0,200300000.0,272673000.0,733896000.0,0.0
,operatingCashFlow,-38835000.0,33880000.0,70446000.0,19582000.0,-52196000.0,-35142000.0,-50340000.0,-2237000.0
,capitalExpenditure,0.0,-32610000.0,-23034000.0,-217033000.0,-408307000.0,-875970000.0,-651505000.0,-371692000.0
,freeCashFlow,-38835000.0,33880000.0,47412000.0,-197451000.0,-460503000.0,-911112000.0,-701845000.0,-373929000.0
