Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Cash and cash equivalents,2857000.0,3000000.0,60453000.0,60000000.0,350815000.0,351000000.0,171000000.0,248000000.0
Short-term investments,0.0,,0.0,,0.0,,,
Cash and short-term investments,2857000.0,,60453000.0,,350815000.0,,,
Receivables,28804000.0,132000000.0,20662000.0,102000000.0,17131000.0,95000000.0,72000000.0,37000000.0
Inventories,0.0,,0.0,,0.0,,,
Total current assets,147842000.0,3402000000.0,172385000.0,2904000000.0,447982000.0,2186000000.0,1882000000.0,1295000000.0
Property Plant & Equipment Net,2804059000.0,2804000000.0,2578834000.0,2579000000.0,1969993000.0,1970000000.0,1605000000.0,1277000000.0
Goodwill and Intangible Assets,0.0,0,0.0,0,0.0,0,0,0
Long-term investments,460546000.0,461000000.0,184562000.0,304000000.0,201342000.0,201000000.0,000000.0,000000.0
Tax assets,0.0,000000.0,0.0,000000.0,0.0,000000.0,259000000.0,000000.0
Total non-current assets,3401783000.0,4350000000.0,2904064000.0,4065000000.0,2186285000.0,3448000000.0,2408000000.0,1028000000.0
Total assets,3549625000.0,3550000000.0,3076449000.0,3076000000.0,2634267000.0,2634000000.0,2127000000.0,1582000000.0
Payables,47042000.0,47000000.0,35831000.0,36000000.0,35909000.0,36000000.0,44000000.0,20000000.0
Short-term debt,33206000.0,000000.0,0.0,000000.0,299000000.0,299000000.0,000000.0,000000.0
Total current liabilities,213779000.0,214000000.0,88433000.0,88000000.0,390323000.0,390000000.0,539000000.0,270000000.0
Long-term debt,180000000.0,1167000000.0,985732000.0,986000000.0,493401000.0,493000000.0,493000000.0,000000.0
Total debt,213206000.0,1167000000.0,985732000.0,986000000.0,792401000.0,493000000.0,493000000.0,000000.0
Deferred revenue,0.0,,0.0,,0.0,,,
Tax Liabilities,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0,60000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,,
Total non-current liabilities,200273000.0,4350000000.0,995294000.0,4065000000.0,676895000.0,3448000000.0,2408000000.0,1028000000.0
Total liabilities,1401404000.0,4564000000.0,1083727000.0,4154000000.0,1067218000.0,3839000000.0,2947000000.0,1298000000.0
Other comprehensive income,0.0,,0.0,,0.0,,,
Retained earnings (deficit),2148221000.0,,1992722000.0,,1567049000.0,,,
Total shareholders equity,2148221000.0,-1014000000.0,1992722000.0,-1077000000.0,1567049000.0,-1205000000.0,-820000000.0,284000000.0
Investments,460546000.0,461000000.0,184562000.0,304000000.0,201342000.0,201000000.0,000000.0,000000.0
Net Debt,210349000.0,1164000000,925279000.0,926000000,441586000.0,441000000,322000000,-248000000
Other Assets,0.0,150000000,0.0,32000000,0.0,17000000,20000000,20000000
Other Liabilities,987352000.0,159000000,0.0,42000000,0.0,42000000,502000000,255000000
