Date,2018-12-31,2017-12-31,2016-12-31
Revenue,73279000.0,36459000.0,18124000.0
Revenue Growth,1.00990153322911,1.01164202162878,
Cost of Revenue,47296000.0,22781000.0,11856000.0
Gross Profit,25983000.0,13678000.0,6268000.0
R&D Expenses,3655000.0,3698000.0,3279000.0
SG&A Expense,51757000.0,32573000.0,16923000.0
Operating Expenses,55412000.0,36271000.0,
Operating Income,-29429000.0,-22593000.0,-10655000.0
Interest Expense,2353000.0,412000.0,
Earnings before Tax,-31768000.0,-23029000.0,-10585000.0
Income Tax Expense,55000.0,38000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,
Net Income - Discontinued ops,0.0,0.0,
Net Income,-31823000.0,-23067000.0,
Preferred Dividends,0.0,0.0,
Net Income Com,-31823000.0,-23067000.0,-10585000.0
EPS,-3.13,-2.88,-0.61
EPS Diluted,-3.13,-2.88,-0.61
Weighted Average Shs Out,17274141.0,17274000.0,17274000.0
Weighted Average Shs Out (Dil),10160879.0,8004804.0,
Dividend per Share,0.0,0.0,
Gross Margin,0.3546,0.3752,0.3458
EBITDA Margin,-0.398,-0.613,
EBIT Margin,-0.4014,-0.6203,
Profit Margin,-0.434,-0.633,
Free Cash Flow margin,-0.4145,-0.7922,
EBITDA,-29162000.0,-22359000.0,
EBIT,-29415000.0,-22617000.0,
Consolidated Income,-31823000.0,-23067000.0,
Earnings Before Tax Margin,-0.4335,-0.6316,-0.584
Net Profit Margin,-0.4343,-0.6327,
