date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,1339238429000.0,1069988800000.0,1031361800000.0,977442600000.0,947909200000.0,843512500000.0,762835000000.0,597003300000.0,506223600000.0,427080600000.0,419537900000.0,295742200000.0,334064749760.0,322647065905.0,317358056818.0,267362810860.0,257622812160.0,202648572480.0,162583484357.75,130207396372.24,166197601933.44,73075908035.78,50339078125.0,44053071457.92
,costOfRevenue,628108309000.0,577286900000.0,533487500000.0,482616200000.0,473077100000.0,433117600000.0,385113000000.0,315642500000.0,262628700000.0,233011400000.0,212484300000.0,166413600000.0,191928897245.0,180291230243.0,161572573745.0,148806170595.0,141616476960.0,127911724620.0,110179378044.77,99823091297.6,89681747433.62,41565527782.3,31028202331.0,22907206460.32
,grossProfit,711130120000.0,492701900000.0,497874300000.0,494826400000.0,474832100000.0,410394900000.0,377722000000.0,281360800000.0,243594900000.0,194069200000.0,207053600000.0,129328600000.0,142135852515.0,142355835662.0,155785483073.0,118556640265.0,116006335200.0,74736847860.0,52404106312.98,30384305074.64,76515854499.82,31510380253.48,19310875794.0,21145864997.6
,grossProfitRatio,0.530995903792125,0.460473885334127,0.482734865689228,0.506245993370864,0.500925721577552,0.48653090499548,0.495155570995038,0.471288517165651,0.48120020481068,0.454408839923893,0.493527759947313,0.437301812186425,0.425473961611076,0.441212243051716,0.490882395219418,0.443429809417586,0.450295275590551,0.368800268096515,0.322321215589583,0.233353142150056,0.4603908456541,0.431200666545965,0.383616,0.480008868798144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,109486089000.0,91418700000.0,85895600000.0,80732500000.0,71207700000.0,65544600000.0,56828800000.0,47952000000.0,40402100000.0,33829900000.0,29706700000.0,21593400000.0,21539318795.0,17947719382.0,16074165701.0,14058436155.0,12551505120.0,12699491640.0,11745391744.8,11280351274.72,5131489635.18,2390840053.42,3241031206.0,2512520047.52
,GeneralAndAdministrativeExpenses,28457593000.0,21737200000.0,20265900000.0,21196700000.0,19795600000.0,17257200000.0,18933400000.0,18881800000.0,17638100000.0,14164100000.0,12804000000.0,11285500000.0,15876090855.0,12680806430.0,12467009522.0,13257357555.0,14833596960.0,10865875200.0,9014748164.14,10865316249.92,10089668026.64,4286475424.79,2287407710.0,3661975184.0
,SellingAndMarketingExpenses,7112867000.0,6348600000.0,5987800000.0,5972500000.0,5900800000.0,5664700000.0,5087400000.0,4505200000.0,4497500000.0,4517800000.0,5367600000.0,4487800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,1086778000.0,665100000.0,-127900000.0,385500000.0,134400000.0,43400000.0,212800000.0,300400000.0,544100000.0,0.0,859300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,144346422000.0,119352200000.0,112821700000.0,108169300000.0,96920800000.0,88665000000.0,80902200000.0,71364100000.0,62537700000.0,52511800000.0,47878300000.0,37366700000.0,37415409650.0,30628525812.0,28541175223.0,27315793710.0,27385102080.0,23565366840.0,20760139908.94,22421891340.64,15221124549.24,6677315478.21,5528438916.0,6174495231.52
,costAndExpenses,772454731000.0,696639100000.0,646309200000.0,590785500000.0,569997900000.0,521782600000.0,466015200000.0,387006600000.0,325166400000.0,285523200000.0,260362600000.0,203780300000.0,229344306895.0,210919756055.0,190113748968.0,176121964305.0,169001579040.0,151477091460.0,130939517953.71,122244982638.24,104902871982.86,48242843260.51,36556641247.0,29081701691.84
,interestExpense,2081455000.0,3250900000.0,3051100000.0,3330300000.0,3306100000.0,3190300000.0,3236300000.0,2646800000.0,1020400000.0,626700000.0,425400000.0,391500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,331724691000.0,286884200000.0,292546300000.0,260142700000.0,223828400000.0,222505600000.0,24900000.0,25100000.0,131349300000.0,107681500000.0,87810100000.0,80814700000.0,81735752670.0,79892323682.0,73707202140.0,75997037690.0,69952454040.0,169779300.0,18539131.13,48875776268.88,41446122346.34,18043634580.82,15270862740.0,9790638558.4
,EBITDA,898508389000.0,660233900000.0,677598900000.0,646799800000.0,601739700000.0,544235500000.0,296844700000.0,210021800000.0,312406500000.0,249238900000.0,246985400000.0,172776600000.0,186456195535.0,191619633532.0,200951509990.0,167237884245.0,158573687160.0,51341260320.0,31662505535.17,56838190002.88,102740852296.92,42876699356.09,29053299618.0,24762008324.48
,EBITDARatio,0.670909951165985,0.617047486852199,0.656994373846307,0.661726632336262,0.634807321207559,0.645201464115825,0.389133560992875,0.351793365296306,0.617131441521099,0.583587500813664,0.588708195374006,0.584213548151059,0.558143879798615,0.593898577675026,0.633201223894696,0.625509148811916,0.61552657480315,0.253351206434316,0.194746137101476,0.436520440362617,0.618184926266664,0.58674193052923,0.577152,0.562094934700137
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,566783698000.0,373349700000.0,385052600000.0,386657100000.0,377911300000.0,321729900000.0,296819800000.0,209996700000.0,181057200000.0,141557400000.0,159175300000.0,91961900000.0,104720442865.0,111727309850.0,127244307850.0,91240846555.0,88621233120.0,51171481020.0,31643966404.04,7962413734.0,61294729950.58,24833064775.27,13782436878.0,14971369766.08
,operatingIncomeRatio,0.423213436626974,0.348928605607834,0.373343864393659,0.395580364514499,0.398678797505078,0.381416872897556,0.389100919595981,0.351751321977617,0.35766250328906,0.331453594473736,0.379406246730033,0.310952917777713,0.313473489616111,0.346283359300397,0.400948723740682,0.341262295461042,0.343996062992126,0.252513404825737,0.194632108722743,0.0611517775168229,0.368806343999643,0.339825606588577,0.273792,0.339848488893239
,totalOtherIncomeExpensesNet,11056537000.0,3573900000.0,847300000.0,3370400000.0,4999000000.0,27808700000.0,5759300000.0,6775600000.0,-127800000.0,2737500000.0,9855300000.0,1291300000.0,2286314760.0,5111240648.0,2443872750.0,2896445030.0,3169572000.0,1052631660.0,-2831269671.39,-2363881459.28,3644138766.74,-190620099.2,-818312054.0,-8297428.16
,incomeBeforeTax,584777180000.0,389862100000.0,397543100000.0,396161900000.0,385921700000.0,350477600000.0,302073500000.0,215961500000.0,181554000000.0,145147700000.0,170270400000.0,95462600000.0,111776483245.0,121648176057.0,133340955737.0,94545394435.0,92107762320.0,47164689540.0,27294296675.71,10142169292.64,63938305887.46,24176334640.74,13653568838.0,15445891189.12
,incomeBeforeTaxRatio,0.43664904421586,0.364360916675016,0.385454551448386,0.405304516091277,0.407129395937923,0.415497814199552,0.395987992160821,0.361742556531932,0.358643887799779,0.339860204373601,0.405852248390431,0.322789916352824,0.334595264317181,0.377031713323617,0.420159352732201,0.35362208427898,0.357529527559055,0.232741286863271,0.16787865497858,0.0778924206705226,0.384712565907338,0.330838648339513,0.271232,0.3506200743318
