Date,2019-06-30,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2012-06-30
Revenue,378206000.0,347302000.0,347000000.0,276928000.0,277000000.0,285851000.0,286000000.0,303825000.0,304000000.0,287105000.0,287000000.0,245543000.0,0.0
Revenue Growth,0.0889830752486309,0.000870317002881844,0.253033279408366,-0.000259927797833935,-0.0309636838772647,-0.000520979020979021,-0.0586686414876985,-0.000575657894736842,0.058846066769997,0.000365853658536585,0.168838044660202,0.0,0.0
Cost of Revenue,93183000.0,87779000.0,186000000.0,68215000.0,151000000.0,82683000.0,162000000.0,64772000.0,152000000.0,88139000.0,158000000.0,75135000.0,0.0
Gross Profit,285023000.0,259523000.0,161000000.0,208713000.0,126000000.0,203168000.0,124000000.0,239053000.0,151000000.0,198966000.0,129000000.0,170408000.0,0.0
R&D Expenses,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
SG&A Expense,81965000.0,77650000.0,78000000.0,67705000.0,68000000.0,68697000.0,69000000.0,70602000.0,71000000.0,62612000.0,63000000.0,54418000.0,0.0
Operating Expenses,81965000.0,77650000.0,117000000.0,67705000.0,107000000.0,68697000.0,107000000.0,70602000.0,108000000.0,62612000.0,89000000.0,54418000.0,0.0
Operating Income,61590000.0,43699000.0,44000000.0,19066000.0,19000000.0,14383000.0,17000000.0,43043000.0,43000000.0,40041000.0,40000000.0,29491000.0,0.0
Interest Expense,35344000.0,33991000.0,34000000.0,19653000.0,20000000.0,19648000.0,20000000.0,21096000.0,21000000.0,11952000.0,12000000.0,10969000.0,0.0
Earnings before Tax,-1646000.0,-9786000.0,-10000000.0,-872000.0,-1000000.0,-5477000.0,-5000000.0,21742000.0,22000000.0,26769000.0,27000000.0,-1929000.0,3176000.0
Income Tax Expense,5820000.0,-679000.0,-1000000.0,-25000.0,-0000000.0,-2191000.0,-2000000.0,8697000.0,9000000.0,11620000.0,12000000.0,8195000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net Income,-11124000.0,-11964000.0,-8000000.0,-6620000.0,-3000000.0,-9025000.0,-5000000.0,3475000.0,7000000.0,3904000.0,7000000.0,3545000.0,3518000.0
Preferred Dividends,3658000.0,3658000.0,,3658000.0,,3668000.0,,3658000.0,,3489000.0,,153000.0,0.0
Net Income Com,-11124000.0,-11964000.0,-8000000.0,-6620000.0,-3000000.0,-9025000.0,-5000000.0,3475000.0,7000000.0,3904000.0,7000000.0,3545000.0,3518000.0
EPS,-0.38,-0.46,,-0.25,,-0.35,,0.13,,0.16,,0.16,0.0
EPS Diluted,-0.38,-0.46,,-0.25,,-0.35,,0.13,,0.15,,0.16,0.0
Weighted Average Shs Out,29318511.0,26269931.0,,26348344.0,,26060823.0,,25805679.0,,24631284.0,,22160101.0,0.0
Weighted Average Shs Out (Dil),29318511.0,26269931.0,,26348344.0,,26060823.0,,26233144.0,,25643565.0,,22633702.0,0.0
Dividend per Share,0.124767591369,0.0395128559721,,0.0713137797199,,0.118223434463,,0.149505526291,,0.181722003161,,0.206682936799,0.0
Gross Margin,0.753618398439,0.747254550794,0.46397694524496,0.753672434712,0.45487364620939,0.710747907126,0.43356643356643,0.786811486876,0.49671052631579,0.693007784608,0.44947735191638,0.694004716078,0.0
EBITDA Margin,0.281891350217,0.248564649786,0.18731988472622,0.219053327941,0.2129963898917,0.190599298236,0.18531468531469,0.273769439645,0.26644736842105,0.235844029188,0.22996515679443,0.211991382365,0.0
EBIT Margin,0.162847760215,0.125824210629,0.072046109510086,0.0688482204761,0.061371841155235,0.0503164235913,0.045454545454545,0.141670369456,0.12171052631579,0.139464655788,0.10801393728223,0.12010523615,0.0
Profit Margin,-0.0294125423711,-0.0344484051344,-0.023054755043228,-0.0239051305755,-0.010830324909747,-0.0315723926101,-0.017482517482517,0.0114375051428,0.023026315789474,0.0135978126469,0.024390243902439,0.0144373897851,0.0
Free Cash Flow margin,-0.0497189362411,0.0293951661666,,-0.0379340478391,,-0.00174216637339,,-0.132596066815,,-0.149102244823,,-0.165751008988,0.0
EBITDA,106613000.0,86327000.0,65000000.0,60662000.0,59000000.0,54483000.0,53000000.0,83178000.0,81000000.0,67712000.0,66000000.0,52053000.0,0.0
EBIT,61590000.0,43699000.0,25000000,19066000.0,17000000,14383000.0,13000000,43043000.0,37000000,40041000.0,31000000,29491000.0,0.0
Consolidated Income,-11124000.0,-11964000.0,-8000000.0,-6620000.0,-3000000.0,-9025000.0,-5000000.0,3475000.0,7000000.0,3904000.0,7000000.0,3545000.0,3518000.0
Earnings Before Tax Margin,-0.0043521255612,-0.0281772060051,-0.028818443804035,-0.00314883290964,-0.0036101083032491,-0.0191603317812,-0.017482517482517,0.0715609314573,0.072368421052632,0.0932376656624,0.094076655052265,-0.00785605779843,0.0
Net Profit Margin,-0.0294125423711,-0.0344484051344,-0.023054755043228,-0.0239051305755,-0.010830324909747,-0.0315723926101,-0.017482517482517,0.0114375051428,0.023026315789474,0.0135978126469,0.024390243902439,0.0144373897851,0.0
