date,,2021-01-31_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-31_FY,2015-01-31_FY,2014-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-141412000.0,-128567000.0,30525000.0,55365000.0,24075000.0,10296000.0,4498000.0
,depreciationAndAmortization,33684000.0,37916000.0,36743000.0,35040000.0,36219000.0,19051000.0,22910000.0
,deferredIncomeTax,-17199000.0,-10824000.0,-4319000.0,-27248000.0,-4541000.0,-1903000.0,-5233000.0
,stockBasedCompensation,2160000.0,4604000.0,4010000.0,782000.0,624000.0,5152000.0,1930000.0
,changeInWorkingCapital,10908000.0,-42339000.0,-71666000.0,45229000.0,10525000.0,-12059000.0,13660000.0
,accountsReceivables,-385000.0,-2561000.0,726000.0,-882000.0,-687000.0,-2058000.0,226000.0
,inventory,14565000.0,4024000.0,3242000.0,-13950000.0,-2235000.0,-10273000.0,-2888000.0
,accountsPayables,13439000.0,-11337000.0,471000.0,15322000.0,-2630000.0,3066000.0,15728000.0
,otherWorkingCapital,2684000.0,-41828000.0,511000.0,72177000.0,26948000.0,16423000.0,28482000.0
,otherNonCashItems,589000.0,138913000.0,5605000.0,6987000.0,3646000.0,6465000.0,7142000.0
,netCashProvidedByOperatingActivites,-34811000.0,32653000.0,67503000.0,76354000.0,67200000.0,41374000.0,45293000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3805000.0,-18222000.0,-24710000.0,-38372000.0,-37077000.0,-24143000.0,-27419000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-3805000.0,-18222000.0,-24710000.0,-38372000.0,-37077000.0,-24143000.0,-27419000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-50808000.0,-7799000.0,-2799000.0,-27699000.0,-12775000.0,-104895000.0,-38822000.0
,commonStockIssued,0.0,100000.0,200000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-176000.0,134000.0,232000.0,0.0,-305000.0,0.0,-207000.0
,dividendsPaid,0.0,-50154000.0,0.0,0.0,-70000000.0,0.0,0.0
,otherFinancingActivites,-1235000.0,-1255000.0,32000.0,2227000.0,-1080000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,21496000.0,-59108000.0,-2567000.0,-25472000.0,-44160000.0,-17145000.0,-18029000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-17120000.0,-44677000.0,40226000.0,12510000.0,-14037000.0,86000.0,-155000.0
,cashAtEndOfPeriod,4407000.0,21527000.0,66204000.0,25978000.0,13468000.0,604000.0,518000.0
,cashAtBeginningOfPeriod,21527000.0,66204000.0,25978000.0,13468000.0,27505000.0,518000.0,673000.0
,operatingCashFlow,-34811000.0,32653000.0,67503000.0,76354000.0,67200000.0,41374000.0,45293000.0
,capitalExpenditure,-3805000.0,-18222000.0,-24710000.0,-38372000.0,-37077000.0,-24143000.0,-27419000.0
,freeCashFlow,-38616000.0,14431000.0,42793000.0,37982000.0,30123000.0,17231000.0,17874000.0
