date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY
,revenue,3087868000.0,2808017000.0,2581891000.0,2367149000.0,2316249000.0,2505512000.0,2474433000.0,2277559000.0,2283369000.0,1964462000.0,1579385000.0,1972867000.0,2026640000.0,1504474000.0,1283265000.0,1083862000.0,969079000.0,859643000.0,339340000.0
,costOfRevenue,2303002000.0,2114991000.0,1924951000.0,1716524000.0,1704472000.0,1864601000.0,1844813000.0,1708203000.0,1770664000.0,1514618000.0,1218481000.0,1559433000.0,1644753000.0,1193266000.0,1006467000.0,828447000.0,722825000.0,653998000.0,271596000.0
,grossProfit,784866000.0,693026000.0,656940000.0,650625000.0,611777000.0,640911000.0,629620000.0,569356000.0,512705000.0,449844000.0,360904000.0,413434000.0,381887000.0,311208000.0,276798000.0,255415000.0,246254000.0,205645000.0,67744000.0
,grossProfitRatio,0.25417731586972,0.246802636878623,0.254441415226282,0.274855955413031,0.264124021208428,0.255800411253269,0.254450211422172,0.249985181503531,0.224538828371586,0.228990940013093,0.228509198200565,0.209559995681412,0.188433564915328,0.206855020425743,0.215698238477633,0.235652693793121,0.254111377916558,0.239221397719751,0.199634584782224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259217000.0,235597000.0,256507000.0,249350000.0,221102000.0,199900000.0,179015000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,679000.0,-2430000.0,-556000.0,-1631000.0,-294000.0,-1409000.0,-2813000.0,971000.0,-1585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,529643000.0,441415000.0,382077000.0,369863000.0,352767000.0,358381000.0,344421000.0,312324000.0,297806000.0,259217000.0,232678000.0,245199000.0,249350000.0,217349000.0,199900000.0,179015000.0,0.0,0.0,0.0
,costAndExpenses,2832645000.0,2556406000.0,2307028000.0,2086387000.0,2057239000.0,2222982000.0,2189234000.0,2020527000.0,2068470000.0,1773835000.0,1451159000.0,1804632000.0,1894103000.0,1410615000.0,1206367000.0,1007462000.0,914435000.0,804667000.0,325110000.0
,interestExpense,43673000.0,30868000.0,25001000.0,22197000.0,22343000.0,19644000.0,17105000.0,18719000.0,16484000.0,22038000.0,22658000.0,22646000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,87344000.0,63348000.0,54317000.0,53945000.0,55994000.0,57040000.0,53972000.0,50502000.0,50360000.0,44393000.0,44851000.0,49095000.0,49215000.0,47358000.0,43270000.0,41541000.0,51000.0,51000.0,0.0
,EBITDA,342567000.0,314959000.0,329180000.0,334707000.0,315004000.0,339570000.0,339171000.0,307534000.0,265259000.0,235020000.0,173077000.0,217330000.0,181752000.0,141217000.0,120168000.0,117941000.0,54695000.0,55027000.0,12486000.0
,EBITDARatio,0.110939651565417,0.112164206983077,0.127495699857198,0.141396675916894,0.135997468320548,0.135529185252356,0.13707018941309,0.13502789609402,0.116170010191082,0.119635808684515,0.109585060007535,0.110159478565965,0.0896814431768839,0.0938646995561239,0.0936423887505698,0.108815513414069,0.0564401870229362,0.0640114559183289,0.0367949549124772
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,255223000.0,251611000.0,274863000.0,280762000.0,259010000.0,282530000.0,285199000.0,257032000.0,214899000.0,190627000.0,128226000.0,168235000.0,132537000.0,93859000.0,76898000.0,76400000.0,54644000.0,54976000.0,14230000.0
,operatingIncomeRatio,0.0826534683477402,0.0896045145025831,0.106458018560815,0.118607658411025,0.111823038023978,0.112763379301316,0.115258323826105,0.112854156577283,0.0941148802493158,0.0970377640290319,0.081187297587352,0.0852743748058029,0.065397406544823,0.0623865882693885,0.0599237102235314,0.0704886784479943,0.0563875597345521,0.0639521289651634,0.0419343431366771
,totalOtherIncomeExpensesNet,-64613000.0,-38532000.0,-11536000.0,-45870000.0,-54730000.0,-13547000.0,-104347000.0,-8080000.0,-7156000.0,-17145000.0,-9545000.0,-22402000.0,-17493000.0,802000.0,-7195000.0,-3383000.0,-47655000.0,742000.0,1744000.0
,incomeBeforeTax,146937000.0,182211000.0,238326000.0,212695000.0,181937000.0,249339000.0,163747000.0,230233000.0,191259000.0,151444000.0,87255000.0,123187000.0,86195000.0,63102000.0,44803000.0,49742000.0,7793000.0,35207000.0,-64153000.0
,incomeBeforeTaxRatio,0.0475852594735267,0.0648895644150303,0.0923067627564448,0.089852814503861,0.0785481180995653,0.0995161867115384,0.0661755642605801,0.101087611780858,0.0837617572980977,0.0770918449936929,0.0552461875983373,0.0624406004053999,0.0425309872498322,0.0419428983152916,0.0349132875906379,0.0458932963790593,0.00804165604661746,0.0409553733352101,-0.189052277951317
,incomeTaxExpense,9821000.0,21584000.0,118493000.0,54472000.0,50113000.0,67814000.0,16980000.0,65275000.0,47292000.0,38018000.0,24951000.0,38600000.0,26499000.0,17892000.0,14077000.0,17359000.0,2957000.0,12355000.0,0.0
,netIncome,137116000.0,160239000.0,119594000.0,160214000.0,136150000.0,181188000.0,150328000.0,166508000.0,144003000.0,113426000.0,62304000.0,84587000.0,59696000.0,45210000.0,30726000.0,32383000.0,4836000.0,22852000.0,-41982000.0
