date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1990-06-30_FY,1989-06-30_FY,1988-06-30_FY,1987-06-30_FY,1986-06-30_FY
,revenue,762764000.0,608842000.0,542506000.0,445408000.0,408850000.0,379108000.0,353672000.0,327865000.0,309539000.0,313814000.0,322314000.0,331801000.0,273647000.0,248287000.0,210130000.0,174633000.0,141958000.0,125914000.0,112384000.0,95625000.0,54774000.0,44393000.0,40200000.0,32400000.0,30900000.0,20400000.0,18000000.0,17500000.0,13200000.0,9800000.0,0.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,627064000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.822094383059505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,303473000.0,266777000.0,236715000.0,196172000.0,189140000.0,163712000.0,147165000.0,115076000.0,104782000.0,97013000.0,99906000.0,84965000.0,82027000.0,79070000.0,65419000.0,51385000.0,39955000.0,36173000.0,30448000.0,27941000.0,16214000.0,12639000.0,10900000.0,9200000.0,8600000.0,5200000.0,4500000.0,4200000.0,3300000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,10201000.0,10621000.0,9566000.0,8405000.0,8433000.0,8661000.0,7912000.0,6913000.0,6413000.0,6469000.0,6831000.0,6477000.0,6989000.0,6306000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,66809000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,299024000.0,417000000.0,362000000.0,304000000.0,288000000.0,265000000.0,239000000.0,231000000.0,232000000.0,314000000.0,304000000.0,351000000.0,265000000.0,266000000.0,213000000.0,157000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,27315000.0,42773000.0,35531000.0,29864000.0,29631000.0,29275000.0,26966000.0,28758000.0,35714000.0,44494000.0,53634000.0,57167000.0,90372000.0,121291000.0,95038000.0,59978000.0,39892000.0,38478000.0,47522000.0,65546000.0,37357000.0,25592000.0,22200000.0,19900000.0,18600000.0,13200000.0,9500000.0,9200000.0,9100000.0,9400000.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,10370000.0,8485000.0,6270000.0,2494000.0,2970000.0,2964000.0,2811000.0,2401000.0,2110000.0,2473000.0,3180000.0,3116000.0,14265000.0,14447000.0,13623000.0,15665000.0,16904000.0,19886000.0,11257000.0,10129000.0,3019000.0,2045000.0,1100000.0,1000000.0,900000.0,900000.0,900000.0,800000.0,300000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,338410000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.443662784295011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,328040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.430067491386589,0.425716359909467,0.409597313209439,0.406373482290394,0.393281154457625,0.395997974192051,0.420344273790405,0.383270553429003,0.305593156274331,0.0547776708496116,0.154113690376465,0.115626535182233,0.362722777885378,0.417621542811343,0.439670680055204,0.444841467534773,0.462319841079756,0.446026653112442,0.434456862186788,0.352575163398693,0.394037316975207,0.423715450634109,0.422885572139304,0.447530864197531,0.40453074433657,0.455882352941176,0.466666666666667,0.48,0.5,0.479591836734694,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,12431000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,328040000.0,259194000.0,222209000.0,181002000.0,160793000.0,150126000.0,148664000.0,125661000.0,94593000.0,17190000.0,49673000.0,38365000.0,99258000.0,103690000.0,92388000.0,77684000.0,65630000.0,56161000.0,48826000.0,33715000.0,21583000.0,18810000.0,17000000.0,14500000.0,12500000.0,9300000.0,8400000.0,8400000.0,6600000.0,4700000.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,0.430067491386589,0.425716359909467,0.409597313209439,0.406373482290394,0.393281154457625,0.395997974192051,0.420344273790405,0.383270553429003,0.305593156274331,0.0547776708496116,0.154113690376465,0.115626535182233,0.362722777885378,0.417621542811343,0.439670680055204,0.444841467534773,0.462319841079756,0.446026653112442,0.434456862186788,0.352575163398693,0.394037316975207,0.423715450634109,0.422885572139304,0.447530864197531,0.40453074433657,0.455882352941176,0.466666666666667,0.48,0.5,0.479591836734694,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,61640000.0,48650000.0,40331000.0,64625000.0,39662000.0,33999000.0,35909000.0,30017000.0,19077000.0,-281000.0,7343000.0,3991000.0,33601000.0,35087000.0,31257000.0,25311000.0,21014000.0,18153000.0,16424000.0,12026000.0,7580000.0,6631000.0,6300000.0,5300000.0,5100000.0,3600000.0,3300000.0,3300000.0,2500000.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,266400000.0,210544000.0,181878000.0,116377000.0,121131000.0,116127000.0,112755000.0,95644000.0,75516000.0,17471000.0,42330000.0,34374000.0,65657000.0,68603000.0,61131000.0,52373000.0,44616000.0,38008000.0,32402000.0,21689000.0,14003000.0,12179000.0,10700000.0,9200000.0,7400000.0,5700000.0,5100000.0,5100000.0,4100000.0,2900000.0,1300000.0,2600000.0,2400000.0,1900000.0,1800000.0,1700000.0
,netIncomeRatio,0.349256126403448,0.345810571544013,0.335255278282637,0.261281791076945,0.296272471566589,0.306316405879064,0.318812345902418,0.291717627682125,0.243962796287382,0.0556731057250473,0.131331558666394,0.103598241114403,0.239933198609888,0.276305243528658,0.290919906724409,0.299903225621732,0.314290142154722,0.301856822910876,0.288315062642369,0.226813071895425,0.25565049110892,0.274345054400469,0.266169154228856,0.283950617283951,0.239482200647249,0.279411764705882,0.283333333333333,0.291428571428571,0.310606060606061,0.295918367346939,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,3.01851594391679,2.39,2.18,1.50090928713045,1.58801049779936,1.53724154185881,1.51061151839843,1.30675996065292,1.04987489672045,0.24,0.607683426938306,0.558654823414109,1.2,1.29,1.23,1.113333,0.970667,0.840533,0.733091,0.535273,0.473212,0.496485,0.416729,0.393416,0.320561,0.34147,0.271596,0.271596,0.246881,0.176344,0.080156,0.157107,0.150694,0.118631,0.112219,0.112219
