date,,2020-08-28_FY,2019-08-30_FY,2018-08-31_FY,2017-08-25_FY,2016-08-31_FY,2015-08-31_FY
,revenue,1122377000.0,1211999000.0,1288821000.0,761291000.0,534423000.0,643469000.0
,costOfRevenue,905981000.0,974472000.0,997235000.0,599041000.0,427491000.0,512032000.0
,grossProfit,216396000.0,237527000.0,291586000.0,162250000.0,106932000.0,131437000.0
,grossProfitRatio,0.192801527472498,0.19597953463658,0.226242433976479,0.213124810355042,0.200088693787505,0.204263142435766
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,52056000.0,47920000.0,39824000.0,33263000.0,38116000.0,43741000.0
,GeneralAndAdministrativeExpenses,108457000.0,98178000.0,84541000.0,62717000.0,61496000.0,93263000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,3487000.0,-2161000.0,-72000.0,3457000.0,773000.0,874000.0
,operatingExpenses,175066000.0,148446000.0,124365000.0,131700000.0,0.0,0.0
,costAndExpenses,1081047000.0,1122918000.0,1121600000.0,730741000.0,527103000.0,649036000.0
,interestExpense,-15000000.0,-23864000.0,19144000.0,700000.0,25575000.0,27560000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,36430000.0,29206000.0,26182000.0,33238000.0,31480000.0,50145000.0
,EBITDA,77760000.0,118287000.0,193403000.0,63788000.0,38800000.0,44578000.0
,EBITDARatio,0.0692815337449003,0.0975966151787254,0.150061955849571,0.0837892474756696,0.0726016657217223,0.0692776186576199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,41330000.0,89081000.0,167221000.0,30550000.0,7320000.0,-5567000.0
,operatingIncomeRatio,0.0368236341265012,0.0734992355604254,0.129747265136121,0.0401292015799477,0.0136970152856445,-0.00865154343099668
,totalOtherIncomeExpensesNet,-16970000.0,987000.0,-10299000.0,487000.0,739000.0,-6675000.0
,incomeBeforeTax,9360000.0,66204000.0,137778000.0,2119000.0,-17516000.0,-39802000.0
,incomeBeforeTaxRatio,0.00833944387670097,0.0546238074453857,0.106902354943006,0.00278342972660914,-0.0327755354840641,-0.0618553496749649
,incomeTaxExpense,10503000.0,14872000.0,18315000.0,9914000.0,2444000.0,6649000.0
,netIncome,-1143000.0,51332000.0,119463000.0,-7795000.0,-19960000.0,-46451000.0
,netIncomeRatio,-0.00101837439648175,0.0423531702583913,0.0926916926400175,-0.0102391858041143,-0.037348691953752,-0.0721884037925681
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.04764,2.23581166427109,5.42,-0.49382,-0.96,-2.243221
,EPSDiluted,-0.04764,2.18731890233509,5.17,-0.49382,-0.96,-2.243221
,weightedAverageShsOut,23994000.0,22959000.0,22051000.0,15785000.0,20707277.0,20707277.0
,weightedAverageShsOutDil,23994000.0,23468000.0,23119000.0,15785000.0,20707277.0,20707277.0
