date,,2018-12-31_FY,2017-12-31_FY
,revenue,581644000.0,267312000.0
,costOfRevenue,0.0,0.0
,grossProfit,581644000.0,267312000.0
,grossProfitRatio,1.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,29000.0,31000.0
,GeneralAndAdministrativeExpenses,122472000.0,466067000.0
,SellingAndMarketingExpenses,0.0,0.0
,otherExpenses,125815000.0,461097000.0
,operatingExpenses,248316000.0,927195000.0
,costAndExpenses,450165000.0,616185000.0
,interestExpense,25152000.0,2861000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,224695000.0,111655000.0
,EBITDA,356174000.0,-237218000.0
,EBITDARatio,0.612357386992731,-0.887419943736159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,131479000.0,-348873000.0
,operatingIncomeRatio,0.226047204131737,-1.30511537080266
,totalOtherIncomeExpensesNet,100454000.0,-45118000.0
,incomeBeforeTax,231933000.0,-393991000.0
,incomeBeforeTaxRatio,0.39875422079485,-1.47389941341952
,incomeTaxExpense,66475000.0,57943000.0
,netIncome,165458000.0,-451934000.0
,netIncomeRatio,0.284466099538549,-1.69066110013767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.776331594159378,-2.12243
,EPSDiluted,0.776058498238768,-2.12243
,weightedAverageShsOut,213128000.0,212932000.0
,weightedAverageShsOutDil,213203000.0,212932000.0
