date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,revenue,714237000.0,769180000.0,758961000.0,718967000.0,683341000.0,662408000.0
,costOfRevenue,267587000.0,274836000.0,274078000.0,266136000.0,250040000.0,244754000.0
,grossProfit,446650000.0,494344000.0,484883000.0,452831000.0,433301000.0,417654000.0
,grossProfitRatio,0.625352649050665,0.642689617514756,0.638877359969748,0.629835583552514,0.634091910188325,0.630508689508581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,64917000.0,68556000.0,57563000.0,61577000.0,53510000.0,42056000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,300117000.0,316903000.0,315788000.0,327614000.0,322960000.0,336680000.0
,costAndExpenses,567704000.0,591739000.0,589866000.0,593750000.0,573000000.0,581434000.0
,interestExpense,134931000.0,137356000.0,136630000.0,132574000.0,150942000.0,165801000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,235200000.0,248347000.0,258225000.0,266037000.0,269450000.0,294624000.0
,EBITDA,381733000.0,425788000.0,427320000.0,391254000.0,379791000.0,375598000.0
,EBITDARatio,0.534462650352754,0.553560935021711,0.563032883112571,0.544189093518896,0.555785471675196,0.567019118126593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,146533000.0,177441000.0,169095000.0,125217000.0,110341000.0,80974000.0
,operatingIncomeRatio,0.205160191925089,0.230688525442679,0.222798009383881,0.174162374629155,0.16147282250004,0.122241881136701
,totalOtherIncomeExpensesNet,-17007000.0,-55537000.0,-4694000.0,129642000.0,50485000.0,110427000.0
,incomeBeforeTax,-12628000.0,-29291000.0,22132000.0,112353000.0,3854000.0,23709000.0
,incomeBeforeTaxRatio,-0.0176804058036758,-0.03808081333368,0.0291609186769808,0.1562700374287,0.00563993672266116,0.0357921401915436
,incomeTaxExpense,1493000.0,312000.0,3139000.0,5177000.0,1785000.0,2566000.0
,netIncome,-24704000.0,-36899000.0,9147000.0,86381000.0,-9934000.0,-4419000.0
,netIncomeRatio,-0.0345879588987969,-0.0479718661431654,0.0120520026720741,0.120145987228899,-0.014537397873097,-0.00667111508315117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.106695199340117,-0.159364724759188,0.0381878104993175,0.365443907397789,-0.05,-0.02
,EPSDiluted,-0.106695199340117,-0.159340416093062,0.0381831968253087,0.365399468534783,-0.05,-0.02
,weightedAverageShsOut,221461146.0,231538065.0,239526694.0,236372801.0,218053062.0,212106718.0
,weightedAverageShsOutDil,221461146.0,231573388.0,239555636.0,236401548.0,218053062.0,212106718.0
