date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,58158000000.0,76559000000.0,101127000000.0,93392000000.0,94571000000.0,96114000000.0,90762000000.0,86623000000.0,81698000000.0,68735000000.0,64306000000.0,68281000000.0,60909000000.0,66387000000.0,61530000000.0,54845000000.0,52457000000.0,50485000000.0,54069000000.0,58198000000.0,51321000000.0,57993000000.0,56154000000.0,45800000000.0,22681000000.0,19515000000.0,21924000000.0,25438000000.0,30184000000.0,29314000000.0,27595000000.0,20276000000.0,16962000000.0,15355000000.0,16341000000.0,13636000000.0
,costOfRevenue,63843000000.0,72093000000.0,81490000000.0,76066000000.0,80790000000.0,82088000000.0,76752000000.0,73268000000.0,68644000000.0,55867000000.0,51843000000.0,56540000000.0,50352000000.0,53402000000.0,50437000000.0,46208000000.0,45025000000.0,44304000000.0,45499000000.0,48778000000.0,43712000000.0,51320000000.0,50546000000.0,40644000000.0,21327000000.0,18613000000.0,20773000000.0,22722000000.0,27183000000.0,26534000000.0,25387000000.0,19068000000.0,15947000000.0,-504000000.0,13885000000.0,11781000000.0
,grossProfit,-5685000000.0,4466000000.0,19637000000.0,17326000000.0,13781000000.0,14026000000.0,14010000000.0,13355000000.0,13054000000.0,12868000000.0,12463000000.0,11741000000.0,10557000000.0,12985000000.0,11093000000.0,8637000000.0,7432000000.0,6181000000.0,8570000000.0,9420000000.0,7609000000.0,6673000000.0,5608000000.0,5156000000.0,1354000000.0,902000000.0,1151000000.0,2716000000.0,3001000000.0,2780000000.0,2208000000.0,1208000000.0,1015000000.0,15859000000.0,2456000000.0,1855000000.0
,grossProfitRatio,-0.0977509542969153,0.0583340952729268,0.194181573664798,0.185519102278568,0.145721204174641,0.145930873754084,0.154359754082105,0.154173833739307,0.159783593233616,0.187211755292064,0.193807731782415,0.171951201651997,0.17332413928976,0.195595523219908,0.180286039330408,0.157480171392105,0.14167794574604,0.122432405665049,0.158501174425271,0.161861232344754,0.148262894331755,0.115065611366889,0.0998682195391245,0.112576419213974,0.0596975441999912,0.0462208557519857,0.0524995438788542,0.106769400110072,0.0994235356480254,0.0948352323122058,0.0800144953795977,0.0595778260011837,0.0598396415517038,1.03282318463041,0.150296799461477,0.136036960985626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,2476000000.0,3219000000.0,3269000000.0,3179000000.0,4627000000.0,3331000000.0,3047000000.0,3071000000.0,3298000000.0,3918000000.0,4121000000.0,6506000000.0,3768000000.0,3850000000.0,3257000000.0,2205000000.0,1879000000.0,1651000000.0,1639000000.0,1936000000.0,1441000000.0,1341000000.0,1895000000.0,1924000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,4817000000.0,3909000000.0,4567000000.0,4094000000.0,3616000000.0,3525000000.0,3767000000.0,3956000000.0,3717000000.0,3408000000.0,3644000000.0,3364000000.0,3084000000.0,3531000000.0,4171000000.0,4228000000.0,3657000000.0,3224000000.0,2981000000.0,2767000000.0,2651000000.0,2253000000.0,2146000000.0,2187000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15146000000.0,1363000000.0,886000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,447000000.0,438000000.0,92000000.0,129000000.0,40000000.0,-13000000.0,-3000000.0,56000000.0,62000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,7293000000.0,7128000000.0,7836000000.0,7273000000.0,8243000000.0,6856000000.0,6814000000.0,7027000000.0,7015000000.0,7048000000.0,7498000000.0,9621000000.0,6611000000.0,7193000000.0,7999000000.0,6345000000.0,5536000000.0,4826000000.0,4658000000.0,4568000000.0,3994000000.0,3503000000.0,4041000000.0,5511000000.0,0.0,600000000.0,0.0,1025000000.0,961000000.0,826000000.0,678000000.0,627000000.0,567000000.0,15650000000.0,1826000000.0,1272000000.0
,costAndExpenses,71136000000.0,79221000000.0,89326000000.0,83339000000.0,89033000000.0,88944000000.0,83566000000.0,80295000000.0,75659000000.0,62915000000.0,59341000000.0,66161000000.0,56963000000.0,60595000000.0,58436000000.0,52553000000.0,50561000000.0,49130000000.0,50157000000.0,53346000000.0,47706000000.0,54823000000.0,54587000000.0,46155000000.0,21327000000.0,19213000000.0,20773000000.0,23747000000.0,28144000000.0,27360000000.0,26065000000.0,19695000000.0,16514000000.0,15146000000.0,15711000000.0,13053000000.0
,interestExpense,2156000000.0,722000000.0,475000000.0,360000000.0,306000000.0,275000000.0,333000000.0,386000000.0,463000000.0,498000000.0,516000000.0,339000000.0,202000000.0,196000000.0,240000000.0,294000000.0,335000000.0,358000000.0,730000000.0,650000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
