Date,2018-08-31,2017-08-31
Cash and cash equivalents,5711000.0,2882000.0
Short-term investments,0.0,0.0
Cash and short-term investments,5711000.0,2882000.0
Receivables,525000.0,698000.0
Inventories,384000.0,269000.0
Total current assets,7282000.0,4589000.0
Property Plant & Equipment Net,23195000.0,17000000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,1072000.0,1012000.0
Total non-current assets,24787000.0,18571000.0
Total assets,32069000.0,23160000.0
Payables,2890000.0,2700000.0
Short-term debt,1010000.0,666000.0
Total current liabilities,4802000.0,3897000.0
Long-term debt,3443000.0,2878000.0
Total debt,4453000.0,3544000.0
Deferred revenue,0.0,0.0
Tax Liabilities,395000.0,335000.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,5762000.0,4605000.0
Total liabilities,10564000.0,8502000.0
Other comprehensive income,0.0,0.0
Retained earnings (deficit),1275000.0,-467000.0
Total shareholders equity,21505000.0,14658000.0
Investments,0.0,0.0
Net Debt,-1258000.0,662000.0
Other Assets,662000.0,740000.0
Other Liabilities,902000.0,531000.0
