date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,revenue,64129000000.0,107293000000.0,111461000000.0,102354000000.0,84279000000.0,98975000000.0,161212000000.0,171596000000.0,179460000000.0,197771000000.0
,costOfRevenue,59102000000.0,96870000000.0,99286000000.0,80727000000.0,63636000000.0,74477000000.0,136743000000.0,149192000000.0,155396000000.0,176909000000.0
,grossProfit,5027000000.0,10423000000.0,12175000000.0,21627000000.0,20643000000.0,24498000000.0,24469000000.0,22404000000.0,24064000000.0,20862000000.0
,grossProfitRatio,0.0783888724290103,0.0971452005256634,0.109231031481864,0.211296090040448,0.244936461040117,0.24751704976004,0.151781505098876,0.130562483973985,0.134091162376017,0.105485637429148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1544000000.0,1681000000.0,1677000000.0,1695000000.0,1638000000.0,1670000000.0,1663000000.0,1478000000.0,1722000000.0,1409000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,66000000.0,-23000000.0,-23000000.0,-22000000.0,-21000000.0,-21000000.0,-24000000.0,-24000000.0,-25000000.0,0.0
,operatingExpenses,6519000000.0,7088000000.0,6966000000.0,19789000000.0,19545000000.0,19950000000.0,21039000000.0,19738000000.0,19378000000.0,16626000000.0
,costAndExpenses,65621000000.0,103958000000.0,106252000000.0,100516000000.0,83181000000.0,94427000000.0,157782000000.0,168930000000.0,174774000000.0,193535000000.0
,interestExpense,521000000.0,458000000.0,504000000.0,438000000.0,338000000.0,310000000.0,267000000.0,275000000.0,246000000.0,17000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1395000000.0,1341000000.0,1356000000.0,1318000000.0,1168000000.0,1078000000.0,995000000.0,947000000.0,913000000.0,908000000.0
,EBITDA,-97000000.0,4676000000.0,6565000000.0,3156000000.0,2266000000.0,5626000000.0,4425000000.0,3613000000.0,5599000000.0,5144000000.0
