date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1410000000.0,2211000000.0,2145000000.0,2985000000.0,1922000000.0,1979000000.0,1793000000.0,1861000000.0,1217000000.0
,depreciationAndAmortization,811000000.0,884000000.0,903000000.0,914000000.0,929000000.0,925000000.0,983000000.0,997000000.0,598000000.0
,deferredIncomeTax,-86000000.0,-71000000.0,-115000000.0,-206000000.0,-80000000.0,-100000000.0,-382000000.0,-311000000.0,-155000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,635000000.0,1160000000.0,-826000000.0,1806000000.0,-535000000.0,-754000000.0,-1072000000.0,1404000000.0,63000000.0
,accountsReceivables,219000000.0,200000000.0,-123000000.0,-231000000.0,-170000000.0,5000000.0,-205000000.0,-231000000.0,108000000.0
,inventory,371000000.0,-60000000.0,-242000000.0,-202000000.0,25000000.0,-20000000.0,-152000000.0,-92000000.0,166000000.0
,accountsPayables,76000000.0,147000000.0,23000000.0,388000000.0,0.0,-120000000.0,49000000.0,86000000.0,-220000000.0
,otherWorkingCapital,-65000000.0,3596000000.0,2436000000.0,3262000000.0,1456000000.0,1991000000.0,2745000000.0,3817000000.0,2413000000.0
,otherNonCashItems,50000000.0,138000000.0,-300000000.0,-202000000.0,-278000000.0,-516000000.0,-399000000.0,-302000000.0,-314000000.0
,netCashProvidedByOperatingActivites,2944000000.0,3451000000.0,2658000000.0,2666000000.0,2552000000.0,2371000000.0,1878000000.0,2285000000.0,1664000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,1208000000.0,-1216000000.0,0.0,607000000.0,0.0,-71000000.0,284000000.0,768000000.0,-6933000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-75000000.0,-47000000.0,-78000000.0,-6000000.0,7000000.0,-35000000.0,-31000000.0,-68000000.0,-46000000.0
,netCashUsedForInvestingActivites,397000000.0,-1866000000.0,-398000000.0,-217000000.0,-529000000.0,-575000000.0,143000000.0,-202000000.0,-6972000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-504000000.0,-507000000.0,-574000000.0,-1554000000.0,-653000000.0,-1027000000.0,-582000000.0,-1096000000.0,-1324000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-1608000000.0,-1029000000.0,-1271000000.0,-850000000.0,-730000000.0,-682000000.0,0.0,0.0,0.0
,dividendsPaid,-1175000000.0,-1201000000.0,-1149000000.0,-1068000000.0,-1037000000.0,-1026000000.0,-929000000.0,-796000000.0,-512000000.0
,otherFinancingActivites,-43000000.0,-55000000.0,-26000000.0,-36000000.0,-5000000.0,-9000000.0,-23000000.0,26000000.0,-94000000.0
,netCashUsedProvidedByFinancingActivities,-3258000000.0,-1494000000.0,-2581000000.0,-2442000000.0,-1720000000.0,-2267000000.0,-2130000000.0,-1736000000.0,5480000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-15000000.0,-4000000.0,43000000.0,11000000.0,-28000000.0,-42000000.0,-25000000.0,-9000000.0,20000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,68000000.0,87000000.0,-278000000.0,18000000.0,275000000.0,-513000000.0,-134000000.0,338000000.0,192000000.0
,cashAtEndOfPeriod,438000000.0,370000000.0,283000000.0,561000000.0,543000000.0,268000000.0,781000000.0,915000000.0,577000000.0
,cashAtBeginningOfPeriod,370000000.0,283000000.0,561000000.0,543000000.0,268000000.0,781000000.0,915000000.0,577000000.0,385000000.0
,operatingCashFlow,2944000000.0,3451000000.0,2658000000.0,2666000000.0,2552000000.0,2371000000.0,1878000000.0,2285000000.0,1664000000.0
,capitalExpenditure,-389000000.0,-587000000.0,-565000000.0,-520000000.0,-497000000.0,-506000000.0,-632000000.0,-614000000.0,-593000000.0
,freeCashFlow,2555000000.0,2864000000.0,2093000000.0,2146000000.0,2055000000.0,1865000000.0,1246000000.0,1671000000.0,1071000000.0
