date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,121015000.0,293432000.0,399392000.0,299007000.0,269346000.0,324565000.0,294052926.0,304753771.0,247495327.0,108246896.0,119678372.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,58101000.0,67768000.0,60117000.0,70463000.0,64270000.0,61612000.0,82143674.0,61038260.0,51090424.0,26448942.0,19527869.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,149738.0,0.0,0.0,0.0,0.0
,operatingExpenses,64000000.0,48000000.0,61000000.0,69000000.0,78000000.0,84000000.0,113000000.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,227474000.0,204353000.0,194291000.0,146118000.0,120827000.0,113303000.0,77574167.0,48744659.0,36440373.0,35836124.0,48874327.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,39079000.0,38511000.0,41959000.0,40332000.0,39447000.0,39061000.0,28447437.0,21514572.0,3640619.0,1043732.0,408489.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213977436.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702132201015488,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192462864.0,0.0,0.0,0.0
,operatingIncomeRatio,-0.15904639920671,0.475909239619401,0.571666432978127,0.446782182356935,0.44567210948,0.495096513795388,0.422478458860838,0.631535627495156,0.695117281951752,0.676618274578515,0.765756071615012
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,-19247000.0,139647000.0,228319000.0,133591000.0,120040000.0,160691000.0,124231027.0,192462864.0,172038279.0,73241828.0,91644440.0
,incomeBeforeTaxRatio,-0.15904639920671,0.475909239619401,0.571666432978127,0.446782182356935,0.44567210948,0.495096513795388,0.422478458860838,0.631535627495156,0.695117281951752,0.676618274578515,0.765756071615012
,incomeTaxExpense,-9789000.0,2646000.0,6643000.0,7712000.0,6320000.0,14557000.0,26604776.0,3729778.0,2583999.0,1510149.0,599780.0
,netIncome,-14445000.0,122645000.0,180015000.0,95276000.0,66727000.0,73821000.0,31558647.0,189831236.0,169503364.0,71716054.0,91044660.0
,netIncomeRatio,-0.119365367929595,0.417967365522506,0.450722598349491,0.318641369600043,0.247737111373475,0.227445966139294,0.107323016401476,0.622900367654515,0.684875007761258,0.662522960473619,0.760744472693863
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.136976755077853,1.16,1.85,1.16,1.08,1.43,0.9,1.953971,1.744732,0.738188,0.937141
,EPSDiluted,-0.136976755077853,1.15,1.84,1.13,1.06,1.42,0.86,1.953971,1.744732,0.738188,0.937141
,weightedAverageShsOut,105455849.0,105455849.0,97226027.0,81902524.0,61998089.0,51702188.0,49296417.0,97151518.0,97151518.0,97151518.0,97151518.0
,weightedAverageShsOutDil,105455849.0,106399783.0,97652065.0,109704880.0,107638788.0,51870808.0,97583310.0,97151518.0,97151518.0,97151518.0,97151518.0
