date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-672132000.0,108923000.0,-175750000.0,199835000.0,6143000.0,112554000.0,83040000.0,42579000.0,20403000.0,-34892000.0,6210000.0
,depreciationAndAmortization,95256000.0,164044000.0,158832000.0,143010000.0,135103000.0,63550000.0,32667000.0,17090000.0,7982000.0,4288000.0,976000.0
,deferredIncomeTax,53108000.0,1780000.0,-9714000.0,31372000.0,28647000.0,43613000.0,7215000.0,10083000.0,2847000.0,-6442000.0,-145000.0
,stockBasedCompensation,22504000.0,17307000.0,22001000.0,23467000.0,28345000.0,20472000.0,10058000.0,5249000.0,2267000.0,17320000.0,0.0
,changeInWorkingCapital,163124000.0,44595000.0,-60121000.0,9099000.0,80529000.0,-103676000.0,77773000.0,-38694000.0,-2807000.0,72187000.0,-1661000.0
,accountsReceivables,15340000.0,-19060000.0,-16821000.0,-28570000.0,-15718000.0,-24954000.0,-15110000.0,-21242000.0,-16733000.0,-5051000.0,-2174000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,77993000.0,-21354000.0,26054000.0,-10113000.0,22693000.0,6868000.0,2793000.0,-848000.0,485000.0,0.0,541000.0
,otherWorkingCapital,50484000.0,78635000.0,34040000.0,94161000.0,85062000.0,4533000.0,108209000.0,30436000.0,69130000.0,71937000.0,-250000.0
,otherNonCashItems,826067000.0,16022000.0,44903000.0,21267000.0,15039000.0,8324000.0,3686000.0,2285000.0,2504000.0,-35060000.0,0.0
,netCashProvidedByOperatingActivites,658807000.0,332904000.0,414080000.0,399577000.0,361478000.0,240403000.0,115286000.0,65562000.0,33898000.0,-20666000.0,8195000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-8349000.0,-7618000.0,-18383000.0,-41057000.0,-40757000.0,-26622000.0,-23177000.0,-8092000.0,-53159000.0,-9558000.0,-1495000.0
,acquisitionsNet,0.0,-45000000.0,0.0,-18000000.0,-310000000.0,-575000000.0,-739000000.0,-164000000.0,-53000000.0,-206000000.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-23177000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-13365000.0,13752000.0,-1119000.0,-3101000.0,-2470000.0,-5099000.0,-913000.0,-1926000.0,-417000.0,-9395000.0,0.0
,netCashUsedForInvestingActivites,-281839000.0,-201141000.0,-360964000.0,-336526000.0,-660365000.0,-884471000.0,-860774000.0,-242978000.0,-524644000.0,-225332000.0,-1495000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1051076000.0,-129557000.0,-61658000.0,-57305000.0,-1935924000.0,-1343932000.0,-291695000.0,-68180000.0,-6000000.0,-15047000.0,-275000.0
,commonStockIssued,184000.0,0.0,0.0,0.0,685097000.0,331308000.0,374431000.0,-205000.0,311841000.0,68059000.0,0.0
,commonStockRepurchased,0.0,-1649000.0,-3407000.0,-3455000.0,-8846000.0,-7762000.0,-4099000.0,-205000.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-375000.0,-2297000.0
,otherFinancingActivites,-22357000.0,-8643000.0,-5672000.0,-2769000.0,-49332000.0,-41774000.0,-17764000.0,-10529000.0,-3837000.0,-36420000.0,0.0
,netCashUsedProvidedByFinancingActivities,-51499000.0,-61627000.0,-67330000.0,-60074000.0,358841000.0,563602000.0,837972000.0,132586000.0,479027000.0,298740000.0,-2572000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,4087000.0,3546000.0,-2566000.0,7250000.0,-14106000.0,-2359000.0,-3013000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,254505000.0,73682000.0,-16780000.0,10227000.0,45848000.0,-82825000.0,89471000.0,-44830000.0,-11719000.0,52504000.0,4125000.0
,cashAtEndOfPeriod,378697000.0,124192000.0,50510000.0,67290000.0,57063000.0,11215000.0,94040000.0,4569000.0,49399000.0,61118000.0,8614000.0
,cashAtBeginningOfPeriod,124192000.0,50510000.0,67290000.0,57063000.0,11215000.0,94040000.0,4569000.0,49399000.0,61118000.0,8614000.0,4489000.0
,operatingCashFlow,658807000.0,332904000.0,414080000.0,399577000.0,361478000.0,240403000.0,115286000.0,65562000.0,33898000.0,-20666000.0,8195000.0
,capitalExpenditure,-216615000.0,-7618000.0,-18383000.0,-41057000.0,-40757000.0,-26622000.0,-23177000.0,-8092000.0,-53159000.0,-9558000.0,-1495000.0
,freeCashFlow,442192000.0,48222000.0,72618000.0,125400000.0,54006000.0,-35644000.0,2042000.0,-3379000.0,6303000.0,-30224000.0,6700000.0
