date,,2015-02-28_FY,2013-02-28_FY,2012-02-29_FY,2011-02-28_FY,2010-02-28_FY,2009-02-28_FY,2008-02-29_FY,2007-02-28_FY,2006-02-28_FY,2005-02-28_FY,2004-02-29_FY,2003-02-28_FY
,revenue,45713200.0,45708820.0,79598010.0,96226920.0,120405530.0,274200000.0,350900000.0,220100000.0,141300000.0,44700000.0,18600000.0,9300000.0
,costOfRevenue,12739380.0,13878260.0,13763270.0,12503590.0,11077590.0,12900000.0,11500000.0,7500000.0,6000000.0,3000000.0,1600000.0,700000.0
,grossProfit,32973820.0,31830560.0,65834740.0,83723330.0,109327940.0,261300000.0,338900000.0,212700000.0,135200000.0,41800000.0,17100000.0,8600000.0
,grossProfitRatio,0.721319443836791,0.696376760546433,0.827090275246831,0.870061413167958,0.907997664226884,0.952954048140044,0.965802222855514,0.96637891867333,0.956829440905874,0.935123042505593,0.919354838709677,0.924731182795699
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0,0.0,200000.0,0.0,0.0,0.0
,costAndExpenses,12739380.0,13878260.0,13763270.0,12503590.0,11077590.0,12900000.0,11500000.0,7500000.0,6200000.0,3000000.0,1600000.0,700000.0
,interestExpense,10419120.0,8063040.0,42230350.0,30736570.0,31644000.0,13400000.0,398500000.0,21700000.0,-55100000.0,-48400000.0,6400000.0,9300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDA,53812060.0,47956640.0,150295440.0,145196480.0,172615940.0,288100000.0,1136400000.0,256100000.0,24900000.0,-55000000.0,29900000.0,27200000.0
,EBITDARatio,1.177167,1.049177,1.888181,1.508897,1.433621,1.050693,3.238529,1.163562,0.176221,-1.230425,1.607527,2.924731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,32973820.0,31830560.0,65834740.0,83723330.0,109327940.0,261300000.0,339400000.0,212700000.0,135100000.0,41800000.0,17100000.0,8600000.0
,operatingIncomeRatio,0.721319443836791,0.696376760546433,0.827090275246831,0.870061413167958,0.907997664226884,0.952954048140044,0.967227130236535,0.96637891867333,0.956121726822364,0.935123042505593,0.919354838709677,0.924731182795699
,totalOtherIncomeExpensesNet,-10419120.0,-8063040.0,-42230350.0,-30736580.0,-31644000.0,-13400000.0,-398500000.0,-21700000.0,55100000.0,48400000.0,-6400000.0,-9300000.0
,incomeBeforeTax,43392940.0,39893600.0,108065090.0,114459910.0,140971940.0,274700000.0,737900000.0,234400000.0,80000000.0,-6600000.0,23500000.0,17900000.0
