Date,2018-12-31,2017-12-31
Cash and cash equivalents,114504000.0,8242000.0
Short-term investments,0.0,22371000.0
Cash and short-term investments,114504000.0,30613000.0
Receivables,0.0,0.0
Inventories,0.0,0.0
Total current assets,117225000.0,31982000.0
Property Plant & Equipment Net,4143000.0,3790000.0
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,4459000.0,4130000.0
Total assets,121684000.0,36112000.0
Payables,1307000.0,609000.0
Short-term debt,0.0,51000.0
Total current liabilities,4562000.0,2744000.0
Long-term debt,100000.0,144000.0
Total debt,100000.0,195000.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,486000.0,572000.0
Total liabilities,5048000.0,3316000.0
Other comprehensive income,-4000.0,-14000.0
Retained earnings (deficit),-96622000.0,-58682000.0
Total shareholders equity,-93033000.0,-56566000.0
Investments,0.0,22371000.0
Net Debt,-114404000.0,-30418000.0
Other Assets,2721000.0,1369000.0
Other Liabilities,3255000.0,2084000.0
