Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,49510000.0,10206000.0,4027000.0,43808000.0
Short-term investments,86740000.0,49295000.0,26881000.0,0.0
Cash and short-term investments,136250000.0,59501000.0,30908000.0,43808000.0
Receivables,0.0,786000.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,139500000.0,63861000.0,31540000.0,43885000.0
Property, Plant & Equipment Net,146000.0,28000.0,27000.0,0.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0
Long-term investments,0.0,2978000.0,10420000.0,0.0
Tax assets,0.0,0.0,0.0,0.0
Total non-current assets,428000.0,3006000.0,10513000.0,0.0
Total assets,139928000.0,66867000.0,42053000.0,43885000.0
Payables,3290000.0,2462000.0,1526000.0,637000.0
Short-term debt,0.0,0.0,0.0,0.0
Total current liabilities,9544000.0,7817000.0,3903000.0,770000.0
Long-term debt,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0
Deferred revenue,0.0,8531000.0,10327000.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,7000.0,6757000.0,8588000.0,65000.0
Total liabilities,9551000.0,14574000.0,12491000.0,835000.0
Other comprehensive income,-96000.0,-51000.0,-26000.0,0.0
Retained earnings (deficit),-110636000.0,-59191000.0,-30115000.0,-16047000.0
Total shareholders equity,130377000.0,-57034000.0,-29441000.0,-15953000.0
Investments,86740000.0,52273000.0,37301000.0,0.0
Net Debt,-136250000.0,-59501000.0,-30908000.0,-43808000.0
Other Assets,3250000.0,3574000.0,632000.0,77000.0
Other Liabilities,6254000.0,5355000.0,2377000.0,133000.0
