date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,1992600000.0,1843400000.0,1602400000.0,1453400000.0,1314900000.0,1275300000.0,1242100000.0,1221800000.0,1242500000.0,1231200000.0,998200000.0,885900000.0,940000000.0,672000000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,769900000.0,737700000.0,661900000.0,613700000.0,551700000.0,540700000.0,529300000.0,479300000.0,441400000.0,429000000.0,380400000.0,350500000.0,344600000.0,215600000.0
,SellingAndMarketingExpenses,13300000.0,16400000.0,15800000.0,12600000.0,11200000.0,12000000.0,13000000.0,15400000.0,17700000.0,0.0,21200000.0,21000000.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,1660000000.0,1346000000.0,1188000000.0,1061000000.0,1031000000.0,1001000000.0,999000000.0,986000000.0,1064000000.0,949000000.0,905000000.0,992000000.0,668000000.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,239200000.0,468800000.0,320300000.0,201900000.0,155100000.0,136800000.0,118700000.0,115800000.0,106200000.0,128500000.0,129800000.0,190000000.0,280800000.0,220400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,40800000.0,32500000.0,21800000.0,30000000.0,23600000.0,23900000.0,24800000.0,26200000.0,53100000.0,25900000.0,21700000.0,20600000.0,61300000.0,25500000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.174947305028606,0.353911250949333,0.359648027958063,0.321384340167882,0.311430527036277,0.306202462165765,0.306416552612511,0.277541332460304,0.291911468812877,0.240090968161144,0.127229012222,0.16288520149001,0.220744680851064,0.334375
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,348600000.0,652400000.0,576300000.0,467100000.0,409500000.0,390500000.0,380600000.0,339100000.0,362700000.0,295600000.0,127000000.0,144300000.0,207500000.0,224700000.0
,incomeBeforeTaxRatio,0.174947305028606,0.353911250949333,0.359648027958063,0.321384340167882,0.311430527036277,0.306202462165765,0.306416552612511,0.277541332460304,0.291911468812877,0.240090968161144,0.127229012222,0.16288520149001,0.220744680851064,0.334375
,incomeTaxExpense,129000000.0,132000000.0,108200000.0,129900000.0,128500000.0,130400000.0,128900000.0,106700000.0,117400000.0,96800000.0,41300000.0,43100000.0,68000000.0,75500000.0
,netIncome,219600000.0,520400000.0,468100000.0,337200000.0,281000000.0,260100000.0,251700000.0,232400000.0,245300000.0,198800000.0,85700000.0,101200000.0,139500000.0,149200000.0
,netIncomeRatio,0.110207768744354,0.282304437452533,0.292124313529705,0.232007706068529,0.213704464217811,0.203952011291461,0.202640689155463,0.190211163856605,0.197424547283702,0.16146848602989,0.0858545381687037,0.11423411220228,0.148404255319149,0.22202380952381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.555180722891566,1.28,1.3,0.97,0.925931231693726,0.86,0.84,0.74,0.72,0.57,0.24,0.3,0.423625873064075,0.52
,EPSDiluted,0.555180722891566,1.27,1.29,0.97,0.924372512253693,0.86,0.84,0.74,0.72,0.57,0.24,0.3,0.421832476564862,0.52
,weightedAverageShsOut,395546875.0,395546875.0,349230769.0,333092784.0,303478261.0,302441860.0,299642857.0,314054054.0,340694444.0,348740000.0,357083333.0,337333333.0,329300000.0,286923077.0
,weightedAverageShsOutDil,395546875.0,397150000.0,351660000.0,333092784.0,303990000.0,302441860.0,299642857.0,314054054.0,340694444.0,348740000.0,357083333.0,337333333.0,330700000.0,286923077.0
