date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY
,revenue,5252279000.0,2975851000.0,2788322000.0,2566863000.0,2221427000.0,2018100000.0,2004908000.0,2128700000.0,2099900000.0,2316200000.0,2362900000.0,1966700000.0,2208800000.0,2370496000.0,2066569000.0,1796715000.0,1482626000.0,1268470000.0,1100288000.0
,costOfRevenue,2916544000.0,1853470000.0,1751311000.0,1657622000.0,1401386000.0,1337053000.0,1299451000.0,1400800000.0,1392600000.0,1539600000.0,1526400000.0,1339900000.0,1517600000.0,1521378000.0,1357044000.0,1222605000.0,979039000.0,859548000.0,735784000.0
,grossProfit,2335735000.0,1122381000.0,1037011000.0,909241000.0,820041000.0,681047000.0,705457000.0,727900000.0,707300000.0,776600000.0,836500000.0,626800000.0,691200000.0,849118000.0,709525000.0,574110000.0,503587000.0,408922000.0,364504000.0
,grossProfitRatio,0.444708858763977,0.377163036724621,0.371912211000021,0.354222644527581,0.369150550524505,0.33746940191269,0.351865023232986,0.341945788509419,0.336825563122053,0.335290562127623,0.354014135172881,0.318706462602329,0.312930097790656,0.35820267150841,0.343334773723984,0.319533147995091,0.33965882157739,0.32237419883797,0.331280537459283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,226023000.0,177593000.0,161230000.0,143760000.0,130525000.0,113624000.0,108306000.0,139400000.0,153900000.0,162300000.0,156400000.0,135800000.0,128800000.0,124544000.0,108256000.0,87953000.0,73900000.0,61289000.0,56195000.0
,GeneralAndAdministrativeExpenses,166577000.0,94015000.0,98732000.0,96353000.0,100270000.0,101548000.0,131446000.0,118940000.0,113824000.0,118423000.0,116880000.0,106147000.0,113103000.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,770284000.0,533324000.0,488263000.0,435489000.0,379641000.0,319015000.0,378593000.0,379747000.0,431598000.0,423854000.0,420580000.0,304788000.0,319167000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,893000.0,40954000.0,25592000.0,3906000.0,1677000.0,17802000.0,117846000.0,13811000.0,260392000.0,0.0,0.0,1784000.0,20547000.0,0.0,0.0,0.0,0.0,0.0,0.0
