date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,revenue,268141000.0,295686000.0,258721000.0,256735000.0,233335000.0,185143000.0,137420000.0,104752000.0,81739000.0,68783000.0,67122000.0
,costOfRevenue,129388000.0,144090000.0,129277000.0,124156000.0,120681000.0,102851000.0,87470000.0,62411000.0,45178000.0,42133000.0,38870000.0
,grossProfit,138753000.0,151596000.0,129444000.0,132579000.0,112654000.0,82292000.0,49950000.0,42341000.0,36561000.0,26650000.0,28252000.0
,grossProfitRatio,0.517462827393051,0.512692518414805,0.500322741486002,0.516404074239975,0.482799408575653,0.444478052100268,0.363484208994324,0.404202306399878,0.447289543547144,0.387450387450387,0.420905217365394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,46175000.0,54724000.0,47902000.0,49549000.0,56584000.0,52250000.0,41729000.0,23532000.0,15035000.0,9120000.0,8650000.0
,GeneralAndAdministrativeExpenses,37720000.0,45329000.0,43062000.0,27268000.0,32750000.0,25727000.0,18657000.0,10974000.0,7577000.0,5821000.0,6038000.0
,SellingAndMarketingExpenses,52210000.0,76049000.0,78179000.0,69280000.0,55488000.0,58589000.0,48467000.0,36072000.0,28268000.0,22553000.0,14174000.0
,otherExpenses,-6000.0,-71000.0,6000.0,-140000.0,-90000.0,-4000.0,-22000.0,-95000.0,-64000.0,-189000.0,-249000.0
,operatingExpenses,136105000.0,176102000.0,169143000.0,146097000.0,144822000.0,136566000.0,108853000.0,70578000.0,50880000.0,37494000.0,28862000.0
,costAndExpenses,265493000.0,320192000.0,298420000.0,270253000.0,265503000.0,239417000.0,196323000.0,132989000.0,96058000.0,79627000.0,67732000.0
,interestExpense,23071000.0,23524000.0,13156000.0,12381000.0,7921000.0,7969000.0,4306000.0,2149000.0,203000.0,1974000.0,1970000.0
