date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY
,revenue,650187.0,229625.0,149625.0,392073.0,886572.0,762417.0,1623769.0,1230004.0,1359621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316120.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316120.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,6580175.0,6228642.0,4980741.0,6490430.0,5271406.0,4755270.0,4679697.0,4805358.0,4473956.0,4557116.0,2848892.0,2074464.0,2892588.0,2084254.0,2013217.0,2183377.0,995549.0,1637081.0,2068728.0,1866262.0,857727.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,219624.0,75060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,6580175.0,6228642.0,4980741.0,6490430.0,5271406.0,4755270.0,4679697.0,4805358.0,4473956.0,4557116.0,2848892.0,2923254.0,2892588.0,2084254.0,2094939.0,2183377.0,995549.0,1637081.0,2272930.0,2094680.0,889692.0,24458.0
